id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_01269,2.95779619166174,-1.50188083236004,0.55369899467063,-2.71244998964363,0.00667878584625797,0.0398905663726499,sapC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01270,5.99675107761491,-0.70697926265057,0.478181825466279,-1.47847372066303,0.13928102599454,0.271804853698257,sapB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01271,8.94671205585129,-0.661911913829561,0.391050836102447,-1.69264927400936,0.0905222460500562,0.205679019649662,sapA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01272,0.234314201687899,0.525790063977176,0.808675854155407,0.650186426706555,0.51557180756166,NA,ymjA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01273,0.618015443015642,-0.50379191674014,0.720793363497031,-0.69894083693546,0.484589005255267,NA,ycjJ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01274,10.0142210522518,-2.07318036527753,0.518342428582011,-3.99963470277547,6.34403307532535e-05,0.00266044450882261,ycjK,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01275,0.986929390874087,-0.52626708871965,0.634413433759053,-0.829533330656935,0.406802684448797,NA,ycjL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01276,3.92618169161548,-1.26357857216453,0.478067719342954,-2.64309536293554,0.00821518936563325,0.0454562495534753,ycjC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01277,0.54840446830259,-0.756093787525107,0.769723759141628,-0.982292385476419,0.325955824761995,NA,aldH,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01278,0.232881992927722,-0.426195914373136,0.8113700139644,-0.52527935102102,0.599389009699967,NA,ordL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01279,0.122239519089399,-0.0366522508251019,0.782862077852538,-0.04681827343795,0.962658064905469,NA,goaG,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01280,0.376703915549935,0.0604023790168076,0.784518867899506,0.0769928952486901,0.938629196961838,NA,pspF,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01281,234.372547880433,-0.26950299743267,0.459037454721399,-0.587104591707528,0.557133463922226,0.68340725334382,pspA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01282,12.0546929935011,0.415679188682741,0.445959813924982,0.932100103424711,0.351284794603474,0.499364076169702,pspB,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01283,7.15909121479859,0.613042336499674,0.500244891078014,1.22548445258199,0.220392744451922,0.370959948176548,pspC,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01284,3.19286022878842,-0.310732898280264,0.483060983565805,-0.643258116162748,0.520056628769942,0.655391058379512,pspD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01285,7.13448661117725,0.156280343401716,0.428055084534155,0.36509400086158,0.715041238907593,0.80534073250678,pspE,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01286,0,NA,NA,NA,NA,NA,ycjM,NA,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01287,0.165413872063456,0.786372598266268,0.803977283454103,0.978103006701632,0.328023380933058,NA,ycjN,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01288,0.0379422761705313,-0.155172124311975,0.635829178342971,-0.244046875477416,0.807194515857603,NA,ycjO,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01289,0.0431255637684813,-0.319868061277567,0.637694923906719,-0.501600450757794,0.615948602272071,NA,ycjP,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01290,0.119786560619209,-0.572188499120862,0.795768449346455,-0.719038936000525,0.472116929770235,NA,ycjQ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01291,0.263634594681954,1.19763960279689,0.813289374193885,1.47258729893522,0.140862351623266,NA,ycjR,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01292,0.271662339888421,1.38553938881028,0.811310745536541,1.70777892001663,0.0876773719223083,NA,ycjS,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01293,0.151755103042074,-0.815725658989742,0.805226945196434,-1.01303820476443,0.311041912754919,NA,ycjT,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01294,0,NA,NA,NA,NA,NA,ycjU,NA,mrna,Sta,Mg_mM_Levels,baseMglowMg
