id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043264.1,3.80005286412845,-0.147376750559712,0.947576171391823,-0.155530241271519,0.876403314920059,0.931207549769326,rihC,ECB_00034,b0030,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043265.1,45.079867520274,-1.06104246629586,0.533037691707936,-1.99055804646031,0.0465294964513293,0.158475796584756,dapB,ECB_00035,b0031,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043266.1,117.871831846382,-0.870115509472635,0.62557703162865,-1.39090066527434,0.164255551060928,0.338257738256573,carA,ECB_00036,b0032,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043267.1,237.288203377177,-1.3137647504163,0.512100235223865,-2.56544453615021,0.0103043694010215,0.0543691069711794,carB,ECB_00037,b0033,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043268.1,0.690605684437504,1.1562464638841,1.38459353788434,0.835080066638797,0.40367262913501,NA,caiF,ECB_00038,b0034,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043270.1,1.142420067829,1.48991245322437,1.35880808089412,1.09648483415258,0.272866656667982,NA,caiD,ECB_00040,b0036,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043271.1,1.68336063920887,1.73442546073812,1.25406048109298,1.38304769736981,0.166650241257747,NA,caiC,ECB_00041,b0037,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043272.1,1.97264267445977,1.47960653844753,1.29072136688678,1.14634077997512,0.251654175673615,NA,caiA,ECB_00043,b0039,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043273.1,0.262580485747871,0.65208134618183,1.30013656340494,0.50154834848586,0.615985260164939,NA,caiT,ECB_00044,b0040,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043274.1,0.57952792989114,-1.50691466511737,1.38590664001069,-1.08731325878181,0.276898390944573,NA,fixA,ECB_00045,b0041,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043275.1,1.24287881159659,0.907975064268393,1.33818834926066,0.678510663143975,0.497447965215957,NA,fixB,ECB_00046,b0042,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043276.1,1.54222297331491,1.96648612661617,1.2364027575831,1.59048992292788,0.111724415294759,NA,fixC,ECB_00047,b0043,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043278.1,0.490146795478672,1.25201303251852,1.37485998919046,0.910647660388844,0.362481049840862,NA,yaaU,ECB_00049,b0045,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043279.1,0.352163388748987,0.502067351619415,1.33912124131527,0.374922998851315,0.707717734020046,NA,yabF,ECB_00050,b0046,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043280.1,2.30051630918102,1.10639333319151,1.17912941685983,0.938313740096471,0.348083200662503,0.521604497255843,kefC,ECB_00051,b0047,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043281.1,7.92709423494782,-1.65366772698009,0.856321650955254,-1.93112917924633,0.0534670793437059,0.173746343734409,folA,ECB_00052,b0048,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043282.1,2.83404213668409,-1.30213534828123,1.06817418774885,-1.21902903404307,0.222833172841408,0.399982552862152,apaH,ECB_00053,b0049,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043283.1,4.31690484352485,-0.0583394121576943,0.916712554226552,-0.063639809325963,0.949257032713076,0.969610593918658,apaG,ECB_00054,b0050,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043284.1,12.6279402501995,-5.10197478533611,1.16350473717932,-4.38500559757481,1.15982795965565e-05,0.000369119850652314,ksgA,ECB_00055,b0051,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043285.1,11.9692085897549,-1.20892244516848,0.787226449497167,-1.53567305308488,0.124618587246731,0.286537003933137,pdxA,ECB_00056,b0052,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043286.1,71.1879686677579,-1.42403093540076,0.497743776221348,-2.86097185626583,0.00422344542363342,0.0283294147041134,surA,ECB_00057,b0053,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043287.1,96.9492380296328,-1.27721290716365,0.624934611363813,-2.04375447277013,0.0409778088598773,0.145416826131069,imp,ECB_00058,b0054,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043288.1,16.7056163971427,0.163855347292705,0.62267966479759,0.263145492869064,0.792438440909551,0.870596752889671,djlA,ECB_00059,b0055,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043289.1,1.43871426404627,1.32167741268941,1.31227054233087,1.00716839253423,0.313853859358011,NA,rluA,ECB_00060,b0058,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043290.1,26.7183823712773,-0.942158565662592,0.547920112328905,-1.71951812766645,0.0855200697295846,0.226509563814818,hepA,ECB_00061,b0059,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043291.1,3.93967719874469,1.32909546568498,1.3865829844128,0.958540152753888,0.337790454350855,0.5130832280102,polB,ECB_00062,b0060,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043292.1,0.247854527115512,0.131324258358326,1.2813957439772,0.102485324284535,0.91837146103552,NA,araD,ECB_00063,b0061,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043293.1,4.11056999722776,1.19403729738673,0.858596005415283,1.39068582879,0.164320716739103,0.338257738256573,araA,ECB_00064,b0062,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043294.1,2.01496265225119,1.00699098621288,1.16903149598227,0.861389098303775,0.389023778263309,NA,araB,ECB_00065,b0063,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043296.1,0.129594732725761,-0.515260409685816,1.17087701168869,-0.440063648480626,0.659891009296622,NA,yabI,ECB_00067,b0065,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043297.1,1.07765145899567,-0.121560313273771,1.36783996652486,-0.0888702744829193,0.92918500757845,NA,thiQ,ECB_00068,b0066,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043298.1,0.586149739905917,1.06658588486367,1.38738499359164,0.768774269427924,0.442027326247078,NA,thiP,ECB_00069,b0067,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043299.1,1.28158200755344,-1.23726020494323,1.33281715825434,-0.928304529455288,0.353249625206967,NA,tbpA,ECB_00070,b0068,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043300.1,1.57906728435028,1.82677178949724,1.29340583489949,1.41237323986496,0.157840091560109,NA,yabN,ECB_00071,b0069,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043301.1,0.584496484863487,1.95669838912642,1.36970217910092,1.42855754994185,0.153131442493782,NA,setA,ECB_00072,b0070,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043302.1,93.2519694563634,-3.18550213632665,0.674649974390741,-4.72171089786729,2.33868954843224e-06,0.000123396645910701,leuD,ECB_00073,b0071,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043303.1,164.565167913004,-0.330416664768212,0.500734040922937,-0.659864594304791,0.509340726798099,0.665728916056185,leuC,ECB_00074,b0072,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043304.1,127.54332427914,-0.725532434081114,0.617888799199624,-1.17421198607407,0.240310126245953,0.421172904827916,leuB,ECB_00075,b0073,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043305.1,155.053664569565,-1.76326109834442,0.552228773176876,-3.19299026778465,0.00140807692110481,0.0127274872814214,leuA,ECB_00076,b0074,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043307.1,1.41526540027495,0.671650038493549,1.18351044410095,0.567506642498422,0.570370014927534,NA,leuO,ECB_00078,b0076,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043308.1,73.0836680153885,-2.08622469996068,0.644156505612353,-3.23869227708484,0.00120079052178187,0.0113565330008144,ilvI,ECB_00079,b0077,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043309.1,21.5084037036189,-2.00612189996777,0.591918159017609,-3.38918796358144,0.000700999410008799,0.00785197663166281,ilvH,ECB_00080,b0078,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043310.1,12.4130512792639,-0.667494310616283,0.721493030040086,-0.925156977024709,0.354884258983263,0.527886064024404,fruR,ECB_00081,b0080,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043311.1,8.68155111043714,-0.26718484623735,0.628680272065165,-0.424993208964024,0.670841625302283,0.788483277034511,yabB,ECB_00082,b0081,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043312.1,33.6564572226178,-0.216415970576635,0.533122405471818,-0.405940490130226,0.684786326501484,0.794480658905769,mraW,ECB_00083,b0082,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043313.1,0.212532657834542,0.197749419382807,1.25047757282639,0.158139117150134,0.874347177378202,NA,ftsL,ECB_00084,b0083,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043314.1,2.83124589000545,1.47140571745185,1.15132675287243,1.27800879618306,0.20124632478944,0.381387641042829,ftsI,ECB_00085,b0084,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043315.1,21.0364674260464,-0.883266808327212,1.29631357276854,-0.68136817116002,0.495638557467613,0.655224353505499,murE,ECB_00086,b0085,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043316.1,12.2834029644035,-2.28399100054056,0.791037027972703,-2.88733765901458,0.00388517039763294,0.0273325145517686,murF,ECB_00087,b0086,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043318.1,29.5890722372656,-1.15514716265312,0.586556697430988,-1.96936999903411,0.0489106182645109,0.16317103098227,murD,ECB_00089,b0088,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043319.1,0.780614543442736,2.06214113245794,1.36949862890568,1.50576356115502,0.132127880622739,NA,ftsW,ECB_00090,b0089,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043320.1,20.3182862253909,0.434451807383805,0.533707524898934,0.814026010718279,0.415630050256411,0.581128487283196,murG,ECB_00091,b0090,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043321.1,34.5009243572071,-1.4438294657148,0.62973246913047,-2.29276643097096,0.0218614556319975,0.0924730348990611,murC,ECB_00092,b0091,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043322.1,21.6777334653629,-1.00925560196319,0.562950741103838,-1.79279558276135,0.0730056160788858,0.20792082420194,ddl,ECB_00093,b0092,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043323.1,1.14916350497988,1.88728370388963,1.27669098749303,1.47826194621738,0.139337678980603,NA,ftsQ,ECB_00094,b0093,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043324.1,29.0620974464353,-0.877062740815135,0.669887616402693,-1.30926847927862,0.190443422901049,0.370131600825334,ftsA,ECB_00095,b0094,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043325.1,115.796632329448,-0.42709653131388,0.539865785020278,-0.791116131387799,0.428876226583861,0.595496422645874,ftsZ,ECB_00096,b0095,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043326.1,13.8625749666255,0.229943811039422,0.804331626443684,0.285881847088506,0.774968617693227,0.858459711864597,lpxC,ECB_00097,b0096,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043327.1,0.0803835706225631,-0.428413102680422,1.13977528345652,-0.375875059670714,0.707009782711564,NA,yacA,ECB_00098,b0097,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043328.1,183.549856228702,-2.21576105486823,0.58532858497389,-3.78549948140167,0.000153400154129039,0.0025005472278758,secA,ECB_00099,b0098,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043329.1,1.39119165986687,-0.370790461699271,1.23582818035753,-0.300033991450172,0.764151227904447,NA,mutT,ECB_00100,b0099,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043330.1,13.5190782857015,-3.03217003146479,0.888211223760197,-3.41379387059336,0.00064065025989606,0.00738220558098621,yacG,ECB_00101,b0101,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043331.1,13.2352718795431,-1.70233084821971,0.677106876434642,-2.51412429479887,0.0119328369750184,0.0605940652328196,yacF,ECB_00102,b0102,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043332.1,4.77897949319063,-3.71864372168533,1.26633948160118,-2.93652987663577,0.0033190684716495,0.0244437572499872,coaE,ECB_00103,b0103,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043333.1,15.7796101273008,-2.33037198998366,0.705145177838858,-3.30481163769116,0.000950402505111158,0.00982245888014367,guaC,ECB_00104,b0104,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043334.1,0.254757959010777,0.725542651520585,1.29771444174433,0.559092684940255,0.576098466823233,NA,hofC,ECB_00105,b0106,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043335.1,1.00375008892546,1.08539190409997,1.28161522697032,0.846893733203985,0.39705435582324,NA,hofB,ECB_00106,b0107,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043336.1,0.0781973013201229,0.777445243201527,1.20953228873866,0.642765183236464,0.520376478011042,NA,ppdD,ECB_00107,b0108,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043337.1,14.1846712972677,-1.13276971669819,0.728790033757718,-1.55431559739849,0.1201091548238,0.281002165019508,nadC,ECB_00108,b0109,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043338.1,1.88157026594249,0.136252620886952,1.19832047191584,0.113702990210219,0.909473242052141,NA,ampD,ECB_00109,b0110,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043339.1,2.57877213480864,-0.0711209211665202,1.14770066609402,-0.0619681797419935,0.950588172169966,0.969938567532204,ampE,ECB_00110,b0111,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043340.1,4.24520886124405,-0.790589408487263,0.925166402466098,-0.854537525768219,0.392807226409954,0.559757277151356,aroP,ECB_00111,b0112,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043341.1,7.08221554349014,-0.110177426962438,0.790520630631562,-0.139373246811301,0.889155211958705,0.938786835164404,pdhR,ECB_00112,b0113,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043342.1,335.339563981032,-1.45971878376506,0.556770913381238,-2.6217583366564,0.00874774359462421,0.0491294843339539,aceE,ECB_00113,b0114,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043343.1,191.498955139015,-0.900914676524432,0.55983023724868,-1.60926405288866,0.107558615772155,0.261717262892197,aceF,ECB_00114,b0115,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043344.1,266.197398291838,-0.886253697703947,0.580135235953842,-1.52766741748895,0.126595133747092,0.288763644098886,lpdA,ECB_00115,b0116,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043345.1,2.53462324804714,1.717066020115,1.27994916366837,1.34151110751449,0.17975456583791,0.358258354378736,yacH,ECB_00116,b0117,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043346.1,231.303075334949,0.0407253143209759,0.507883346175325,0.0801863550511404,0.936089042306505,0.962732115724086,acnB,ECB_00117,b0118,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043347.1,4.59026590697932,-1.95816041341329,0.973984448318373,-2.01046373665836,0.0443821305564062,0.153920902189561,yacL,ECB_00118,b0119,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043348.1,45.020042690833,-1.06891054693941,0.635210707339548,-1.68276531643544,0.0924205317384602,0.236960570505899,speD,ECB_00119,b0120,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043349.1,21.9457516749802,-5.76576831781118,1.1221154812778,-5.13830208566898,2.77231965785607e-07,2.43988328825239e-05,speE,ECB_00120,b0121,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043350.1,0.462330711077126,-1.23975174628585,1.37197576090378,-0.90362510884972,0.366194222563242,NA,yacC,ECB_00121,b0122,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043351.1,18.163942303157,-1.01716252860887,0.831437454537899,-1.22337828667365,0.221186850582986,0.398812621779575,cueO,ECB_00122,b0123,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043352.1,51.3348585019567,-2.18800177137646,0.670729085541325,-3.26212448295811,0.00110580572759675,0.0108153194333243,gcd,ECB_00123,b0124,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043353.1,35.1340053445229,-0.993414822690787,0.533003303351889,-1.86380612736078,0.0623489349766016,0.190273386039705,hpt,ECB_00124,b0125,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043354.1,69.4189971041047,0.0262724631333341,0.566050619801517,0.0464136284181554,0.962980574312705,0.978103369552671,yadF,ECB_00125,b0126,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043355.1,9.93649354382943,-1.08892301952685,0.697763497837676,-1.56059040477375,0.118620424167586,0.279475852474747,yadG,ECB_00126,b0127,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043358.1,1.89587632516184,2.36102239560747,1.31106061338127,1.80084915335707,0.0717266590760781,NA,yadE,ECB_00129,b0130,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043359.1,26.3363509380119,-2.8993090315606,0.690281407358086,-4.20018415772942,2.66697967825218e-05,0.000668411781861953,panD,ECB_00130,b0131,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043361.1,46.0720260871171,-0.782475780222817,0.520589812784566,-1.50305626619441,0.132824535187384,0.298892472559713,panC,ECB_00132,b0133,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043362.1,21.3405898000275,-2.44439780693206,0.743442397743573,-3.28794512439844,0.0010092150891697,0.0102087890352398,panB,ECB_00133,b0134,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043363.1,1.17704350734149,2.41271779033318,1.33552244576715,1.8065722504179,0.0708289994538462,NA,yadC,ECB_00134,b0135,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043366.1,0.868222283662067,1.22581626854358,1.36087475681588,0.900756122048801,0.367718001765937,NA,yadM,ECB_00137,b0138,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043367.1,1.78546210996408,1.42338011387518,1.20498306079354,1.18124491554081,0.237505442961665,NA,htrE,ECB_00138,b0139,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043370.1,5.03413441627474,-2.94370524950496,1.14700687591344,-2.56642336791634,0.0102753327130649,0.0543691069711794,folK,ECB_00141,b0142,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043371.1,25.1462771400187,0.318092617376441,0.497861844490882,0.638917444460371,0.52287663902133,0.676933380046914,pcnB,ECB_00142,b0143,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043372.1,1.36109400052931,-0.0206264405165543,1.35006166427578,-0.0152781469634716,0.98781027664649,NA,yadB,ECB_00143,b0144,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043373.1,117.753145222083,-1.19511999387324,0.667099708922253,-1.79151628742882,0.073210483293196,0.208208537592706,dksA,ECB_00144,b0145,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043374.1,5.80727275735703,-2.61775232158372,1.05450407953338,-2.4824487381235,0.0130482840514675,0.0636540377693242,sfsA,ECB_00145,b0146,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043375.1,0.940356282285644,0.395298452801347,1.33821920193947,0.29539140689989,0.767694896899069,NA,ligT,ECB_00146,b0147,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043376.1,3.80246833477953,1.09001242362416,1.0351194884201,1.05303053011574,0.29232699985582,0.471154047195273,hrpB,ECB_00147,b0148,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043377.1,37.1789561237806,-0.488208133664823,0.474622840942512,-1.02862334373823,0.303656704104736,0.480909709107422,mrcB,ECB_00148,b0149,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043378.1,114.146837296336,-1.93662527890922,0.743621056168708,-2.60431743136366,0.00920574517027516,0.050707469962642,fhuA,ECB_00149,b0150,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043379.1,11.8030528047146,-1.15954306660015,1.05729800088991,-1.09670411333813,0.272770757753204,0.451242053873906,fhuC,ECB_00150,b0151,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043380.1,1.07115675546213,-0.474529972484984,1.33825158196889,-0.354589509834046,0.722897136090079,NA,fhuD,ECB_00151,b0152,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043381.1,0.660140956426721,1.67225141476656,1.37106757918001,1.21967103603068,0.222589605660507,NA,fhuB,ECB_00152,b0153,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043382.1,81.3996265061891,0.739917830167168,0.536681456798246,1.37869088039933,0.167990082466703,0.341602551060587,hemL,ECB_00153,b0154,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043383.1,0.744802249650816,1.31702327718953,1.3813629137653,0.953423075185656,0.340375754515138,NA,yadQ,ECB_00154,b0155,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043384.1,11.423630697181,-1.65401784114283,0.833151750979799,-1.98525399388249,0.0471162197811346,0.160115289256229,yadR,ECB_00155,b0156,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043386.1,2.35335190804497,-0.441311693354815,1.06398802195596,-0.414771298405729,0.678309332506374,0.792085155314665,yadT,ECB_00157,b0158,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043387.1,29.0999992441472,-1.90056897594714,0.668744793375488,-2.84199442713269,0.00448322752493211,0.0294717088114389,pfs,ECB_00158,b0159,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043388.1,2.79312923123636,1.21414108453775,1.0723295311788,1.1322462444945,0.257530922970436,0.439109060185078,dgt,ECB_00159,b0160,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043389.1,179.846153452089,-0.698411643520598,0.63868617099328,-1.0935130197581,0.274168615688579,0.451449408023839,degP,ECB_00160,b0161,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043390.1,2.56257853646628,0.799539347159388,1.1450081265586,0.698282683427287,0.485000426510541,0.646510719609246,cdaR,ECB_00161,b0162,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
