,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
679,YP_003043910.1,16.338506027448,0.875734972818546,0.867922591829926,1.00900124165699,0.312974038705088,0.526787059627374,cydA,ECB_00692,b0733,1,protein,Sta,carbonSource,glucoseglycerol
680,YP_003043911.1,0.82611914015606,-0.807837945811648,1.29214472625704,-0.625191535743611,0.531845356511908,NA,cydB,ECB_00693,b0734,-1,protein,Sta,carbonSource,glucoseglycerol
681,YP_003043912.1,0,NA,NA,NA,NA,NA,ybgT,ECB_00694,b4515,NA,protein,Sta,carbonSource,glucoseglycerol
682,YP_003043913.1,0.0340783666457893,-0.277686538305712,1.29672550682332,-0.214144425203744,0.830434432942918,NA,ybgE,ECB_00695,b0735,-1,protein,Sta,carbonSource,glucoseglycerol
683,YP_003043914.1,1.20143950770838,-2.99165007016383,1.32185534235024,-2.26322047073981,0.0236221019308392,0.168450023424054,ybgC,ECB_00696,b0736,-1,protein,Sta,carbonSource,glucoseglycerol
684,YP_003043915.1,4.77057922401442,-1.54291101370407,0.787667171935651,-1.95883625556267,0.0501319661588663,0.226283596773291,tolQ,ECB_00697,b0737,-1,protein,Sta,carbonSource,glucoseglycerol
685,YP_003043916.1,5.02293019264712,-1.21344285522715,0.70987076508309,-1.70938558807266,0.0873795487355198,0.29574616495099,tolR,ECB_00698,b0738,-1,protein,Sta,carbonSource,glucoseglycerol
686,YP_003043917.1,6.06587960155883,-0.427687857454134,0.781743759912717,-0.547094686757571,0.584313682369882,0.755734409655516,tolA,ECB_00699,b0739,-1,protein,Sta,carbonSource,glucoseglycerol
687,YP_003043918.1,85.3462587273734,-1.4366143841196,0.621158977753413,-2.31279661982106,0.020733823725391,0.160942185406629,tolB,ECB_00700,b0740,-1,protein,Sta,carbonSource,glucoseglycerol
688,YP_003043919.1,67.1249146809827,-0.701059419708407,0.637571830846324,-1.09957715474633,0.271516400258751,0.484465846190765,pal,ECB_00701,b0741,-1,protein,Sta,carbonSource,glucoseglycerol
689,YP_003043920.1,28.1535893137159,-2.28012590155521,0.67320383233167,-3.38697700762917,0.000706673099305047,0.0236456614332319,ybgF,ECB_00702,b0742,-1,protein,Sta,carbonSource,glucoseglycerol
690,YP_003043921.1,3.33805739587545,-0.493062970080982,0.886942220654695,-0.555913292431866,0.578270130856571,0.753062109956794,nadA,ECB_00703,b0750,-1,protein,Sta,carbonSource,glucoseglycerol
691,YP_003043922.1,0.146166295970541,-0.814785683684218,1.30772378242171,-0.623056408881208,0.533247453872442,NA,pnuC,ECB_00704,b0751,-1,protein,Sta,carbonSource,glucoseglycerol
692,YP_003043923.1,0.248401395907909,-1.12717830890458,1.33700657399943,-0.843061156784605,0.399194241279359,NA,ybgR,ECB_00705,b0752,-1,protein,Sta,carbonSource,glucoseglycerol
693,YP_003043924.1,15.2648649912035,-4.34127392110766,1.02384672556792,-4.24015998947457,2.23360529859613e-05,0.00274783107715502,ybgS,ECB_00706,b0753,-1,protein,Sta,carbonSource,glucoseglycerol
694,YP_003043925.1,127.679910039182,-1.61604950483042,0.631231012960388,-2.560155429074,0.0104625358539274,0.126529380970303,aroG,ECB_00707,b0754,-1,protein,Sta,carbonSource,glucoseglycerol
695,YP_003043926.1,105.693686531053,-0.50631469118969,0.564779042194143,-0.896482789486448,0.36999496814191,0.581544393561935,gpmA,ECB_00708,b0755,-1,protein,Sta,carbonSource,glucoseglycerol
696,YP_003043927.1,27.7863869276187,-0.705356173270279,0.641016081832468,-1.1003720394251,0.27117005586359,0.484265695618225,galM,ECB_00709,b0756,-1,protein,Sta,carbonSource,glucoseglycerol
697,YP_003043928.1,14.5388316241673,0.12707100777884,0.722287364975463,0.175928603961052,0.860350033107253,0.918535812321011,galK,ECB_00710,b0757,1,protein,Sta,carbonSource,glucoseglycerol
698,YP_003043929.1,5.58593601922408,-1.44045885849186,0.774740814814096,-1.85927839472031,0.0629876877801891,0.257427941362512,galT,ECB_00711,b0758,-1,protein,Sta,carbonSource,glucoseglycerol
699,YP_003043930.1,24.1974520318153,-0.919272095684578,0.762948374750044,-1.20489423152091,0.228244135788043,0.448932744733819,galE,ECB_00712,b0759,-1,protein,Sta,carbonSource,glucoseglycerol
700,YP_003043931.1,15.0455319519526,-0.161396052764845,0.597144898673251,-0.270279547097259,0.786945199061957,0.88110594025995,modF,ECB_00713,b0760,-1,protein,Sta,carbonSource,glucoseglycerol
701,YP_003043932.1,13.5690989858479,-1.42594721408564,0.68343061663344,-2.08645498077012,0.0369374291177426,0.200667005840522,modE,ECB_00714,b0761,-1,protein,Sta,carbonSource,glucoseglycerol
702,YP_003043933.1,0,NA,NA,NA,NA,NA,ybhT,ECB_00715,b0762,NA,protein,Sta,carbonSource,glucoseglycerol
703,YP_003043934.1,27.2439659246591,-0.0273995491546835,0.830368910365478,-0.0329968388901072,0.973677108470491,0.987961538723073,modA,ECB_00716,b0763,-1,protein,Sta,carbonSource,glucoseglycerol
704,YP_003043935.1,0.0681567332915786,-0.497541287438226,1.2985497019966,-0.383151516398043,0.701607424189641,NA,modB,ECB_00717,b0764,-1,protein,Sta,carbonSource,glucoseglycerol
705,YP_003043936.1,1.5358633322169,0.682879755300379,1.12404231298791,0.607521396134242,0.54350494771616,0.729849501218843,modC,ECB_00718,b0765,1,protein,Sta,carbonSource,glucoseglycerol
706,YP_003043937.1,5.1658625910668,-1.25772997646363,0.85183246141229,-1.47649923363848,0.139809920824864,0.355667308727321,ybhA,ECB_00719,b0766,-1,protein,Sta,carbonSource,glucoseglycerol
707,YP_003043938.1,33.4430211011742,-0.95051087731408,0.673632623170377,-1.41102263254503,0.158237940676223,0.376121998266224,ybhE,ECB_00720,b0767,-1,protein,Sta,carbonSource,glucoseglycerol
708,YP_003043939.1,0.481001807799553,-1.80212953391721,1.38027801973971,-1.30562793013038,0.19167911741353,NA,ybhD,ECB_00721,b0768,-1,protein,Sta,carbonSource,glucoseglycerol
709,YP_003043940.1,0.678628053377639,-2.22921454585951,1.37119646810951,-1.62574408387513,0.104004107843989,NA,ybhH,ECB_00722,b0769,-1,protein,Sta,carbonSource,glucoseglycerol
710,YP_003043941.1,0.291622752388196,-1.35864280172258,1.36498700081823,-0.995352190832704,0.319565002430413,NA,ybhI,ECB_00723,b0770,-1,protein,Sta,carbonSource,glucoseglycerol
711,YP_003043942.1,0.630564489639371,-1.11978882186899,1.3522088783693,-0.828118229203915,0.407603546763271,NA,ybhJ,ECB_00724,b0771,-1,protein,Sta,carbonSource,glucoseglycerol
712,YP_003043943.1,21.2473956905561,-0.457068692225479,0.583511530854664,-0.783307043746017,0.433446827908095,0.63314964899877,ybhC,ECB_00725,b0772,-1,protein,Sta,carbonSource,glucoseglycerol
713,YP_003043944.1,0.607308825880599,-0.91834616970723,1.35201898779629,-0.679240586113423,0.496985435139137,NA,,ECB_00726,,-1,protein,Sta,carbonSource,glucoseglycerol
714,YP_003043945.1,0.209396614568428,-0.989786908142011,1.31675247734973,-0.751687902751612,0.452238767022808,NA,,ECB_00727,,-1,protein,Sta,carbonSource,glucoseglycerol
715,YP_003043946.1,0.163813995952019,-0.81384222315213,1.31698470978732,-0.617958748574655,0.53660253122113,NA,,ECB_00728,,-1,protein,Sta,carbonSource,glucoseglycerol
716,YP_003043947.1,0.0340783666457893,-0.277686538305712,1.29672550682332,-0.214144425203744,0.830434432942918,NA,,ECB_00729,,-1,protein,Sta,carbonSource,glucoseglycerol
717,YP_003043948.1,0.245511774018044,-1.21574214969155,1.35544058344768,-0.89693503687134,0.369753582808601,NA,,ECB_00730,,-1,protein,Sta,carbonSource,glucoseglycerol
718,YP_003043949.1,0.146166295970541,-0.814785683684218,1.30772378242171,-0.623056408881208,0.533247453872442,NA,,ECB_00731,,-1,protein,Sta,carbonSource,glucoseglycerol
719,YP_003043950.1,0.58211114608171,-2.17609045855017,1.37232936820133,-1.58569109499005,0.112809400210058,NA,,ECB_00732,,-1,protein,Sta,carbonSource,glucoseglycerol
720,YP_003043951.1,1.29299576801651,-1.92478504394291,1.23447947632114,-1.5591875611241,0.118951994045062,0.334332354225075,,ECB_00733,,-1,protein,Sta,carbonSource,glucoseglycerol
721,YP_003043952.1,1.17062498781018,-1.75275823569007,1.26372722213558,-1.38697513592219,0.165449344746046,0.381012522199135,,ECB_00734,,-1,protein,Sta,carbonSource,glucoseglycerol
722,YP_003043953.1,0.0340783666457893,-0.277686538305712,1.29672550682332,-0.214144425203744,0.830434432942918,NA,,ECB_00735,,-1,protein,Sta,carbonSource,glucoseglycerol
723,YP_003043954.1,0.0669422176920572,-0.301283640145886,1.29686657936962,-0.23231660445158,0.816292116712527,NA,,ECB_00736,,-1,protein,Sta,carbonSource,glucoseglycerol
724,YP_003043955.1,0.207136675326609,-0.97755915607976,1.31875784539768,-0.741272675261297,0.458528125988054,NA,,ECB_00737,,-1,protein,Sta,carbonSource,glucoseglycerol
725,YP_003043956.1,0.491023548036087,-1.82954903737654,1.3803219668193,-1.32545093199697,0.185021633740561,NA,,ECB_00738,,-1,protein,Sta,carbonSource,glucoseglycerol
726,YP_003043957.1,0.590129863109226,-0.918363410460786,1.33623483498582,-0.687276956427,0.491908217178133,NA,,ECB_00739,,-1,protein,Sta,carbonSource,glucoseglycerol
727,YP_003043958.1,4.18327111777003,-2.20745905235625,0.961314666532128,-2.29629186905002,0.0216591986997242,0.161993728002967,ybhB,ECB_00740,b0773,-1,protein,Sta,carbonSource,glucoseglycerol
728,YP_003043959.1,3.30365618547701,-1.20922852210906,0.8635899595527,-1.40023457745547,0.161443084625706,0.377862053464415,bioA,ECB_00741,b0774,-1,protein,Sta,carbonSource,glucoseglycerol
729,YP_003043960.1,16.762347293723,-0.567819024692931,0.599502593955689,-0.947150238243841,0.343562228076157,0.559619626934647,bioB,ECB_00742,b0775,-1,protein,Sta,carbonSource,glucoseglycerol
730,YP_003043961.1,0.459662942519276,-0.754121293846529,1.35620900724796,-0.556050940390672,0.578176031614455,NA,bioF,ECB_00743,b0776,-1,protein,Sta,carbonSource,glucoseglycerol
731,YP_003043962.1,0.146166295970541,-0.814785683684218,1.30772378242171,-0.623056408881208,0.533247453872442,NA,bioC,ECB_00744,b0777,-1,protein,Sta,carbonSource,glucoseglycerol
732,YP_003043963.1,12.7778949373089,-0.598748369434798,0.681978450073942,-0.877957902291312,0.379966564772843,0.592587372511492,bioD,ECB_00745,b0778,-1,protein,Sta,carbonSource,glucoseglycerol
733,YP_003043964.1,11.3885621976909,-1.23569096673786,0.679196568887017,-1.81934218066319,0.0688592419116349,0.270338689597388,uvrB,ECB_00746,b0779,-1,protein,Sta,carbonSource,glucoseglycerol
734,YP_003043965.1,1.86630980298523,0.753370426339583,1.0955718648135,0.687650395684297,0.491672964337905,0.686622247796845,ybhK,ECB_00747,b0780,1,protein,Sta,carbonSource,glucoseglycerol
735,YP_003043966.1,0.391515771133424,-1.7152471002677,1.38005500719083,-1.24288313967946,0.213910899566819,NA,moaA,ECB_00748,b0781,-1,protein,Sta,carbonSource,glucoseglycerol
736,YP_003043967.1,12.9982461706528,-1.02619835667836,0.588432099286946,-1.74395373386647,0.0811671577216534,0.292428017714947,moaB,ECB_00749,b0782,-1,protein,Sta,carbonSource,glucoseglycerol
737,YP_003043968.1,6.23343831097715,-2.78544626064826,0.888946959207444,-3.13342233954169,0.00172780633957133,0.0419057355559167,moaC,ECB_00750,b0783,-1,protein,Sta,carbonSource,glucoseglycerol
738,YP_003043969.1,1.52723874111989,-1.19140776475743,1.05778724958632,-1.12632078447095,0.26002976327769,0.477992489296234,moaD,ECB_00751,b0784,-1,protein,Sta,carbonSource,glucoseglycerol
739,YP_003043970.1,7.12844613206631,-0.157138120632051,0.715541975177944,-0.219607131493542,0.826177136864977,0.9011256956945,moaE,ECB_00752,b0785,-1,protein,Sta,carbonSource,glucoseglycerol
740,YP_003043971.1,0.0901223313081652,-0.591483949370846,1.30134772582738,-0.45451645062413,0.649457154306359,NA,ybhL,ECB_00753,b0786,-1,protein,Sta,carbonSource,glucoseglycerol
741,YP_003043972.1,0.211003850385946,0.87260325853462,1.37579200502132,0.634255218339562,0.525914276513125,NA,ybhM,ECB_00754,b0787,1,protein,Sta,carbonSource,glucoseglycerol
742,YP_003043973.1,0.146166295970541,-0.814785683684218,1.30772378242171,-0.623056408881208,0.533247453872442,NA,ybhN,ECB_00755,b0788,-1,protein,Sta,carbonSource,glucoseglycerol
743,YP_003043974.1,1.06444816066334,0.334112874656155,1.21635470421197,0.274683752608671,0.783559214728345,0.879218912674019,ybhO,ECB_00756,b0789,1,protein,Sta,carbonSource,glucoseglycerol
744,YP_003043975.1,0.352510989793943,-1.62018515908401,1.37879545284639,-1.17507289115242,0.239965555136619,NA,ybhP,ECB_00757,b0790,-1,protein,Sta,carbonSource,glucoseglycerol
745,YP_003043976.1,0,NA,NA,NA,NA,NA,ybhQ,ECB_00758,b0791,NA,protein,Sta,carbonSource,glucoseglycerol
746,YP_003043977.1,0.813565196499859,-1.40500443102141,1.29679403488277,-1.08344455112212,0.278611150059916,NA,ybhR,ECB_00759,b0792,-1,protein,Sta,carbonSource,glucoseglycerol
747,YP_003043978.1,0.252898253615292,-0.138947976034096,1.37064897320294,-0.101373859208752,0.919253686884377,NA,ybhS,ECB_00760,b0793,-1,protein,Sta,carbonSource,glucoseglycerol
748,YP_003043979.1,1.66187410465336,-1.72736393613358,1.16609241373148,-1.48132679347946,0.138519512008041,0.355390317453582,ybhF,ECB_00761,b0794,-1,protein,Sta,carbonSource,glucoseglycerol
749,YP_003043980.1,9.3676827334876,-0.732341716470595,0.735778296046761,-0.995329327333205,0.319576118577731,0.533831513100765,ybhG,ECB_00762,b0795,-1,protein,Sta,carbonSource,glucoseglycerol
750,YP_003043981.1,1.13066276023223,-1.16211501982418,1.15565668864143,-1.00558845135085,0.314613581515535,0.527729372917338,ybiH,ECB_00763,b0796,-1,protein,Sta,carbonSource,glucoseglycerol
751,YP_003043982.1,7.6766814739267,-2.80881257787295,0.741406607996194,-3.78849142640414,0.000151564822302655,0.00870655701449697,rhlE,ECB_00764,b0797,-1,protein,Sta,carbonSource,glucoseglycerol
752,YP_003043983.1,0.512820235203523,-1.85203567249399,1.38028843562315,-1.34177438910286,0.179669158659357,NA,ybiA,ECB_00765,b0798,-1,protein,Sta,carbonSource,glucoseglycerol
753,YP_003043984.1,1.07709642742225,-2.99646040210933,1.31830945997544,-2.27295676249274,0.0230287856403435,0.167100100716597,dinG,ECB_00766,b0799,-1,protein,Sta,carbonSource,glucoseglycerol
754,YP_003043985.1,44.7058604951376,-1.00624243671795,0.568639244568502,-1.7695620665111,0.0768001227566269,0.284987617557527,ybiB,ECB_00767,b0800,-1,protein,Sta,carbonSource,glucoseglycerol
755,YP_003043986.1,69.9503167373666,-1.38642765849848,0.692347245786583,-2.00250332031485,0.0452306263640976,0.219570270706464,ybiC,ECB_00768,b0801,-1,protein,Sta,carbonSource,glucoseglycerol
756,YP_003043987.1,0.312185995575537,-1.28026491235894,1.35682354992521,-0.943575096724639,0.345386823114048,NA,ybiJ,ECB_00769,b0802,-1,protein,Sta,carbonSource,glucoseglycerol
757,YP_003043988.1,4.30838663458975,-4.3013694417137,1.23164494053065,-3.49237779506524,0.000478740601883096,0.0202164415056832,ybiI,ECB_00770,b0803,-1,protein,Sta,carbonSource,glucoseglycerol
758,YP_003043989.1,5.68469357671002,-3.72594267927125,1.11234843878918,-3.3496182934612,0.000809229930176154,0.0249774253075267,ybiX,ECB_00771,b0804,-1,protein,Sta,carbonSource,glucoseglycerol
759,YP_003043990.1,15.5867601930421,-4.15217096811267,1.28856794385362,-3.22231434354566,0.00127159544108569,0.0333034418854627,ybiL,ECB_00772,b0805,-1,protein,Sta,carbonSource,glucoseglycerol
