"#ProtID"	"Unweighted"	"Weighted"	"Unique"
"YP_003043444.1"	2	"2.00"	2
"YP_003043445.1"	56	"56.00"	56
"YP_003043446.1"	33	"33.00"	33
"YP_003043447.1"	10	"10.00"	10
"YP_003043450.1"	3	"3.00"	3
"YP_003043454.1"	2	"2.00"	2
"YP_003043459.1"	100	"100.00"	100
"YP_003043460.1"	10	"10.00"	10
"YP_003043461.1"	18	"18.00"	18
"YP_003043464.1"	1	"0.04"	0
"YP_003043466.1"	39	"39.00"	39
"YP_003043467.1"	66	"66.00"	66
"YP_003043473.1"	8	"8.00"	8
"YP_003043489.1"	6	"6.00"	6
"YP_003043490.1"	3	"3.00"	3
"YP_003043491.1"	13	"12.00"	11
"YP_003043494.1"	1	"1.00"	1
"YP_003043495.1"	3	"3.00"	3
"YP_003043496.1"	1	"1.00"	1
"YP_003043505.1"	1	"1.00"	1
"YP_003043506.1"	11	"11.00"	11
"YP_003043507.1"	14	"14.00"	14
"YP_003043511.1"	10	"10.00"	10
"YP_003043514.1"	1	"1.00"	1
"YP_003043515.1"	1	"1.00"	1
"YP_003043518.1"	49	"49.00"	49
"YP_003043526.1"	5	"5.00"	5
"YP_003043527.1"	5	"5.00"	5
"YP_003043535.1"	5	"5.00"	5
"YP_003043537.1"	10	"10.00"	10
"YP_003043538.1"	8	"8.00"	8
"YP_003043540.1"	1	"0.04"	0
"YP_003043543.1"	2	"2.00"	2
"YP_003043545.1"	10	"10.00"	10
"YP_003043546.1"	42	"42.00"	42
"YP_003043551.1"	2	"2.00"	2
"YP_003043555.1"	14	"14.00"	14
"YP_003043556.1"	9	"9.00"	9
"YP_003043558.1"	1	"1.00"	1
"YP_003043560.1"	21	"21.00"	21
"YP_003043561.1"	5	"5.00"	5
"YP_003043562.1"	10	"10.00"	10
"YP_003043565.1"	1	"1.00"	1
"YP_003043567.1"	1	"0.04"	0
"YP_003043569.1"	21	"21.00"	21
"YP_003043570.1"	22	"22.00"	22
"YP_003043572.1"	6	"6.00"	6
"YP_003043573.1"	5	"5.00"	5
"YP_003043574.1"	8	"8.00"	8
"YP_003043576.1"	2	"2.00"	2
"YP_003043578.1"	15	"15.00"	15
"YP_003043579.1"	5	"5.00"	5
"YP_003043580.1"	20	"20.00"	20
"YP_003043581.1"	121	"121.00"	121
"YP_003043582.1"	56	"56.00"	56
"YP_003043583.1"	26	"26.00"	26
"YP_003043584.1"	12	"12.00"	12
"YP_003043587.1"	9	"9.00"	9
"YP_003043588.1"	22	"22.00"	22
"YP_003043589.1"	68	"68.00"	68
"YP_003043590.1"	24	"24.00"	24
"YP_003043591.1"	6	"6.00"	6
"YP_003043593.1"	6	"6.00"	6
"YP_003043594.1"	54	"54.00"	54
"YP_003043595.1"	15	"15.00"	15
"YP_003043596.1"	7	"7.00"	7
"YP_003043597.1"	17	"17.00"	17
"YP_003043598.1"	12	"12.00"	12
"YP_003043599.1"	3	"3.00"	3
"YP_003043600.1"	48	"48.00"	48
"YP_003043603.1"	4	"4.00"	4
"YP_003043605.1"	1	"1.00"	1
"YP_003043608.1"	17	"17.00"	17
"YP_003043609.1"	72	"72.00"	72
"YP_003043611.1"	61	"61.00"	61
"YP_003043612.1"	16	"16.00"	16
"YP_003043613.1"	250	"250.00"	250
"YP_003043614.1"	23	"23.00"	23
"YP_003043615.1"	77	"77.00"	77
"YP_003043617.1"	10	"10.00"	10
"YP_003043618.1"	64	"63.50"	63
"YP_003043619.1"	101	"101.00"	101
"YP_003043621.1"	2	"2.00"	2
"YP_003043622.1"	13	"13.00"	13
"YP_003043623.1"	14	"14.00"	14
"YP_003043627.1"	2	"2.00"	2
"YP_003043630.1"	10	"10.00"	10
"YP_003043636.1"	2	"2.00"	2
"YP_003043637.1"	4	"4.00"	4
"YP_003043639.1"	67	"67.00"	67
"YP_003043640.1"	82	"82.00"	82
"YP_003043641.1"	3	"3.00"	3
"YP_003043642.1"	28	"28.00"	28
"YP_003043644.1"	4	"4.00"	4
"YP_003043646.1"	20	"20.00"	20
"YP_003043647.1"	11	"11.00"	11
"YP_003043648.1"	36	"36.00"	36
"YP_003043649.1"	9	"9.00"	9
"YP_003043650.1"	216	"216.00"	216
"YP_003043651.1"	53	"53.00"	53
"YP_003043652.1"	9	"9.00"	9
"YP_003043654.1"	30	"30.00"	30
"YP_003043655.1"	2	"2.00"	2
"YP_003043657.1"	22	"22.00"	22
"YP_003043658.1"	23	"23.00"	23
"YP_003043661.1"	9	"9.00"	9
"YP_003043664.1"	3	"3.00"	3
"YP_003043666.1"	7	"7.00"	7
"YP_003043667.1"	3	"3.00"	3
"YP_003043669.1"	45	"45.00"	45
"YP_003043670.1"	8	"8.00"	8
"YP_003043671.1"	18	"17.00"	16
"YP_003043672.1"	3	"3.00"	3
"YP_003043673.1"	1	"1.00"	1
"YP_003043674.1"	2	"1.00"	0
"YP_003043679.1"	1	"1.00"	1
"YP_003043682.1"	7	"7.00"	7
"YP_003043684.1"	1	"1.00"	1
"YP_003043691.1"	5	"5.00"	5
"YP_003043697.1"	1	"1.00"	1
"YP_003043698.1"	46	"46.00"	46
"YP_003043699.1"	49	"49.00"	49
"YP_003043701.1"	78	"78.00"	78
"YP_003043702.1"	55	"55.00"	55
"YP_003043704.1"	1	"1.00"	1
"YP_003043705.1"	19	"19.00"	19
"YP_003043718.1"	1	"1.00"	1
"YP_003043728.1"	1	"0.04"	0
"YP_003043731.1"	1	"1.00"	1
"YP_003043733.1"	24	"24.00"	24
"YP_003043735.1"	1	"1.00"	1
"YP_003043736.1"	1	"1.00"	1
"YP_003043743.1"	43	"43.00"	43
"YP_003043746.1"	1	"1.00"	1
"YP_003043756.1"	21	"21.00"	21
"YP_003043758.1"	9	"9.00"	9
"YP_003043759.1"	7	"5.00"	3
"YP_003043760.1"	2	"2.00"	2
"YP_003043761.1"	2	"2.00"	2
"YP_003043762.1"	46	"46.00"	46
"YP_003043765.1"	1	"1.00"	1
"YP_003043767.1"	1	"0.04"	0
"YP_003043772.1"	26	"26.00"	26
"YP_003043774.1"	1	"1.00"	1
"YP_003043775.1"	3	"3.00"	3
"YP_003043777.1"	4	"4.00"	4
"YP_003043781.1"	2	"2.00"	2
"YP_003043788.1"	17	"17.00"	17
"YP_003043789.1"	22	"22.00"	22
"YP_003043792.1"	1	"0.04"	0
"YP_003043794.1"	6	"6.00"	6
"YP_003043795.1"	135	"135.00"	135
"YP_003043796.1"	64	"64.00"	64
"YP_003043797.1"	44	"44.00"	44
"YP_003043799.1"	16	"16.00"	16
"YP_003043800.1"	7	"7.00"	7
"YP_003043808.1"	1	"0.04"	0
"YP_003043811.1"	2	"2.00"	2
"YP_003043816.1"	1	"1.00"	1
"YP_003043818.1"	44	"44.00"	44
"YP_003043820.1"	2	"2.00"	2
"YP_003043821.1"	10	"10.00"	10
"YP_003043822.1"	64	"59.50"	55
"YP_003043823.1"	11	"11.00"	11
"YP_003043824.1"	3	"3.00"	3
"YP_003043826.1"	3	"3.00"	3
"YP_003043827.1"	14	"14.00"	14
"YP_003043830.1"	8	"8.00"	8
"YP_003043831.1"	15	"15.00"	15
"YP_003043832.1"	107	"107.00"	107
"YP_003043833.1"	20	"20.00"	20
"YP_003043837.1"	17	"17.00"	17
"YP_003043841.1"	2	"2.00"	2
"YP_003043842.1"	229	"229.00"	229
"YP_003043844.1"	9	"9.00"	9
"YP_003043845.1"	6	"6.00"	6
"YP_003043846.1"	4	"4.00"	4
"YP_003043847.1"	36	"36.00"	36
"YP_003043848.1"	54	"54.00"	54
"YP_003043849.1"	13	"13.00"	13
"YP_003043850.1"	73	"73.00"	73
"YP_003043851.1"	35	"35.00"	35
"YP_003043852.1"	20	"20.00"	20
"YP_003043853.1"	28	"28.00"	28
"YP_003043854.1"	29	"29.00"	29
"YP_003043855.1"	51	"51.00"	51
"YP_003043856.1"	64	"64.00"	64
"YP_003043857.1"	1	"1.00"	1
"YP_003043859.1"	32	"32.00"	32
"YP_003043860.1"	31	"31.00"	31
"YP_003043861.1"	4	"4.00"	4
"YP_003043862.1"	25	"25.00"	25
"YP_003043863.1"	27	"27.00"	27
"YP_003043864.1"	67	"67.00"	67
"YP_003043868.1"	3	"2.00"	1
"YP_003043871.1"	3	"3.00"	3
"YP_003043886.1"	1	"1.00"	1
"YP_003043888.1"	49	"49.00"	49
"YP_003043889.1"	7	"7.00"	7
"YP_003043890.1"	16	"16.00"	16
"YP_003043891.1"	4	"4.00"	4
"YP_003043892.1"	2	"2.00"	2
"YP_003043898.1"	166	"166.00"	166
"YP_003043899.1"	4	"4.00"	4
"YP_003043900.1"	2	"2.00"	2
"YP_003043901.1"	211	"211.00"	211
"YP_003043902.1"	58	"58.00"	58
"YP_003043903.1"	273	"273.00"	273
"YP_003043904.1"	167	"167.00"	167
"YP_003043905.1"	161	"161.00"	161
"YP_003043906.1"	110	"110.00"	110
"YP_003043907.1"	5	"5.00"	5
"YP_003043910.1"	49	"49.00"	49
"YP_003043911.1"	4	"4.00"	4
"YP_003043914.1"	4	"4.00"	4
"YP_003043915.1"	10	"10.00"	10
"YP_003043916.1"	6	"6.00"	6
"YP_003043917.1"	5	"5.00"	5
"YP_003043918.1"	97	"97.00"	97
"YP_003043919.1"	61	"61.00"	61
"YP_003043920.1"	27	"27.00"	27
"YP_003043921.1"	5	"5.00"	5
"YP_003043924.1"	2	"2.00"	2
"YP_003043925.1"	87	"85.00"	83
"YP_003043926.1"	86	"86.00"	86
"YP_003043927.1"	29	"29.00"	29
"YP_003043928.1"	19	"19.00"	19
"YP_003043929.1"	7	"7.00"	7
"YP_003043930.1"	40	"40.00"	40
"YP_003043931.1"	21	"21.00"	21
"YP_003043932.1"	22	"22.00"	22
"YP_003043934.1"	39	"39.00"	39
"YP_003043936.1"	9	"9.00"	9
"YP_003043937.1"	10	"10.00"	10
"YP_003043938.1"	25	"25.00"	25
"YP_003043939.1"	1	"1.00"	1
"YP_003043943.1"	25	"25.00"	25
"YP_003043949.1"	1	"1.00"	1
"YP_003043958.1"	3	"3.00"	3
"YP_003043959.1"	5	"5.00"	5
"YP_003043960.1"	24	"24.00"	24
"YP_003043963.1"	11	"11.00"	11
"YP_003043964.1"	14	"14.00"	14
"YP_003043965.1"	7	"7.00"	7
"YP_003043967.1"	17	"17.00"	17
"YP_003043968.1"	2	"2.00"	2
"YP_003043969.1"	1	"1.00"	1
"YP_003043970.1"	4	"4.00"	4
"YP_003043974.1"	1	"0.50"	0
"YP_003043975.1"	1	"1.00"	1
"YP_003043979.1"	1	"1.00"	1
"YP_003043980.1"	9	"9.00"	9
"YP_003043982.1"	6	"6.00"	6
"YP_003043985.1"	39	"39.00"	39
"YP_003043986.1"	88	"88.00"	88
"YP_003043990.1"	1	"1.00"	1
"YP_003043992.1"	8	"8.00"	8
"YP_003043994.1"	24	"24.00"	24
"YP_003043995.1"	6	"6.00"	6
"YP_003043996.1"	47	"47.00"	47
"YP_003043997.1"	60	"60.00"	60
"YP_003043999.1"	6	"6.00"	6
"YP_003044002.1"	2	"2.00"	2
"YP_003044004.1"	32	"28.50"	25
"YP_003044005.1"	47	"47.00"	47
"YP_003044007.1"	9	"9.00"	9
"YP_003044010.1"	3	"3.00"	3
"YP_003044011.1"	2	"2.00"	2
"YP_003044012.1"	33	"33.00"	33
"YP_003044013.1"	7	"7.00"	7
"YP_003044014.1"	10	"10.00"	10
"YP_003044015.1"	34	"34.00"	34
"YP_003044016.1"	2	"2.00"	2
"YP_003044017.1"	1	"1.00"	1
"YP_003044018.1"	1	"1.00"	1
"YP_003044020.1"	22	"22.00"	22
"YP_003044023.1"	36	"36.00"	36
"YP_003044024.1"	59	"54.50"	50
"YP_003044025.1"	4	"4.00"	4
"YP_003044027.1"	4	"0.80"	0
"YP_003044029.1"	4	"4.00"	4
"YP_003044032.1"	5	"5.00"	5
"YP_003044035.1"	5	"5.00"	5
"YP_003044043.1"	2	"2.00"	2
"YP_003044046.1"	4	"4.00"	4
"YP_003044048.1"	1	"1.00"	1
"YP_003044049.1"	3	"3.00"	3
"YP_003044063.1"	4	"4.00"	4
"YP_003044068.1"	1	"1.00"	1
"YP_003044070.1"	3	"3.00"	3
"YP_003044072.1"	4	"4.00"	4
"YP_003044074.1"	30	"30.00"	30
"YP_003044075.1"	3	"3.00"	3
"YP_003044076.1"	2	"2.00"	2
"YP_003044077.1"	36	"36.00"	36
"YP_003044078.1"	24	"24.00"	24
"YP_003044079.1"	1	"1.00"	1
"YP_003044082.1"	3	"3.00"	3
"YP_003044083.1"	32	"32.00"	32
"YP_003044084.1"	2	"2.00"	2
"YP_003044085.1"	2	"2.00"	2
"YP_003044086.1"	51	"51.00"	51
"YP_003044087.1"	15	"15.00"	15
"YP_003044088.1"	13	"13.00"	13
"YP_003044089.1"	6	"6.00"	6
"YP_003044090.1"	1	"1.00"	1
"YP_003044091.1"	16	"16.00"	16
"YP_003044092.1"	10	"10.00"	10
"YP_003044093.1"	25	"25.00"	25
"YP_003044094.1"	1	"1.00"	1
"YP_003044099.1"	14	"14.00"	14
"YP_003044100.1"	10	"10.00"	10
"YP_003044101.1"	14	"14.00"	14
"YP_003044102.1"	11	"11.00"	11
"YP_003044104.1"	4	"4.00"	4
"YP_003044105.1"	23	"23.00"	23
"YP_003044106.1"	21	"21.00"	21
"YP_003044108.1"	26	"26.00"	26
"YP_003044109.1"	21	"21.00"	21
"YP_003044110.1"	69	"69.00"	69
"YP_003044111.1"	40	"40.00"	40
"YP_003044112.1"	19	"19.00"	19
"YP_003044113.1"	31	"31.00"	31
"YP_003044114.1"	10	"10.00"	10
"YP_003044115.1"	80	"80.00"	80
"YP_003044119.1"	3	"3.00"	3
"YP_003044123.1"	3	"3.00"	3
"YP_003044124.1"	27	"27.00"	27
"YP_003044125.1"	202	"199.50"	197
"YP_003044127.1"	9	"9.00"	9
"YP_003044129.1"	121	"121.00"	121
"YP_003044130.1"	110	"110.00"	110
"YP_003044132.1"	22	"22.00"	22
"YP_003044133.1"	406	"406.00"	406
"YP_003044134.1"	25	"25.00"	25
"YP_003044136.1"	16	"16.00"	16
"YP_003044137.1"	1	"1.00"	1
"YP_003044138.1"	2	"2.00"	2
"YP_003044139.1"	5	"5.00"	5
"YP_003044140.1"	25	"25.00"	25
"YP_003044144.1"	36	"36.00"	36
"YP_003044145.1"	16	"16.00"	16
"YP_003044146.1"	93	"93.00"	93
"YP_003044147.1"	10	"10.00"	10
"YP_003044149.1"	10	"10.00"	10
"YP_003044150.1"	213	"213.00"	213
"YP_003044151.1"	19	"19.00"	19
"YP_003044152.1"	126	"126.00"	126
"YP_003044153.1"	24	"24.00"	24
"YP_003044154.1"	117	"117.00"	117
"YP_003044167.1"	30	"30.00"	30
"YP_003044169.1"	36	"36.00"	36
"YP_003044170.1"	34	"34.00"	34
"YP_003044171.1"	20	"20.00"	20
"YP_003044173.1"	14	"14.00"	14
"YP_003044174.1"	13	"13.00"	13
"YP_003044175.1"	2	"2.00"	2
"YP_003044176.1"	13	"13.00"	13
"YP_003044177.1"	11	"11.00"	11
"YP_003044178.1"	1	"1.00"	1
"YP_003044179.1"	134	"134.00"	134
"YP_003044181.1"	1	"1.00"	1
"YP_003044183.1"	4	"4.00"	4
"YP_003044184.1"	10	"10.00"	10
"YP_003044185.1"	14	"14.00"	14
"YP_003044186.1"	1	"1.00"	1
"YP_003044187.1"	13	"13.00"	13
"YP_003044189.1"	33	"33.00"	33
"YP_003044190.1"	3	"3.00"	3
"YP_003044191.1"	2	"2.00"	2
"YP_003044199.1"	1	"1.00"	1
"YP_003044201.1"	2	"2.00"	2
"YP_003044205.1"	1	"1.00"	1
"YP_003044212.1"	6	"5.00"	4
"YP_003044214.1"	1	"1.00"	1
"YP_003044216.1"	1	"1.00"	1
"YP_003044218.1"	1	"1.00"	1
"YP_003044221.1"	10	"10.00"	10
"YP_003044223.1"	48	"48.00"	48
"YP_003044224.1"	7	"7.00"	7
"YP_003044225.1"	29	"29.00"	29
"YP_003044227.1"	1	"1.00"	1
"YP_003044228.1"	2	"2.00"	2
"YP_003044235.1"	15	"15.00"	15
"YP_003044236.1"	3	"3.00"	3
"YP_003044238.1"	94	"94.00"	94
"YP_003044239.1"	6	"6.00"	6
"YP_003044242.1"	1	"1.00"	1
"YP_003044248.1"	53	"53.00"	53
"YP_003044249.1"	34	"34.00"	34
"YP_003044250.1"	22	"22.00"	22
"YP_003044260.1"	13	"13.00"	13
"YP_003044261.1"	9	"9.00"	9
"YP_003044263.1"	80	"80.00"	80
"YP_003044264.1"	33	"33.00"	33
"YP_003044266.1"	2	"2.00"	2
"YP_003044268.1"	15	"15.00"	15
"YP_003044269.1"	4	"4.00"	4
"YP_003044270.1"	11	"11.00"	11
"YP_003044273.1"	57	"57.00"	57
"YP_003044275.1"	4	"4.00"	4
"YP_003044276.1"	40	"40.00"	40
"YP_003044277.1"	10	"10.00"	10
"YP_003044278.1"	14	"14.00"	14
"YP_003044280.1"	5	"5.00"	5
"YP_003044281.1"	27	"27.00"	27
"YP_003044282.1"	3	"3.00"	3
"YP_003044284.1"	30	"30.00"	30
"YP_003044285.1"	62	"62.00"	62
"YP_003044287.1"	2	"2.00"	2
"YP_003044288.1"	3	"3.00"	3
"YP_003044289.1"	10	"10.00"	10
"YP_003044290.1"	74	"74.00"	74
"YP_003044291.1"	5	"5.00"	5
"YP_003044292.1"	15	"15.00"	15
"YP_003044293.1"	23	"23.00"	23
"YP_003044294.1"	10	"10.00"	10
"YP_003044295.1"	2	"2.00"	2
"YP_003044296.1"	42	"42.00"	42
"YP_003044297.1"	30	"30.00"	30
"YP_003044298.1"	203	"203.00"	203
"YP_003044300.1"	9	"9.00"	9
"YP_003044301.1"	13	"13.00"	13
"YP_003044302.1"	7	"7.00"	7
"YP_003044303.1"	73	"73.00"	73
"YP_003044304.1"	7	"7.00"	7
"YP_003044305.1"	49	"49.00"	49
"YP_003044306.1"	60	"60.00"	60
"YP_003044307.1"	33	"33.00"	33
"YP_003044308.1"	23	"23.00"	23
"YP_003044309.1"	350	"350.00"	350
"YP_003044311.1"	8	"8.00"	8
"YP_003044312.1"	16	"16.00"	16
"YP_003044313.1"	8	"8.00"	8
"YP_003044314.1"	17	"17.00"	17
"YP_003044315.1"	28	"28.00"	28
"YP_003044316.1"	8	"8.00"	8
"YP_003044317.1"	16	"16.00"	16
"YP_003044318.1"	1	"1.00"	1
"YP_003044319.1"	16	"16.00"	16
"YP_003044321.1"	10	"10.00"	10
"YP_003044322.1"	21	"21.00"	21
"YP_003044323.1"	27	"27.00"	27
"YP_003044325.1"	1	"1.00"	1
"YP_003044328.1"	49	"49.00"	49
"YP_003044330.1"	11	"11.00"	11
"YP_003044331.1"	14	"14.00"	14
"YP_003044332.1"	6	"6.00"	6
"YP_003044334.1"	1	"0.04"	0
"YP_003044335.1"	2	"2.00"	2
"YP_003044338.1"	64	"64.00"	64
"YP_003044341.1"	24	"24.00"	24
"YP_003044342.1"	7	"7.00"	7
"YP_003044343.1"	40	"40.00"	40
"YP_003044344.1"	14	"14.00"	14
"YP_003044345.1"	45	"45.00"	45
"YP_003044346.1"	80	"80.00"	80
"YP_003044347.1"	17	"17.00"	17
"YP_003044348.1"	19	"19.00"	19
"YP_003044349.1"	1	"1.00"	1
"YP_003044350.1"	1	"1.00"	1
"YP_003044351.1"	237	"237.00"	237
"YP_003044354.1"	4	"4.00"	4
"YP_003044365.1"	17	"17.00"	17
"YP_003044366.1"	37	"37.00"	37
"YP_003044367.1"	13	"13.00"	13
"YP_003044369.1"	20	"20.00"	20
"YP_003044370.1"	11	"11.00"	11
"YP_003044371.1"	14	"14.00"	14
"YP_003044372.1"	2	"2.00"	2
"YP_003044377.1"	12	"12.00"	12
"YP_003044378.1"	11	"11.00"	11
"YP_003044379.1"	26	"26.00"	26
"YP_003044380.1"	6	"6.00"	6
"YP_003044382.1"	11	"11.00"	11
"YP_003044387.1"	8	"8.00"	8
"YP_003044388.1"	41	"41.00"	41
"YP_003044389.1"	34	"34.00"	34
"YP_003044390.1"	53	"53.00"	53
"YP_003044391.1"	1	"1.00"	1
"YP_003044393.1"	50	"50.00"	50
"YP_003044394.1"	24	"24.00"	24
"YP_003044395.1"	5	"5.00"	5
"YP_003044397.1"	143	"143.00"	143
"YP_003044398.1"	4	"4.00"	4
"YP_003044399.1"	27	"27.00"	27
"YP_003044400.1"	10	"10.00"	10
"YP_003044401.1"	24	"24.00"	24
"YP_003044402.1"	2	"2.00"	2
"YP_003044405.1"	66	"66.00"	66
"YP_003044412.1"	19	"19.00"	19
"YP_003044414.1"	3	"2.33"	2
"YP_003044415.1"	1	"1.00"	1
"YP_003044417.1"	1	"1.00"	1
"YP_003044421.1"	26	"26.00"	26
"YP_003044422.1"	2	"2.00"	2
"YP_003044424.1"	4	"4.00"	4
"YP_003044425.1"	39	"39.00"	39
"YP_003044426.1"	65	"65.00"	65
"YP_003044427.1"	7	"7.00"	7
"YP_003044428.1"	281	"281.00"	281
"YP_003044430.1"	128	"128.00"	128
"YP_003044431.1"	6	"6.00"	6
"YP_003044433.1"	13	"13.00"	13
"YP_003044434.1"	34	"34.00"	34
"YP_003044435.1"	2	"2.00"	2
"YP_003044436.1"	6	"6.00"	6
"YP_003044437.1"	11	"11.00"	11
"YP_003044438.1"	12	"12.00"	12
"YP_003044439.1"	2	"2.00"	2
"YP_003044440.1"	2	"2.00"	2
"YP_003044443.1"	11	"11.00"	11
"YP_003044445.1"	1	"1.00"	1
"YP_003044447.1"	69	"69.00"	69
"YP_003044448.1"	98	"98.00"	98
"YP_003044449.1"	80	"80.00"	80
"YP_003044450.1"	64	"64.00"	64
"YP_003044451.1"	65	"65.00"	65
"YP_003044454.1"	18	"18.00"	18
"YP_003044456.1"	1	"0.04"	0
"YP_003044457.1"	5	"5.00"	5
"YP_003044458.1"	6	"6.00"	6
"YP_003044459.1"	26	"26.00"	26
"YP_003044460.1"	25	"25.00"	25
"YP_003044461.1"	9	"9.00"	9
