"#ProtID"	"Unweighted"	"Weighted"	"Unique"
"YP_003043569.1"	15	"15.00"	15
"YP_003043570.1"	18	"18.00"	18
"YP_003043572.1"	20	"20.00"	20
"YP_003043573.1"	4	"4.00"	4
"YP_003043574.1"	13	"13.00"	13
"YP_003043575.1"	2	"2.00"	2
"YP_003043578.1"	16	"16.00"	16
"YP_003043579.1"	7	"7.00"	7
"YP_003043580.1"	30	"30.00"	30
"YP_003043581.1"	86	"86.00"	86
"YP_003043582.1"	64	"64.00"	64
"YP_003043583.1"	23	"23.00"	23
"YP_003043584.1"	10	"10.00"	10
"YP_003043587.1"	20	"20.00"	20
"YP_003043588.1"	21	"21.00"	21
"YP_003043589.1"	60	"60.00"	60
"YP_003043590.1"	17	"17.00"	17
"YP_003043591.1"	12	"12.00"	12
"YP_003043593.1"	9	"9.00"	9
"YP_003043594.1"	56	"56.00"	56
"YP_003043595.1"	12	"12.00"	12
"YP_003043596.1"	7	"7.00"	7
"YP_003043597.1"	22	"22.00"	22
"YP_003043598.1"	18	"18.00"	18
"YP_003043599.1"	2	"2.00"	2
"YP_003043600.1"	48	"48.00"	48
"YP_003043608.1"	12	"12.00"	12
"YP_003043609.1"	75	"75.00"	75
"YP_003043611.1"	39	"39.00"	39
"YP_003043612.1"	10	"10.00"	10
"YP_003043613.1"	239	"239.00"	239
"YP_003043614.1"	47	"47.00"	47
"YP_003043615.1"	136	"136.00"	136
"YP_003043617.1"	5	"5.00"	5
"YP_003043618.1"	49	"46.00"	43
"YP_003043619.1"	117	"117.00"	117
"YP_003043621.1"	2	"2.00"	2
"YP_003043622.1"	9	"9.00"	9
"YP_003043623.1"	11	"11.00"	11
"YP_003043626.1"	6	"6.00"	6
"YP_003043629.1"	1	"1.00"	1
"YP_003043630.1"	21	"21.00"	21
"YP_003043631.1"	3	"3.00"	3
"YP_003043635.1"	4	"4.00"	4
"YP_003043636.1"	2	"2.00"	2
"YP_003043637.1"	3	"3.00"	3
"YP_003043639.1"	64	"64.00"	64
"YP_003043640.1"	104	"104.00"	104
"YP_003043641.1"	3	"3.00"	3
"YP_003043642.1"	28	"28.00"	28
"YP_003043644.1"	2	"2.00"	2
"YP_003043646.1"	22	"22.00"	22
"YP_003043647.1"	15	"15.00"	15
"YP_003043648.1"	47	"47.00"	47
"YP_003043649.1"	13	"13.00"	13
"YP_003043650.1"	222	"222.00"	222
"YP_003043651.1"	45	"45.00"	45
"YP_003043652.1"	12	"12.00"	12
"YP_003043654.1"	29	"29.00"	29
"YP_003043655.1"	1	"1.00"	1
"YP_003043657.1"	19	"19.00"	19
"YP_003043658.1"	23	"23.00"	23
"YP_003043660.1"	1	"1.00"	1
"YP_003043661.1"	19	"19.00"	19
"YP_003043664.1"	4	"4.00"	4
"YP_003043666.1"	8	"8.00"	8
"YP_003043669.1"	47	"47.00"	47
"YP_003043670.1"	6	"6.00"	6
"YP_003043671.1"	18	"18.00"	18
"YP_003043673.1"	6	"6.00"	6
"YP_003043674.1"	1	"0.50"	0
"YP_003043682.1"	8	"8.00"	8
"YP_003043688.1"	1	"1.00"	1
"YP_003043689.1"	2	"2.00"	2
"YP_003043691.1"	2	"2.00"	2
"YP_003043695.1"	1	"1.00"	1
"YP_003043698.1"	35	"35.00"	35
"YP_003043699.1"	58	"58.00"	58
"YP_003043701.1"	67	"67.00"	67
"YP_003043702.1"	61	"61.00"	61
"YP_003043704.1"	2	"2.00"	2
"YP_003043705.1"	11	"11.00"	11
"YP_003043713.1"	1	"1.00"	1
"YP_003043722.1"	1	"1.00"	1
"YP_003043729.1"	6	"0.21"	0
"YP_003043732.1"	1	"1.00"	1
"YP_003043733.1"	21	"21.00"	21
"YP_003043735.1"	1	"1.00"	1
"YP_003043742.1"	1	"1.00"	1
"YP_003043743.1"	47	"47.00"	47
"YP_003043746.1"	2	"2.00"	2
"YP_003043748.1"	1	"1.00"	1
"YP_003043751.1"	1	"1.00"	1
"YP_003043754.1"	3	"3.00"	3
"YP_003043755.1"	3	"3.00"	3
"YP_003043756.1"	41	"41.00"	41
"YP_003043757.1"	8	"8.00"	8
"YP_003043758.1"	26	"26.00"	26
"YP_003043759.1"	18	"17.00"	16
"YP_003043761.1"	2	"2.00"	2
"YP_003043762.1"	52	"52.00"	52
"YP_003043763.1"	1	"1.00"	1
"YP_003043765.1"	5	"5.00"	5
"YP_003043768.1"	6	"0.21"	0
"YP_003043772.1"	85	"85.00"	85
"YP_003043774.1"	4	"4.00"	4
"YP_003043775.1"	22	"22.00"	22
"YP_003043777.1"	8	"8.00"	8
"YP_003043781.1"	3	"3.00"	3
"YP_003043782.1"	4	"4.00"	4
"YP_003043783.1"	3	"3.00"	3
"YP_003043784.1"	12	"12.00"	12
"YP_003043785.1"	2	"2.00"	2
"YP_003043786.1"	2	"2.00"	2
"YP_003043788.1"	15	"15.00"	15
"YP_003043789.1"	21	"21.00"	21
"YP_003043793.1"	6	"0.21"	0
"YP_003043794.1"	9	"9.00"	9
"YP_003043795.1"	112	"112.00"	112
"YP_003043796.1"	68	"68.00"	68
"YP_003043797.1"	23	"23.00"	23
"YP_003043799.1"	25	"25.00"	25
"YP_003043800.1"	6	"6.00"	6
"YP_003043809.1"	6	"0.21"	0
"YP_003043811.1"	1	"1.00"	1
"YP_003043814.1"	5	"4.50"	4
"YP_003043817.1"	1	"1.00"	1
"YP_003043818.1"	37	"37.00"	37
"YP_003043820.1"	2	"2.00"	2
"YP_003043821.1"	16	"16.00"	16
"YP_003043822.1"	71	"65.00"	59
"YP_003043823.1"	11	"11.00"	11
"YP_003043825.1"	5	"5.00"	5
"YP_003043826.1"	6	"6.00"	6
"YP_003043827.1"	17	"17.00"	17
"YP_003043828.1"	3	"3.00"	3
"YP_003043829.1"	1	"1.00"	1
"YP_003043830.1"	11	"11.00"	11
"YP_003043831.1"	15	"15.00"	15
"YP_003043832.1"	120	"120.00"	120
"YP_003043833.1"	4	"4.00"	4
"YP_003043837.1"	13	"13.00"	13
"YP_003043840.1"	2	"2.00"	2
"YP_003043841.1"	4	"4.00"	4
"YP_003043842.1"	231	"231.00"	231
"YP_003043844.1"	14	"14.00"	14
"YP_003043845.1"	7	"7.00"	7
"YP_003043846.1"	6	"6.00"	6
"YP_003043847.1"	51	"51.00"	51
"YP_003043848.1"	66	"66.00"	66
"YP_003043849.1"	14	"14.00"	14
"YP_003043850.1"	85	"85.00"	85
"YP_003043851.1"	39	"39.00"	39
"YP_003043852.1"	14	"14.00"	14
"YP_003043853.1"	23	"23.00"	23
"YP_003043854.1"	19	"19.00"	19
"YP_003043855.1"	41	"41.00"	41
"YP_003043856.1"	75	"75.00"	75
"YP_003043859.1"	35	"35.00"	35
