"","MURI","MURI_num","L","SA","short_R1","short_R2"
"124","MURI_101 ",101,"L005","SA14008","MURI_101_SA14008_GCCAAT_L005_R1_001.fastq.gz","MURI_101_SA14008_GCCAAT_L005_R2_001.fastq.gz"
"125","MURI_101 ",101,"L006","SA14008","MURI_101_SA14008_GCCAAT_L006_R1_001.fastq.gz","MURI_101_SA14008_GCCAAT_L006_R2_001.fastq.gz"
"126","MURI_102 ",102,"L001","SA14140","MURI_102_SA14140_ATTCCT_L001_R1_001.fastq.gz","MURI_102_SA14140_ATTCCT_L001_R2_001.fastq.gz"
"127","MURI_102 ",102,"L005","SA14008","MURI_102_SA14008_CAGATC_L005_R1_001.fastq.gz","MURI_102_SA14008_CAGATC_L005_R2_001.fastq.gz"
"128","MURI_102 ",102,"L006","SA14008","MURI_102_SA14008_CAGATC_L006_R1_001.fastq.gz","MURI_102_SA14008_CAGATC_L006_R2_001.fastq.gz"
"129","MURI_102 ",102,"L006","SA14032","MURI_102_SA14032_CAGATC_L006_R1_001.fastq.gz","MURI_102_SA14032_CAGATC_L006_R2_001.fastq.gz"
"130","MURI_103 ",103,"L005","SA14008","MURI_103_SA14008_ACTTGA_L005_R1_001.fastq.gz","MURI_103_SA14008_ACTTGA_L005_R2_001.fastq.gz"
"131","MURI_103 ",103,"L006","SA14008","MURI_103_SA14008_ACTTGA_L006_R1_001.fastq.gz","MURI_103_SA14008_ACTTGA_L006_R2_001.fastq.gz"
"132","MURI_103 ",103,"L006","SA14032","MURI_103_SA14032_ACTTGA_L006_R1_001.fastq.gz","MURI_103_SA14032_ACTTGA_L006_R2_001.fastq.gz"
"133","MURI_104 ",104,"L002","SA14200","MURI_104_SA14200_ATCACG_L002_R1_001.fastq.gz","MURI_104_SA14200_ATCACG_L002_R2_001.fastq.gz"
"134","MURI_104 ",104,"L005","SA14008","MURI_104_SA14008_GATCAG_L005_R1_001.fastq.gz","MURI_104_SA14008_GATCAG_L005_R2_001.fastq.gz"
"135","MURI_104 ",104,"L006","SA14008","MURI_104_SA14008_GATCAG_L006_R1_001.fastq.gz","MURI_104_SA14008_GATCAG_L006_R2_001.fastq.gz"
"136","MURI_104 ",104,"L007","SA14008","MURI_104_SA14008_GATCAG_L007_R1_001.fastq.gz","MURI_104_SA14008_GATCAG_L007_R2_001.fastq.gz"
"137","MURI_104 ",104,"L008","SA14008","MURI_104_SA14008_GATCAG_L008_R1_001.fastq.gz","MURI_104_SA14008_GATCAG_L008_R2_001.fastq.gz"
"138","MURI_105 ",105,"L005","SA14008","MURI_105_SA14008_TAGCTT_L005_R1_001.fastq.gz","MURI_105_SA14008_TAGCTT_L005_R2_001.fastq.gz"
"139","MURI_105 ",105,"L006","SA14008","MURI_105_SA14008_TAGCTT_L006_R1_001.fastq.gz","MURI_105_SA14008_TAGCTT_L006_R2_001.fastq.gz"
"140","MURI_105 ",105,"L007","SA14008","MURI_105_SA14008_TAGCTT_L007_R1_001.fastq.gz","MURI_105_SA14008_TAGCTT_L007_R2_001.fastq.gz"
"141","MURI_105 ",105,"L007","SA14200","MURI_105_SA14200_TTAGGC_L007_R1_001.fastq.gz","MURI_105_SA14200_TTAGGC_L007_R2_001.fastq.gz"
"142","MURI_105 ",105,"L008","SA14008","MURI_105_SA14008_TAGCTT_L008_R1_001.fastq.gz","MURI_105_SA14008_TAGCTT_L008_R2_001.fastq.gz"
"143","MURI_105 ",105,"L008","SA14200","MURI_105_SA14200_TTAGGC_L008_R1_001.fastq.gz","MURI_105_SA14200_TTAGGC_L008_R2_001.fastq.gz"
"144","MURI_106 ",106,"L007","SA14200","MURI_106_SA14200_TGACCA_L007_R1_001.fastq.gz","MURI_106_SA14200_TGACCA_L007_R2_001.fastq.gz"
"145","MURI_106 ",106,"L008","SA14200","MURI_106_SA14200_TGACCA_L008_R1_001.fastq.gz","MURI_106_SA14200_TGACCA_L008_R2_001.fastq.gz"
"146","MURI_107 ",107,"L001","SA14140","MURI_107_SA14140_ACAGTG_L001_R1_001.fastq.gz","MURI_107_SA14140_ACAGTG_L001_R2_001.fastq.gz"
"147","MURI_108 ",108,"L001","SA14140","MURI_108_SA14140_GCCAAT_L001_R1_001.fastq.gz","MURI_108_SA14140_GCCAAT_L001_R2_001.fastq.gz"
"148","MURI_109 ",109,"L001","SA14140","MURI_109_SA14140_CAGATC_L001_R1_001.fastq.gz","MURI_109_SA14140_CAGATC_L001_R2_001.fastq.gz"
"149","MURI_110 ",110,"L001","SA14140","MURI_110_SA14140_ACTTGA_L001_R1_001.fastq.gz","MURI_110_SA14140_ACTTGA_L001_R2_001.fastq.gz"
"150","MURI_111 ",111,"L001","SA14140","MURI_111_SA14140_GATCAG_L001_R1_001.fastq.gz","MURI_111_SA14140_GATCAG_L001_R2_001.fastq.gz"
"151","MURI_112 ",112,"L001","SA14140","MURI_112_SA14140_TAGCTT_L001_R1_001.fastq.gz","MURI_112_SA14140_TAGCTT_L001_R2_001.fastq.gz"
"152","MURI_113 ",113,"L001","SA14140","MURI_113_SA14140_GGCTAC_L001_R1_001.fastq.gz","MURI_113_SA14140_GGCTAC_L001_R2_001.fastq.gz"
"153","MURI_114 ",114,"L001","SA15008","MURI_114_SA15008_CTTGTA_L001_R1_001.fastq.gz","MURI_114_SA15008_CTTGTA_L001_R2_001.fastq.gz"
"154","MURI_114 ",114,"L003","SA14140","MURI_114_SA14140_CTTGTA_L003_R1_001.fastq.gz","MURI_114_SA14140_CTTGTA_L003_R2_001.fastq.gz"
"155","MURI_115 ",115,"L003","SA14140","MURI_115_SA14140_AGTCAA_L003_R1_001.fastq.gz","MURI_115_SA14140_AGTCAA_L003_R2_001.fastq.gz"
"156","MURI_116 ",116,"L003","SA14140","MURI_116_SA14140_AGTTCC_L003_R1_001.fastq.gz","MURI_116_SA14140_AGTTCC_L003_R2_001.fastq.gz"
