"","MURI","R1_L1","R1_L2","R1_L3","R1_L4","R1_L5","R1_L6","R2_L1","R2_L2","R2_L3","R2_L4","R2_L5","R2_L6","MURI_num"
"78","MURI_97 ","MURI_97_SA14008_ATCACG_L005_R1_001.fastq","MURI_97_SA14008_ATCACG_L006_R1_001.fastq","MURI_97_SA14140_ATGTCA_L001_R1_001.fastq",,,,"MURI_97_SA14008_ATCACG_L005_R2_001.fastq","MURI_97_SA14008_ATCACG_L006_R2_001.fastq","MURI_97_SA14140_ATGTCA_L001_R2_001.fastq",,,,97
"79","MURI_98 ","MURI_98_SA14008_TTAGGC_L005_R1_001.fastq","MURI_98_SA14008_TTAGGC_L006_R1_001.fastq","MURI_98_SA14140_CCGTCC_L001_R1_001.fastq",,,,"MURI_98_SA14008_TTAGGC_L005_R2_001.fastq","MURI_98_SA14008_TTAGGC_L006_R2_001.fastq","MURI_98_SA14140_CCGTCC_L001_R2_001.fastq",,,,98
"80","MURI_99 ","MURI_99_SA14008_TGACCA_L005_R1_001.fastq","MURI_99_SA14008_TGACCA_L006_R1_001.fastq","MURI_99_SA14140_GTCCGC_L001_R1_001.fastq",,,,"MURI_99_SA14008_TGACCA_L005_R2_001.fastq","MURI_99_SA14008_TGACCA_L006_R2_001.fastq","MURI_99_SA14140_GTCCGC_L001_R2_001.fastq",,,,99
"81","MURI_100 ","MURI_100_SA14008_ACAGTG_L006_R1_001.fastq","MURI_100_SA14140_GTGGCC_L001_R1_001.fastq",,,,,"MURI_100_SA14008_ACAGTG_L005_R2_001.fastq","MURI_100_SA14008_ACAGTG_L006_R2_001.fastq","MURI_100_SA14140_GTGGCC_L001_R2_001.fastq",,,,100
"82","MURI_101 ","MURI_101_SA14008_GCCAAT_L005_R1_001.fastq","MURI_101_SA14008_GCCAAT_L006_R1_001.fastq","MURI_101_SA14140_ACTGAT_L001_R1_001.fastq",,,,"MURI_101_SA14008_GCCAAT_L005_R2_001.fastq","MURI_101_SA14008_GCCAAT_L006_R2_001.fastq","MURI_101_SA14140_ACTGAT_L001_R2_001.fastq",,,,101
"83","MURI_102 ","MURI_102_SA14008_CAGATC_L005_R1_001.fastq","MURI_102_SA14008_CAGATC_L006_R1_001.fastq","MURI_102_SA14032_CAGATC_L006_R1_001.fastq","MURI_102_SA14140_ATTCCT_L001_R1_001.fastq",,,"MURI_102_SA14008_CAGATC_L005_R2_001.fastq","MURI_102_SA14008_CAGATC_L006_R2_001.fastq","MURI_102_SA14032_CAGATC_L006_R2_001.fastq","MURI_102_SA14140_ATTCCT_L001_R2_001.fastq",,,102
"84","MURI_103 ","MURI_103_SA14008_ACTTGA_L005_R1_001.fastq","MURI_103_SA14008_ACTTGA_L006_R1_001.fastq","MURI_103_SA14032_ACTTGA_L006_R1_001.fastq",,,,"MURI_103_SA14008_ACTTGA_L005_R2_001.fastq","MURI_103_SA14008_ACTTGA_L006_R2_001.fastq","MURI_103_SA14032_ACTTGA_L006_R2_001.fastq",,,,103
"85","MURI_104 ","MURI_104_SA14008_GATCAG_L005_R1_001.fastq","MURI_104_SA14008_GATCAG_L006_R1_001.fastq","MURI_104_SA14008_GATCAG_L007_R1_001.fastq","MURI_104_SA14008_GATCAG_L008_R1_001.fastq","MURI_104_SA14200_ATCACG_L002_R1_001.fastq",,"MURI_104_SA14008_GATCAG_L005_R2_001.fastq","MURI_104_SA14008_GATCAG_L006_R2_001.fastq","MURI_104_SA14008_GATCAG_L007_R2_001.fastq","MURI_104_SA14008_GATCAG_L008_R2_001.fastq","MURI_104_SA14200_ATCACG_L002_R2_001.fastq",,104
"86","MURI_105 ","MURI_105_SA14008_TAGCTT_L005_R1_001.fastq","MURI_105_SA14008_TAGCTT_L006_R1_001.fastq","MURI_105_SA14008_TAGCTT_L007_R1_001.fastq","MURI_105_SA14008_TAGCTT_L008_R1_001.fastq","MURI_105_SA14200_TTAGGC_L007_R1_001.fastq","MURI_105_SA14200_TTAGGC_L008_R1_001.fastq","MURI_105_SA14008_TAGCTT_L005_R2_001.fastq","MURI_105_SA14008_TAGCTT_L006_R2_001.fastq","MURI_105_SA14008_TAGCTT_L007_R2_001.fastq","MURI_105_SA14008_TAGCTT_L008_R2_001.fastq","MURI_105_SA14200_TTAGGC_L007_R2_001.fastq","MURI_105_SA14200_TTAGGC_L008_R2_001.fastq",105
"87","MURI_106 ","MURI_106_SA14200_TGACCA_L007_R1_001.fastq","MURI_106_SA14200_TGACCA_L008_R1_001.fastq",,,,,"MURI_106_SA14200_TGACCA_L007_R2_001.fastq","MURI_106_SA14200_TGACCA_L008_R2_001.fastq",,,,,106
