"","geneName","type"
"189","ECB_00189","RNA"
"190","ECB_00190","RNA"
"191","ECB_00191","RNA"
"192","ECB_00192","RNA"
"193","ECB_00193","RNA"
"194","ECB_00194","RNA"
"195","ECB_00195","RNA"
"196","ECB_00196","RNA"
"197","ECB_00197","RNA"
"198","ECB_00198","RNA"
"199","ECB_00199","RNA"
"200","ECB_00200","RNA"
"201","ECB_00201","RNA"
"202","ECB_00202","RNA"
"203","ECB_00203","RNA"
"204","ECB_00204","RNA"
"205","ECB_00205","RNA"
"206","ECB_00206","RNA"
"207","ECB_00207","RNA"
"208","ECB_00208","RNA"
"209","ECB_00209","RNA"
"210","ECB_00210","RNA"
"211","ECB_00211","RNA"
"212","ECB_00212","RNA"
"213","ECB_00213","RNA"
"214","ECB_00214","RNA"
"215","ECB_00215","RNA"
"216","ECB_00216","RNA"
"217","ECB_00217","RNA"
"218","ECB_00218","RNA"
"219","ECB_00219","RNA"
"220","ECB_00220","RNA"
"221","ECB_00221","RNA"
"222","ECB_00222","RNA"
"223","ECB_00223","RNA"
"224","ECB_00224","RNA"
"225","ECB_00225","RNA"
"226","ECB_00226","RNA"
"227","ECB_00227","RNA"
"228","ECB_00228","RNA"
"229","ECB_00229","RNA"
"230","ECB_00230","RNA"
"231","ECB_00231","RNA"
"232","ECB_00232","RNA"
"233","ECB_00233","RNA"
"234","ECB_00234","RNA"
"235","ECB_00235","RNA"
"236","ECB_00236","RNA"
"237","ECB_00237","RNA"
"238","ECB_00238","RNA"
"239","ECB_00239","RNA"
"240","ECB_00240","RNA"
"241","ECB_00241","RNA"
"242","ECB_00242","RNA"
"243","ECB_00243","RNA"
"244","ECB_00244","RNA"
"245","ECB_00245","RNA"
"246","ECB_00246","RNA"
"247","ECB_00247","RNA"
"248","ECB_00248","RNA"
"249","ECB_00249","RNA"
"250","ECB_00250","RNA"
"251","ECB_00251","RNA"
"252","ECB_00252","RNA"
"253","ECB_00253","RNA"
"254","ECB_00254","RNA"
"255","ECB_00255","RNA"
"256","ECB_00256","RNA"
"257","ECB_00257","RNA"
"258","ECB_00258","RNA"
"259","ECB_00259","RNA"
"260","ECB_00260","RNA"
"261","ECB_00261","RNA"
"262","ECB_00262","RNA"
"263","ECB_00263","RNA"
"264","ECB_00264","RNA"
"265","ECB_00265","RNA"
"266","ECB_00266","RNA"
"267","ECB_00267","RNA"
"268","ECB_00268","RNA"
"269","ECB_00269","RNA"
"270","ECB_00270","RNA"
"271","ECB_00271","RNA"
"272","ECB_00272","RNA"
"273","ECB_00273","RNA"
"274","ECB_00274","RNA"
"275","ECB_00275","RNA"
"276","ECB_00276","RNA"
"277","ECB_00277","RNA"
"278","ECB_00278","RNA"
"279","ECB_00279","RNA"
"280","ECB_00280","RNA"
"281","ECB_00281","RNA"
"282","ECB_00282","RNA"
"283","ECB_00283","RNA"
"284","ECB_00284","RNA"
"285","ECB_00285","RNA"
"286","ECB_00286","RNA"
"287","ECB_00287","RNA"
"288","ECB_00288","RNA"
"289","ECB_00289","RNA"
"290","ECB_00290","RNA"
"291","ECB_00291","RNA"
"292","ECB_00292","RNA"
"293","ECB_00293","RNA"
"294","ECB_00294","RNA"
"295","ECB_00295","RNA"
"296","ECB_00296","RNA"
"297","ECB_00297","RNA"
"298","ECB_00298","RNA"
"299","ECB_00299","RNA"
"300","ECB_00300","RNA"
"301","ECB_00301","RNA"
"302","ECB_00302","RNA"
"303","ECB_00303","RNA"
"304","ECB_00304","RNA"
"305","ECB_00305","RNA"
"306","ECB_00306","RNA"
"307","ECB_00307","RNA"
"308","ECB_00308","RNA"
"309","ECB_00309","RNA"
"310","ECB_00310","RNA"
"311","ECB_00311","RNA"
"312","ECB_00312","RNA"
"313","ECB_00313","RNA"
"314","ECB_00314","RNA"
"315","ECB_00315","RNA"
"316","ECB_00316","RNA"
"317","ECB_00317","RNA"
"318","ECB_00318","RNA"
"319","ECB_00319","RNA"
"320","ECB_00320","RNA"
"321","ECB_00321","RNA"
"322","ECB_00322","RNA"
"323","ECB_00323","RNA"
"324","ECB_00324","RNA"
"325","ECB_00325","RNA"
"326","ECB_00326","RNA"
"327","ECB_00327","RNA"
"328","ECB_00328","RNA"
"329","ECB_00329","RNA"
"330","ECB_00330","RNA"
"331","ECB_00331","RNA"
"332","ECB_00332","RNA"
"333","ECB_00333","RNA"
"334","ECB_00334","RNA"
"335","ECB_00335","RNA"
"336","ECB_00336","RNA"
"337","ECB_00337","RNA"
"338","ECB_00338","RNA"
"339","ECB_00339","RNA"
"340","ECB_00340","RNA"
"341","ECB_00341","RNA"
"342","ECB_00342","RNA"
"343","ECB_00343","RNA"
"344","ECB_00344","RNA"
"345","ECB_00345","RNA"
"346","ECB_00346","RNA"
"347","ECB_00347","RNA"
"348","ECB_00348","RNA"
"349","ECB_00349","RNA"
"350","ECB_00350","RNA"
"351","ECB_00351","RNA"
"352","ECB_00352","RNA"
"353","ECB_00353","RNA"
"354","ECB_00354","RNA"
"355","ECB_00355","RNA"
"356","ECB_00356","RNA"
"357","ECB_00357","RNA"
"358","ECB_00358","RNA"
"359","ECB_00359","RNA"
"360","ECB_00360","RNA"
"361","ECB_00361","RNA"
"362","ECB_00362","RNA"
"363","ECB_00363","RNA"
"364","ECB_00364","RNA"
"365","ECB_00365","RNA"
"366","ECB_00366","RNA"
"367","ECB_00367","RNA"
"368","ECB_00368","RNA"
"369","ECB_00369","RNA"
"370","ECB_00370","RNA"
"371","ECB_00371","RNA"
"372","ECB_00372","RNA"
"373","ECB_00373","RNA"
"374","ECB_00374","RNA"
"375","ECB_00375","RNA"
"376","ECB_00376","RNA"
"377","ECB_00377","RNA"
"378","ECB_00378","RNA"
"379","ECB_00379","RNA"
"380","ECB_00380","RNA"
"381","ECB_00381","RNA"
"382","ECB_00382","RNA"
"383","ECB_00383","RNA"
"384","ECB_00384","RNA"
"385","ECB_00385","RNA"
"386","ECB_00386","RNA"
"387","ECB_00387","RNA"
"388","ECB_00388","RNA"
"389","ECB_00389","RNA"
"390","ECB_00390","RNA"
"391","ECB_00391","RNA"
"392","ECB_00392","RNA"
"393","ECB_00393","RNA"
"394","ECB_00394","RNA"
"395","ECB_00395","RNA"
"396","ECB_00396","RNA"
"397","ECB_00397","RNA"
"398","ECB_00398","RNA"
"399","ECB_00399","RNA"
"400","ECB_00400","RNA"
"401","ECB_00401","RNA"
"402","ECB_00402","RNA"
"403","ECB_00403","RNA"
"404","ECB_00404","RNA"
"405","ECB_00405","RNA"
"406","ECB_00406","RNA"
"407","ECB_00407","RNA"
"408","ECB_00408","RNA"
"409","ECB_00409","RNA"
"410","ECB_00410","RNA"
"411","ECB_00411","RNA"
"412","ECB_00412","RNA"
"413","ECB_00413","RNA"
"414","ECB_00414","RNA"
"415","ECB_00415","RNA"
"416","ECB_00416","RNA"
"417","ECB_00417","RNA"
"418","ECB_00418","RNA"
"419","ECB_00419","RNA"
"420","ECB_00420","RNA"
"421","ECB_00421","RNA"
"422","ECB_00422","RNA"
"423","ECB_00423","RNA"
"424","ECB_00424","RNA"
"425","ECB_00425","RNA"
"426","ECB_00426","RNA"
"427","ECB_00427","RNA"
"428","ECB_00428","RNA"
"429","ECB_00429","RNA"
"430","ECB_00430","RNA"
"431","ECB_00431","RNA"
"432","ECB_00432","RNA"
"433","ECB_00433","RNA"
"434","ECB_00434","RNA"
"435","ECB_00435","RNA"
"436","ECB_00436","RNA"
"437","ECB_00437","RNA"
"438","ECB_00438","RNA"
"439","ECB_00439","RNA"
"440","ECB_00440","RNA"
"441","ECB_00441","RNA"
"442","ECB_00442","RNA"
"443","ECB_00443","RNA"
"444","ECB_00444","RNA"
"445","ECB_00445","RNA"
"446","ECB_00446","RNA"
"447","ECB_00447","RNA"
"448","ECB_00448","RNA"
"449","ECB_00449","RNA"
"450","ECB_00450","RNA"
"451","ECB_00451","RNA"
"452","ECB_00452","RNA"
"453","ECB_00453","RNA"
"454","ECB_00454","RNA"
"455","ECB_00455","RNA"
"456","ECB_00456","RNA"
"457","ECB_00457","RNA"
"458","ECB_00458","RNA"
"459","ECB_00459","RNA"
"460","ECB_00460","RNA"
"461","ECB_00461","RNA"
"462","ECB_00462","RNA"
"463","ECB_00463","RNA"
"464","ECB_00464","RNA"
"465","ECB_00465","RNA"
"466","ECB_00466","RNA"
"467","ECB_00467","RNA"
"468","ECB_00468","RNA"
"469","ECB_00469","RNA"
"470","ECB_00470","RNA"
"471","ECB_00471","RNA"
"472","ECB_00472","RNA"
"473","ECB_00473","RNA"
"474","ECB_00474","RNA"
"475","ECB_00475","RNA"
"476","ECB_00476","RNA"
"477","ECB_00477","RNA"
"478","ECB_00478","RNA"
"479","ECB_00479","RNA"
"480","ECB_00480","RNA"
"481","ECB_00481","RNA"
"482","ECB_00482","RNA"
"483","ECB_00483","RNA"
"484","ECB_00484","RNA"
"485","ECB_00485","RNA"
"486","ECB_00486","RNA"
"487","ECB_00487","RNA"
"488","ECB_00488","RNA"
"489","ECB_00489","RNA"
"490","ECB_00490","RNA"
"491","ECB_00491","RNA"
"492","ECB_00492","RNA"
"493","ECB_00493","RNA"
"494","ECB_00494","RNA"
"495","ECB_00495","RNA"
"496","ECB_00496","RNA"
"497","ECB_00497","RNA"
"498","ECB_00498","RNA"
"499","ECB_00499","RNA"
"500","ECB_00500","RNA"
"501","ECB_00501","RNA"
"502","ECB_00502","RNA"
"503","ECB_00503","RNA"
"504","ECB_00504","RNA"
"505","ECB_00505","RNA"
"506","ECB_00506","RNA"
"507","ECB_00507","RNA"
"508","ECB_00508","RNA"
"509","ECB_00509","RNA"
"510","ECB_00510","RNA"
"511","ECB_00511","RNA"
"512","ECB_00512","RNA"
"513","ECB_00513","RNA"
"514","ECB_00514","RNA"
"515","ECB_00515","RNA"
"516","ECB_00516","RNA"
"517","ECB_00517","RNA"
"518","ECB_00518","RNA"
"519","ECB_00519","RNA"
"520","ECB_00520","RNA"
"521","ECB_00521","RNA"
"522","ECB_00522","RNA"
"523","ECB_00523","RNA"
"524","ECB_00524","RNA"
"525","ECB_00525","RNA"
"526","ECB_00526","RNA"
"527","ECB_00527","RNA"
"528","ECB_00528","RNA"
"529","ECB_00529","RNA"
"530","ECB_00530","RNA"
"531","ECB_00531","RNA"
"532","ECB_00532","RNA"
"533","ECB_00533","RNA"
"534","ECB_00534","RNA"
"535","ECB_00535","RNA"
"536","ECB_00536","RNA"
"537","ECB_00537","RNA"
"538","ECB_00538","RNA"
"539","ECB_00539","RNA"
"540","ECB_00540","RNA"
"541","ECB_00541","RNA"
"542","ECB_00542","RNA"
"543","ECB_00543","RNA"
"544","ECB_00544","RNA"
"545","ECB_00545","RNA"
"546","ECB_00546","RNA"
"547","ECB_00547","RNA"
"548","ECB_00548","RNA"
"549","ECB_00549","RNA"
"550","ECB_00550","RNA"
"551","ECB_00551","RNA"
"552","ECB_00552","RNA"
"553","ECB_00553","RNA"
"554","ECB_00554","RNA"
"555","ECB_00555","RNA"
"556","ECB_00556","RNA"
"557","ECB_00557","RNA"
"558","ECB_00558","RNA"
"559","ECB_00559","RNA"
"560","ECB_00560","RNA"
"561","ECB_00561","RNA"
"562","ECB_00562","RNA"
"563","ECB_00563","RNA"
"564","ECB_00564","RNA"
"565","ECB_00565","RNA"
"566","ECB_00566","RNA"
"567","ECB_00567","RNA"
"568","ECB_00568","RNA"
"569","ECB_00569","RNA"
"570","ECB_00570","RNA"
"571","ECB_00571","RNA"
"572","ECB_00572","RNA"
"573","ECB_00573","RNA"
"574","ECB_00574","RNA"
"575","ECB_00575","RNA"
"576","ECB_00576","RNA"
"577","ECB_00577","RNA"
"578","ECB_00578","RNA"
"579","ECB_00579","RNA"
"580","ECB_00580","RNA"
"581","ECB_00581","RNA"
"582","ECB_00582","RNA"
"583","ECB_00583","RNA"
"584","ECB_00584","RNA"
"585","ECB_00585","RNA"
"586","ECB_00586","RNA"
"587","ECB_00587","RNA"
"588","ECB_00588","RNA"
"589","ECB_00589","RNA"
"590","ECB_00590","RNA"
"591","ECB_00591","RNA"
"592","ECB_00592","RNA"
"593","ECB_00593","RNA"
"594","ECB_00594","RNA"
"595","ECB_00595","RNA"
"596","ECB_00596","RNA"
"597","ECB_00597","RNA"
"598","ECB_00598","RNA"
"599","ECB_00599","RNA"
"600","ECB_00600","RNA"
"601","ECB_00601","RNA"
"602","ECB_00602","RNA"
"603","ECB_00603","RNA"
"604","ECB_00604","RNA"
"605","ECB_00605","RNA"
"606","ECB_00606","RNA"
"607","ECB_00607","RNA"
"608","ECB_00608","RNA"
"609","ECB_00609","RNA"
"610","ECB_00610","RNA"
"611","ECB_00611","RNA"
"612","ECB_00612","RNA"
"613","ECB_00613","RNA"
"614","ECB_00614","RNA"
"615","ECB_00615","RNA"
"616","ECB_00616","RNA"
"617","ECB_00617","RNA"
"618","ECB_00618","RNA"
"619","ECB_00619","RNA"
"620","ECB_00620","RNA"
"621","ECB_00621","RNA"
"622","ECB_00622","RNA"
"623","ECB_00623","RNA"
"624","ECB_00624","RNA"
"625","ECB_00625","RNA"
"626","ECB_00626","RNA"
"627","ECB_00627","RNA"
"628","ECB_00628","RNA"
"629","ECB_00629","RNA"
"630","ECB_00630","RNA"
"631","ECB_00631","RNA"
"632","ECB_00632","RNA"
"633","ECB_00633","RNA"
"634","ECB_00634","RNA"
"635","ECB_00635","RNA"
"636","ECB_00636","RNA"
"637","ECB_00637","RNA"
"638","ECB_00638","RNA"
"639","ECB_00639","RNA"
"640","ECB_00640","RNA"
"641","ECB_00641","RNA"
"642","ECB_00642","RNA"
"643","ECB_00643","RNA"
"644","ECB_00644","RNA"
"645","ECB_00645","RNA"
"646","ECB_00646","RNA"
"647","ECB_00647","RNA"
"648","ECB_00648","RNA"
"649","ECB_00649","RNA"
"650","ECB_00650","RNA"
"651","ECB_00651","RNA"
"652","ECB_00652","RNA"
"653","ECB_00653","RNA"
"654","ECB_00654","RNA"
"655","ECB_00655","RNA"
"656","ECB_00656","RNA"
"657","ECB_00657","RNA"
"658","ECB_00658","RNA"
"659","ECB_00659","RNA"
"660","ECB_00660","RNA"
"661","ECB_00661","RNA"
"662","ECB_00662","RNA"
"663","ECB_00663","RNA"
"664","ECB_00664","RNA"
"665","ECB_00665","RNA"
"666","ECB_00666","RNA"
"667","ECB_00667","RNA"
"668","ECB_00668","RNA"
"669","ECB_00669","RNA"
"670","ECB_00670","RNA"
"671","ECB_00671","RNA"
"672","ECB_00672","RNA"
"673","ECB_00673","RNA"
"674","ECB_00674","RNA"
"675","ECB_00675","RNA"
"676","ECB_00676","RNA"
"677","ECB_00677","RNA"
"678","ECB_00678","RNA"
"679","ECB_00679","RNA"
"680","ECB_00680","RNA"
"681","ECB_00681","RNA"
"682","ECB_00682","RNA"
"683","ECB_00683","RNA"
"684","ECB_00684","RNA"
"685","ECB_00685","RNA"
"686","ECB_00686","RNA"
"687","ECB_00687","RNA"
"688","ECB_00688","RNA"
"689","ECB_00689","RNA"
"690","ECB_00690","RNA"
"691","ECB_00691","RNA"
"692","ECB_00692","RNA"
"693","ECB_00693","RNA"
"694","ECB_00694","RNA"
"695","ECB_00695","RNA"
"696","ECB_00696","RNA"
"697","ECB_00697","RNA"
"698","ECB_00698","RNA"
"699","ECB_00699","RNA"
"700","ECB_00700","RNA"
"701","ECB_00701","RNA"
"702","ECB_00702","RNA"
"703","ECB_00703","RNA"
"704","ECB_00704","RNA"
"705","ECB_00705","RNA"
"706","ECB_00706","RNA"
"707","ECB_00707","RNA"
"708","ECB_00708","RNA"
"709","ECB_00709","RNA"
"710","ECB_00710","RNA"
"711","ECB_00711","RNA"
"712","ECB_00712","RNA"
"713","ECB_00713","RNA"
"714","ECB_00714","RNA"
"715","ECB_00715","RNA"
"716","ECB_00716","RNA"
"717","ECB_00717","RNA"
"718","ECB_00718","RNA"
"719","ECB_00719","RNA"
"720","ECB_00720","RNA"
"721","ECB_00721","RNA"
"722","ECB_00722","RNA"
"723","ECB_00723","RNA"
"724","ECB_00724","RNA"
"725","ECB_00725","RNA"
"726","ECB_00726","RNA"
"727","ECB_00727","RNA"
"728","ECB_00728","RNA"
"729","ECB_00729","RNA"
"730","ECB_00730","RNA"
"731","ECB_00731","RNA"
"732","ECB_00732","RNA"
"733","ECB_00733","RNA"
"734","ECB_00734","RNA"
"735","ECB_00735","RNA"
"736","ECB_00736","RNA"
"737","ECB_00737","RNA"
"738","ECB_00738","RNA"
"739","ECB_00739","RNA"
"740","ECB_00740","RNA"
"741","ECB_00741","RNA"
"742","ECB_00742","RNA"
"743","ECB_00743","RNA"
"744","ECB_00744","RNA"
"745","ECB_00745","RNA"
"746","ECB_00746","RNA"
"747","ECB_00747","RNA"
"748","ECB_00748","RNA"
"749","ECB_00749","RNA"
"750","ECB_00750","RNA"
"751","ECB_00751","RNA"
"752","ECB_00752","RNA"
"753","ECB_00753","RNA"
"754","ECB_00754","RNA"
"755","ECB_00755","RNA"
"756","ECB_00756","RNA"
"757","ECB_00757","RNA"
"758","ECB_00758","RNA"
"759","ECB_00759","RNA"
"760","ECB_00760","RNA"
"761","ECB_00761","RNA"
"762","ECB_00762","RNA"
"763","ECB_00763","RNA"
"764","ECB_00764","RNA"
"765","ECB_00765","RNA"
"766","ECB_00766","RNA"
"767","ECB_00767","RNA"
"768","ECB_00768","RNA"
"769","ECB_00769","RNA"
"770","ECB_00770","RNA"
"771","ECB_00771","RNA"
"772","ECB_00772","RNA"
"773","ECB_00773","RNA"
"774","ECB_00774","RNA"
"775","ECB_00775","RNA"
"776","ECB_00776","RNA"
"777","ECB_00777","RNA"
"778","ECB_00778","RNA"
"779","ECB_00779","RNA"
"780","ECB_00780","RNA"
"781","ECB_00781","RNA"
"782","ECB_00782","RNA"
"783","ECB_00783","RNA"
"784","ECB_00784","RNA"
"785","ECB_00785","RNA"
"786","ECB_00786","RNA"
"787","ECB_00787","RNA"
"788","ECB_00788","RNA"
"789","ECB_00789","RNA"
"790","ECB_00790","RNA"
"791","ECB_00791","RNA"
"792","ECB_00792","RNA"
"793","ECB_00793","RNA"
"794","ECB_00794","RNA"
"795","ECB_00795","RNA"
"796","ECB_00796","RNA"
"797","ECB_00797","RNA"
"798","ECB_00798","RNA"
"799","ECB_00799","RNA"
"800","ECB_00800","RNA"
"801","ECB_00801","RNA"
"802","ECB_00802","RNA"
"803","ECB_00803","RNA"
"804","ECB_00804","RNA"
"805","ECB_00805","RNA"
"806","ECB_00806","RNA"
"807","ECB_00807","RNA"
"808","ECB_00808","RNA"
"809","ECB_00809","RNA"
"810","ECB_00810","RNA"
"811","ECB_00811","RNA"
"812","ECB_00812","RNA"
"813","ECB_00813","RNA"
"814","ECB_00814","RNA"
"815","ECB_00815","RNA"
"816","ECB_00816","RNA"
"817","ECB_00817","RNA"
"818","ECB_00818","RNA"
"819","ECB_00819","RNA"
"820","ECB_00820","RNA"
"821","ECB_00821","RNA"
"822","ECB_00822","RNA"
"823","ECB_00823","RNA"
"824","ECB_00824","RNA"
"825","ECB_00825","RNA"
"826","ECB_00826","RNA"
"827","ECB_00827","RNA"
"828","ECB_00828","RNA"
"829","ECB_00829","RNA"
"830","ECB_00830","RNA"
"831","ECB_00831","RNA"
"832","ECB_00832","RNA"
"833","ECB_00833","RNA"
"834","ECB_00834","RNA"
"835","ECB_00835","RNA"
"836","ECB_00836","RNA"
"837","ECB_00837","RNA"
"838","ECB_00838","RNA"
"839","ECB_00839","RNA"
"840","ECB_00840","RNA"
"841","ECB_00841","RNA"
"842","ECB_00842","RNA"
"843","ECB_00843","RNA"
"844","ECB_00844","RNA"
"845","ECB_00845","RNA"
"846","ECB_00846","RNA"
"847","ECB_00847","RNA"
"848","ECB_00848","RNA"
"849","ECB_00849","RNA"
"850","ECB_00850","RNA"
"851","ECB_00851","RNA"
"852","ECB_00852","RNA"
"853","ECB_00853","RNA"
"854","ECB_00854","RNA"
"855","ECB_00855","RNA"
"856","ECB_00856","RNA"
"857","ECB_00857","RNA"
"858","ECB_00858","RNA"
"859","ECB_00859","RNA"
"860","ECB_00860","RNA"
"861","ECB_00861","RNA"
"862","ECB_00862","RNA"
"863","ECB_00863","RNA"
"864","ECB_00864","RNA"
"865","ECB_00865","RNA"
"866","ECB_00866","RNA"
"867","ECB_00867","RNA"
"868","ECB_00868","RNA"
"869","ECB_00869","RNA"
"870","ECB_00870","RNA"
"871","ECB_00871","RNA"
"872","ECB_00872","RNA"
"873","ECB_00873","RNA"
"874","ECB_00874","RNA"
"875","ECB_00875","RNA"
"876","ECB_00876","RNA"
"877","ECB_00877","RNA"
"878","ECB_00878","RNA"
"879","ECB_00879","RNA"
"880","ECB_00880","RNA"
"881","ECB_00881","RNA"
"882","ECB_00882","RNA"
"883","ECB_00883","RNA"
"884","ECB_00884","RNA"
"885","ECB_00885","RNA"
"886","ECB_00886","RNA"
"887","ECB_00887","RNA"
"888","ECB_00888","RNA"
"889","ECB_00889","RNA"
"890","ECB_00890","RNA"
"891","ECB_00891","RNA"
"892","ECB_00892","RNA"
"893","ECB_00893","RNA"
"894","ECB_00894","RNA"
"895","ECB_00895","RNA"
"896","ECB_00896","RNA"
"897","ECB_00897","RNA"
"898","ECB_00898","RNA"
"899","ECB_00899","RNA"
"900","ECB_00900","RNA"
"901","ECB_00901","RNA"
"902","ECB_00902","RNA"
"903","ECB_00903","RNA"
"904","ECB_00904","RNA"
"905","ECB_00905","RNA"
"906","ECB_00906","RNA"
"907","ECB_00907","RNA"
"908","ECB_00908","RNA"
"909","ECB_00909","RNA"
"910","ECB_00910","RNA"
"911","ECB_00911","RNA"
"912","ECB_00912","RNA"
"913","ECB_00913","RNA"
"914","ECB_00914","RNA"
"915","ECB_00915","RNA"
"916","ECB_00916","RNA"
"917","ECB_00917","RNA"
"918","ECB_00918","RNA"
"919","ECB_00919","RNA"
"920","ECB_00920","RNA"
"921","ECB_00921","RNA"
"922","ECB_00922","RNA"
"923","ECB_00923","RNA"
"924","ECB_00924","RNA"
"925","ECB_00925","RNA"
"926","ECB_00926","RNA"
"927","ECB_00927","RNA"
"928","ECB_00928","RNA"
"929","ECB_00929","RNA"
"930","ECB_00930","RNA"
"931","ECB_00931","RNA"
"932","ECB_00932","RNA"
