"","Phase","Salt","Conc","Branch","MeanFluxRatio","SDEFluxRatio","Phase2"
"95","EXP","NACL",200,"Labeled CO2 EC",0.0722255555555556,0.0367306682000172,"Exponential"
"96","EXP","NACL",200,"OAA from PEP",0.425555555555556,0.0977588365492184,"Exponential"
"97","EXP","NACL",200,"P5P from E4P",1e-05,0,"Exponential"
"98","EXP","NACL",200,"P5P from G3P",0.0522222222222222,0.00968644209675706,"Exponential"
"99","EXP","NACL",200,"P5P from G6P",1,0,"Exponential"
"100","EXP","NACL",200,"PEP from OAA",0.07,0.00509175077217316,"Exponential"
"101","EXP","NACL",200,"PEP through TK",0.0955555555555556,0.00867805519545184,"Exponential"
"102","EXP","NACL",200,"PYR from MAL_LB",1e-05,0,"Exponential"
"103","EXP","NACL",200,"PYR from MAL_UB",1e-05,0,"Exponential"
"104","EXP","NACL",200,"SER from GLY",0.191111111111111,0.0173561103909037,"Exponential"
"105","EXP","NACL",300,"E4P from P5P",0.66667,0.33333,"Exponential"
"106","EXP","NACL",300,"E4P through TK",0.285003333333333,0.144132057541378,"Exponential"
"107","EXP","NACL",300,"GLY from SER",1,0,"Exponential"
"108","EXP","NACL",300,"Labeled CO2 EC",0.0666666666666667,0.0317979733805649,"Exponential"
"109","EXP","NACL",300,"OAA from PEP",0.51,0.0941187193566367,"Exponential"
"110","EXP","NACL",300,"P5P from E4P",1e-05,0,"Exponential"
"111","EXP","NACL",300,"P5P from G3P",0.06,0.00763762615825974,"Exponential"
"112","EXP","NACL",300,"P5P from G6P",1,0,"Exponential"
"113","EXP","NACL",300,"PEP from OAA",0.0666666666666667,0.00881917103688197,"Exponential"
"114","EXP","NACL",300,"PEP through TK",0.0583366666666667,0.0291990298545079,"Exponential"
"115","EXP","NACL",300,"PYR from MAL_LB",1e-05,0,"Exponential"
"116","EXP","NACL",300,"PYR from MAL_UB",0.0611177777777778,0.0611077777777778,"Exponential"
"117","EXP","NACL",300,"SER from GLY",0.178336666666667,0.101088327768893,"Exponential"
"118","EXP","NACL",5,"E4P from P5P",1,0,"Exponential"
"119","EXP","NACL",5,"E4P through TK",0.451111111111111,0.0155555555555556,"Exponential"
"120","EXP","NACL",5,"GLY from SER",1,0,"Exponential"
"121","EXP","NACL",5,"Labeled CO2 EC",0.0955555555555556,0.0178816410438123,"Exponential"
"122","EXP","NACL",5,"OAA from PEP",0.452222222222222,0.0344981659916889,"Exponential"
"123","EXP","NACL",5,"P5P from E4P",1e-05,0,"Exponential"
"124","EXP","NACL",5,"P5P from G3P",0.0566666666666667,0.02185812841434,"Exponential"
"125","EXP","NACL",5,"P5P from G6P",1,0,"Exponential"
"126","EXP","NACL",5,"PEP from OAA",0.0655555555555556,0.00618640484758891,"Exponential"
"127","EXP","NACL",5,"PEP through TK",0.0944444444444444,0.00587944735792131,"Exponential"
"128","EXP","NACL",5,"PYR from MAL_LB",1e-05,0,"Exponential"
"129","EXP","NACL",5,"PYR from MAL_UB",1e-05,0,"Exponential"
"130","EXP","NACL",5,"SER from GLY",0.22,0.0164429428743875,"Exponential"
"131","STA","MGSO4",0.08,"E4P from P5P",0.924444444444444,0.0755555555555556,"Stationary"
"132","STA","MGSO4",0.08,"E4P through TK",0.387777777777778,0.0408399465544202,"Stationary"
"133","STA","MGSO4",0.08,"GLY from SER",0.998888888888889,0.0011111111111111,"Stationary"
"134","STA","MGSO4",0.08,"Labeled CO2 EC",0.0688922222222222,0.0344411111111111,"Stationary"
"135","STA","MGSO4",0.08,"OAA from PEP",0.386666666666667,0.0134715062810913,"Stationary"
"136","STA","MGSO4",0.08,"P5P from E4P",1e-05,0,"Stationary"
"137","STA","MGSO4",0.08,"P5P from G3P",0.273333333333333,0.104473991092591,"Stationary"
"138","STA","MGSO4",0.08,"P5P from G6P",0.827777777777778,0.0873124091416762,"Stationary"
"139","STA","MGSO4",0.08,"PEP from OAA",0.115555555555556,0.0494912387807113,"Stationary"
"140","STA","MGSO4",0.08,"PEP through TK",0.0655555555555556,0.0105993244601883,"Stationary"
"141","STA","MGSO4",0.08,"PYR from MAL_LB",1e-05,0,"Stationary"
