"","genes","dataType","growthPhase","test_for","exist_in"
"893","cysI","protein","Exp","Lac","controlled for Growth"
"894","flgL","protein","Exp","Lac","controlled for Growth"
"895","galU","protein","Exp","Lac","controlled for Growth"
"896","ilvC","protein","Exp","Lac","controlled for Growth"
"897","gdhA","protein","Exp","Lac","controlled for Growth"
"898","rplF","protein","Exp","Lac","controlled for Growth"
"899","lrp","protein","Exp","Lac","controlled for Growth"
"900","yraL","protein","Exp","Lac","controlled for Growth"
"901","glnA","protein","Exp","Lac","controlled for Growth"
"902","secB","protein","Exp","Lac","controlled for Growth"
"903","accC","protein","Exp","Lac","controlled for Growth"
"904","hsdM","protein","Exp","Lac","controlled for Growth"
"905","rpsC","protein","Exp","Lac","controlled for Growth"
"906","aroF","protein","Exp","Lac","controlled for Growth"
"907","purH","protein","Exp","Lac","controlled for Growth"
"908","flgK","protein","Exp","Lac","controlled for Growth"
"909","ychF","protein","Exp","Lac","controlled for Growth"
"910","glnB","protein","Exp","Lac","controlled for Growth"
"911","flgG","protein","Exp","Lac","controlled for Growth"
"912","purB","protein","Exp","Lac","controlled for Growth"
"913","ibpA","protein","Exp","Lac","controlled for Growth"
"914","cysH","protein","Exp","Lac","controlled for Growth"
"915","gcvT","protein","Exp","Lac","controlled for Growth"
"916","rpsK","protein","Exp","Lac","controlled for Growth"
"917","purD","protein","Exp","Lac","controlled for Growth"
"918","flgM","protein","Exp","Lac","controlled for Growth"
"919","pyrG","protein","Exp","Lac","controlled for Growth"
"920","livJ","protein","Exp","Lac","controlled for Growth"
"921","pyrB","protein","Exp","Lac","controlled for Growth"
"922","clpX","protein","Exp","Lac","controlled for Growth"
"923","dacA","protein","Exp","Lac","controlled for Growth"
"924","hflB","protein","Exp","Lac","controlled for Growth"
"925","rho","protein","Exp","Lac","controlled for Growth"
"926","atpA","protein","Exp","Lac","controlled for Growth"
"927","cysJ","protein","Exp","Lac","controlled for Growth"
"928","yjjK","protein","Exp","Lac","controlled for Growth"
"929","yajC","protein","Exp","Lac","controlled for Growth"
"930","aceE","protein","Exp","Lac","controlled for Growth"
"931","livK","protein","Exp","Lac","controlled for Growth"
"932","tktA","protein","Exp","Lac","controlled for Growth"
"933","hisJ","protein","Exp","Lac","controlled for Growth"
"934","ybeZ","protein","Exp","Lac","controlled for Growth"
"935","proS","protein","Exp","Lac","controlled for Growth"
"936","trpC","protein","Exp","Lac","controlled for Growth"
"937","rpoA","protein","Exp","Lac","controlled for Growth"
"938","secD","protein","Exp","Lac","controlled for Growth"
"939","ndk","protein","Exp","Lac","controlled for Growth"
"940","thrS","protein","Exp","Lac","controlled for Growth"
"941","lysS","protein","Exp","Lac","controlled for Growth"
"942","rpmD","protein","Exp","Lac","controlled for Growth"
"943","nlpA","protein","Exp","Lac","controlled for Growth"
"944","hisG","protein","Exp","Lac","controlled for Growth"
"945","rne","protein","Exp","Lac","controlled for Growth"
"946","htpG","protein","Exp","Lac","controlled for Growth"
"947","folE","protein","Exp","Lac","controlled for Growth"
"948","wzzB","protein","Exp","Lac","controlled for Growth"
"949","metA","protein","Exp","Lac","controlled for Growth"
"950","flgB","protein","Exp","Lac","controlled for Growth"
"951","artJ","protein","Exp","Lac","controlled for Growth"
"952","clpB","protein","Exp","Lac","controlled for Growth"
"953","acnB","protein","Exp","Lac","controlled for Growth"
"954","aroD","protein","Exp","Lac","controlled for Growth"
"955","atpG","protein","Exp","Lac","controlled for Growth"
"956","minD","protein","Exp","Lac","controlled for Growth"
"957","yifE","protein","Exp","Lac","controlled for Growth"
"958","yaeT","protein","Exp","Lac","controlled for Growth"
"959","ydjN","protein","Exp","Lac","controlled for Growth"
"960","trpE","protein","Exp","Lac","controlled for Growth"
"961","purC","protein","Exp","Lac","controlled for Growth"
"962","livG","protein","Exp","Lac","controlled for Growth"
"963","rimO","protein","Exp","Lac","controlled for Growth"
"964","glyS","protein","Exp","Lac","controlled for Growth"
"965","ddl","protein","Exp","Lac","controlled for Growth"
"966","sucA","protein","Exp","Lac","controlled for Growth"
"967","trpA","protein","Exp","Lac","controlled for Growth"
"968","ldhA","protein","Exp","Lac","controlled for Growth"
"969","gnd","protein","Exp","Lac","controlled for Growth"
"970","gcvP","protein","Exp","Lac","controlled for Growth"
"971","fklB","protein","Exp","Lac","controlled for Growth"
"972","rpsJ","protein","Exp","Lac","controlled for Growth"
"973","argG","protein","Exp","Lac","controlled for Growth"
"974","nusB","protein","Exp","Lac","controlled for Growth"
"975","hisC","protein","Exp","Lac","controlled for Growth"
"976","atpF","protein","Exp","Lac","controlled for Growth"
"977","btuB","protein","Exp","Lac","controlled for Growth"
"978","talB","protein","Exp","Lac","controlled for Growth"
"979","yajG","protein","Exp","Lac","controlled for Growth"
"980","rplY","protein","Exp","Lac","controlled for Growth"
"981","dapA","protein","Exp","Lac","controlled for Growth"
"982","suhB","protein","Exp","Lac","controlled for Growth"
"983","thrB","protein","Exp","Lac","controlled for Growth"
"984","rpoB","protein","Exp","Lac","controlled for Growth"
"985","tyrB","protein","Exp","Lac","controlled for Growth"
"986","aceF","protein","Exp","Lac","controlled for Growth"
"987","murD","protein","Exp","Lac","controlled for Growth"
"988","purF","protein","Exp","Lac","controlled for Growth"
"989","yfiO","protein","Exp","Lac","controlled for Growth"
"990","frr","protein","Exp","Lac","controlled for Growth"
"991","serA","protein","Exp","Lac","controlled for Growth"
"992","rpsU","protein","Exp","Lac","controlled for Growth"
"993","panD","protein","Exp","Lac","controlled for Growth"
"994","ansA","protein","Exp","Lac","controlled for Growth"
"995","rpsI","protein","Exp","Lac","controlled for Growth"
"996","hupA","protein","Exp","Lac","controlled for Growth"
"997","asd","protein","Exp","Lac","controlled for Growth"
"998","nrdA","protein","Exp","Lac","controlled for Growth"
"999","rpsQ","protein","Exp","Lac","controlled for Growth"
"1000","leuS","protein","Exp","Lac","controlled for Growth"
"1001","zwf","protein","Exp","Lac","controlled for Growth"
"1002","glnS","protein","Exp","Lac","controlled for Growth"
"1003","cysP","protein","Exp","Lac","controlled for Growth"
"1004","pheT","protein","Exp","Lac","controlled for Growth"
"1005","pepQ","protein","Exp","Lac","controlled for Growth"
"1006","purT","protein","Exp","Lac","controlled for Growth"
"1007","metE","protein","Exp","Lac","controlled for Growth"
"1008","yliB","protein","Exp","Lac","controlled for Growth"
"1009","groEL","protein","Exp","Lac","controlled for Growth"
"1010","icdA","protein","Exp","Lac","controlled for Growth"
"1011","infB","protein","Exp","Lac","controlled for Growth"
"1012","rplB","protein","Exp","Lac","controlled for Growth"
"1013","yccU","protein","Exp","Lac","controlled for Growth"
"1014","glyQ","protein","Exp","Lac","controlled for Growth"
"1015","purL","protein","Exp","Lac","controlled for Growth"
"1016","rimM","protein","Exp","Lac","controlled for Growth"
"1017","rbfA","protein","Exp","Lac","controlled for Growth"
"1018","rcsF","protein","Exp","Lac","controlled for Growth"
"1019","lolA","protein","Exp","Lac","controlled for Growth"
"1020","oppA","protein","Exp","Lac","controlled for Growth"
"1021","purA","protein","Exp","Lac","controlled for Growth"
"1022","srmB","protein","Exp","Lac","controlled for Growth"
"1023","secG","protein","Exp","Lac","controlled for Growth"
"1024","surA","protein","Exp","Lac","controlled for Growth"
"1025","yhgF","protein","Exp","Lac","controlled for Growth"
"1026","rplS","protein","Exp","Lac","controlled for Growth"
"1027","adk","protein","Exp","Lac","controlled for Growth"
"1028","solA","protein","Exp","Lac","controlled for Growth"
"1029","ppa","protein","Exp","Lac","controlled for Growth"
"1030","acrA","protein","Exp","Lac","controlled for Growth"
"1031","murF","protein","Exp","Lac","controlled for Growth"
"1032","aspS","protein","Exp","Lac","controlled for Growth"
"1033","hisF","protein","Exp","Lac","controlled for Growth"
"1034","rfaE","protein","Exp","Lac","controlled for Growth"
"1035","pnp","protein","Exp","Lac","controlled for Growth"
"1036","rpsD","protein","Exp","Lac","controlled for Growth"
"1037","guaA","protein","Exp","Lac","controlled for Growth"
"1038","fkpA","protein","Exp","Lac","controlled for Growth"
"1039","bcp","protein","Exp","Lac","controlled for Growth"
"1040","proA","protein","Exp","Lac","controlled for Growth"
"1041","flgN","protein","Exp","Lac","controlled for Growth"
"1042","purM","protein","Exp","Lac","controlled for Growth"
"1043","yrbD","protein","Exp","Lac","controlled for Growth"
"1044","thrC","protein","Exp","Lac","controlled for Growth"
"1045","ssb","protein","Exp","Lac","controlled for Growth"
"1046","ycgL","protein","Exp","Lac","controlled for Growth"
"1047","ydfG","protein","Exp","Lac","controlled for Growth"
"1048","rfbA","protein","Exp","Lac","controlled for Growth"
"1049","nuoC","protein","Exp","Lac","controlled for Growth"
"1050","pflB","protein","Exp","Lac","controlled for Growth"
"1051","ybiS","protein","Exp","Lac","controlled for Growth"
"1052","degP","protein","Exp","Lac","controlled for Growth"
"1053","nuoF","protein","Exp","Lac","controlled for Growth"
"1054","rplD","protein","Exp","Lac","controlled for Growth"
"1055","rpsB","protein","Exp","Lac","controlled for Growth"
"1056","flgF","protein","Exp","Lac","controlled for Growth"
"1057","glnH","protein","Exp","Lac","controlled for Growth"
"1058","ilvD","protein","Exp","Lac","controlled for Growth"
"1059","rpsG","protein","Exp","Lac","controlled for Growth"
"1060","fabI","protein","Exp","Lac","controlled for Growth"
"1061","asnC","protein","Exp","Lac","controlled for Growth"
"1062","hslU","protein","Exp","Lac","controlled for Growth"
"1063","pepD","protein","Exp","Lac","controlled for Growth"
"1064","rpsM","protein","Exp","Lac","controlled for Growth"
"1065","ydiJ","protein","Exp","Lac","controlled for Growth"
"1066","nadA","protein","Exp","Lac","controlled for Growth"
"1067","yhbL","protein","Exp","Lac","controlled for Growth"
"1068","fusA","protein","Exp","Lac","controlled for Growth"
"1069","lolD","protein","Exp","Lac","controlled for Growth"
"1070","yhjJ","protein","Exp","Lac","controlled for Growth"
"1071","atpD","protein","Exp","Lac","controlled for Growth"
"1072","fis","protein","Exp","Lac","controlled for Growth"
"1073","pykA","protein","Exp","Lac","controlled for Growth"
"1074","asnA","protein","Exp","Lac","controlled for Growth"
"1075","thrA","protein","Exp","Lac","controlled for Growth"
"1076","rplJ","protein","Exp","Lac","controlled for Growth"
"1077","yejK","protein","Exp","Lac","controlled for Growth"
"1078","tig","protein","Exp","Lac","controlled for Growth"
"1079","kdsA","protein","Exp","Lac","controlled for Growth"
"1080","aroH","protein","Exp","Lac","controlled for Growth"
"1081","ycbL","protein","Exp","Lac","controlled for Growth"
"1082","plsB","protein","Exp","Lac","controlled for Growth"
"1083","ileS","protein","Exp","Lac","controlled for Growth"
"1084","proQ","protein","Exp","Lac","controlled for Growth"
"1085","yibN","protein","Exp","Lac","controlled for Growth"
"1086","iscS","protein","Exp","Lac","controlled for Growth"
"1087","trpS","protein","Exp","Lac","controlled for Growth"
"1088","metH","protein","Exp","Lac","controlled for Growth"
"1089","valS","protein","Exp","Lac","controlled for Growth"
"1090","mreB","protein","Exp","Lac","controlled for Growth"
"1091","tauA","protein","Exp","Lac","controlled for Growth"
"1092","yfgA","protein","Exp","Lac","controlled for Growth"
"1093","engA","protein","Exp","Lac","controlled for Growth"
"1094","ycdY","protein","Exp","Lac","controlled for Growth"
"1095","yicC","protein","Exp","Lac","controlled for Growth"
"1096","rpsN","protein","Exp","Lac","controlled for Growth"
"1097","nfnB","protein","Exp","Lac","controlled for Growth"
"1098","yhjN","protein","Exp","Lac","controlled for Growth"
"1099","ubiE","protein","Exp","Lac","controlled for Growth"
"1100","rplL","protein","Exp","Lac","controlled for Growth"
"1101","zipA","protein","Exp","Lac","controlled for Growth"
"1102","rpmC","protein","Exp","Lac","controlled for Growth"
"1103","ppiD","protein","Exp","Lac","controlled for Growth"
"1104","yniC","protein","Exp","Lac","controlled for Growth"
"1105","ycdO","protein","Exp","Lac","controlled for Growth"
"1106","dapB","protein","Exp","Lac","controlled for Growth"
"1107","prc","protein","Exp","Lac","controlled for Growth"
"1108","apt","protein","Exp","Lac","controlled for Growth"
"1109","hisB","protein","Exp","Lac","controlled for Growth"
"1110","recA","protein","Exp","Lac","controlled for Growth"
"1111","bioB","protein","Exp","Lac","controlled for Growth"
"1112","serC","protein","Exp","Lac","controlled for Growth"
"1113","yhbS","protein","Exp","Lac","controlled for Growth"
"1114","acpD","protein","Exp","Lac","controlled for Growth"
"1115","yiaF","protein","Exp","Lac","controlled for Growth"
"1116","fabZ","protein","Exp","Lac","controlled for Growth"
"1117","xthA","protein","Exp","Lac","controlled for Growth"
"1118","aroC","protein","Exp","Lac","controlled for Growth"
"1119","cyoA","protein","Exp","Lac","controlled for Growth"
"1120","rplO","protein","Exp","Lac","controlled for Growth"
"1121","ltaE","protein","Exp","Lac","controlled for Growth"
"1122","purK","protein","Exp","Lac","controlled for Growth"
"1123","metG","protein","Exp","Lac","controlled for Growth"
"1124","accD","protein","Exp","Lac","controlled for Growth"
"1125","rpoC","protein","Exp","Lac","controlled for Growth"
"1126","yggJ","protein","Exp","Lac","controlled for Growth"
"1127","fabG","protein","Exp","Lac","controlled for Growth"
"1128","rpsP","protein","Exp","Lac","controlled for Growth"
"1129","rnb","protein","Exp","Lac","controlled for Growth"
"1130","pdxB","protein","Exp","Lac","controlled for Growth"
"1131","ygfZ","protein","Exp","Lac","controlled for Growth"
"1132","murA","protein","Exp","Lac","controlled for Growth"
"1133","atpC","protein","Exp","Lac","controlled for Growth"
"1134","upp","protein","Exp","Lac","controlled for Growth"
"1135","iclR","protein","Exp","Lac","controlled for Growth"
"1136","crr","protein","Exp","Lac","controlled for Growth"
"1137","flhA","protein","Exp","Lac","controlled for Growth"
"1138","mdoG","protein","Exp","Lac","controlled for Growth"
"1139","ygiC","protein","Exp","Lac","controlled for Growth"
"1140","flgC","protein","Exp","Lac","controlled for Growth"
"1141","gpmA","protein","Exp","Lac","controlled for Growth"
"1142","tyrS","protein","Exp","Lac","controlled for Growth"
"1143","cysN","protein","Exp","Lac","controlled for Growth"
"1144","speA","protein","Exp","Lac","controlled for Growth"
"1145","serS","protein","Exp","Lac","controlled for Growth"
"1146","gltA","protein","Exp","Lac","controlled for Growth"
"1147","glmM","protein","Exp","Lac","controlled for Growth"
"1148","prlC","protein","Exp","Lac","controlled for Growth"
"1149","pyrF","protein","Exp","Lac","controlled for Growth"
"1150","aroG","protein","Exp","Lac","controlled for Growth"
"1151","gltD","protein","Exp","Lac","controlled for Growth"
"1152","yecR","protein","Exp","Lac","controlled for Growth"
"1153","gltX","protein","Exp","Lac","controlled for Growth"
"1154","yleA","protein","Exp","Lac","controlled for Growth"
"1155","rpsA","protein","Exp","Lac","controlled for Growth"
"1156","prsA","protein","Exp","Lac","controlled for Growth"
"1157","argD","protein","Exp","Lac","controlled for Growth"
"1158","pfkA","protein","Exp","Lac","controlled for Growth"
"1159","rseB","protein","Exp","Lac","controlled for Growth"
"1160","pgm","protein","Exp","Lac","controlled for Growth"
"1161","ispG","protein","Exp","Lac","controlled for Growth"
"1162","dacB","protein","Exp","Lac","controlled for Growth"
"1163","rplN","protein","Exp","Lac","controlled for Growth"
"1164","yfiF","protein","Exp","Lac","controlled for Growth"
"1165","groES","protein","Exp","Lac","controlled for Growth"
"1166","ygiF","protein","Exp","Lac","controlled for Growth"
"1167","gltB","protein","Exp","Lac","controlled for Growth"
"1168","oxyR","protein","Exp","Lac","controlled for Growth"
"1169","pheS","protein","Exp","Lac","controlled for Growth"
"1170","artP","protein","Exp","Lac","controlled for Growth"
"1171","ycbX","protein","Exp","Lac","controlled for Growth"
"1172","prfB","protein","Exp","Lac","controlled for Growth"
"1173","yrdA","protein","Exp","Lac","controlled for Growth"
"1174","ppiC","protein","Exp","Lac","controlled for Growth"
"1175","purR","protein","Exp","Lac","controlled for Growth"
"1176","queF","protein","Exp","Lac","controlled for Growth"
"1177","ilvA","protein","Exp","Lac","controlled for Growth"
"1178","yeaZ","protein","Exp","Lac","controlled for Growth"
"1179","malP","protein","Exp","Lac","controlled for Growth"
"1180","ycfM","protein","Exp","Lac","controlled for Growth"
"1181","gyrA","protein","Exp","Lac","controlled for Growth"
"1182","wecE","protein","Exp","Lac","controlled for Growth"
"1183","rpsT","protein","Exp","Lac","controlled for Growth"
"1184","ilvH","protein","Exp","Lac","controlled for Growth"
"1185","tolB","protein","Exp","Lac","controlled for Growth"
"1186","pmbA","protein","Exp","Lac","controlled for Growth"
"1187","ppiB","protein","Exp","Lac","controlled for Growth"
"1188","iadA","protein","Exp","Lac","controlled for Growth"
"1189","ybeD","protein","Exp","Lac","controlled for Growth"
"1190","hisS","protein","Exp","Lac","controlled for Growth"
"1191","rsmC","protein","Exp","Lac","controlled for Growth"
"1192","manA","protein","Exp","Lac","controlled for Growth"
"1193","pncB","protein","Exp","Lac","controlled for Growth"
"1194","rplE","protein","Exp","Lac","controlled for Growth"
"1195","mnmA","protein","Exp","Lac","controlled for Growth"
"1196","hflK","protein","Exp","Lac","controlled for Growth"
"1197","tyrA","protein","Exp","Lac","controlled for Growth"
"1198","fabD","protein","Exp","Lac","controlled for Growth"
"1199","yijP","protein","Exp","Lac","controlled for Growth"
"1200","nusA","protein","Exp","Lac","controlled for Growth"
"1201","yjeI","protein","Exp","Lac","controlled for Growth"
"1202","gshB","protein","Exp","Lac","controlled for Growth"
"1203","kefA","protein","Exp","Lac","controlled for Growth"
"1204","dppA","protein","Exp","Lac","controlled for Growth"
"1205","atpH","protein","Exp","Lac","controlled for Growth"
"1206","grxC","protein","Exp","Lac","controlled for Growth"
"1207","yjeQ","protein","Exp","Lac","controlled for Growth"
"1208","gapA","protein","Exp","Lac","controlled for Growth"
"1209","map","protein","Exp","Lac","controlled for Growth"
"1210","usg","protein","Exp","Lac","controlled for Growth"
"1211","rpoD","protein","Exp","Lac","controlled for Growth"
"1212","rpiA","protein","Exp","Lac","controlled for Growth"
"1213","ftn","protein","Exp","Lac","controlled for Growth"
"1214","bipA","protein","Exp","Lac","controlled for Growth"
"1215","ybgI","protein","Exp","Lac","controlled for Growth"
"1216","metQ","protein","Exp","Lac","controlled for Growth"
"1217","trpB","protein","Exp","Lac","controlled for Growth"
"1218","yacG","protein","Exp","Lac","controlled for Growth"
"1219","glmS","protein","Exp","Lac","controlled for Growth"
"1220","mutS","protein","Exp","Lac","controlled for Growth"
"1221","pal","protein","Exp","Lac","controlled for Growth"
"1222","hemL","protein","Exp","Lac","controlled for Growth"
"1223","purN","protein","Exp","Lac","controlled for Growth"
"1224","yhhX","protein","Exp","Lac","controlled for Growth"
"1225","wecC","protein","Exp","Lac","controlled for Growth"
"1226","rfbD","protein","Exp","Lac","controlled for Growth"
"1227","fadR","protein","Exp","Lac","controlled for Growth"
"1228","ycfF","protein","Exp","Lac","controlled for Growth"
"1229","livF","protein","Exp","Lac","controlled for Growth"
"1230","bglX","protein","Exp","Lac","controlled for Growth"
"1231","galF","protein","Exp","Lac","controlled for Growth"
"1232","accA","protein","Exp","Lac","controlled for Growth"
"1233","damX","protein","Exp","Lac","controlled for Growth"
"1234","rhlB","protein","Exp","Lac","controlled for Growth"
"1235","pheA","protein","Exp","Lac","controlled for Growth"
"1236","pepA","protein","Exp","Lac","controlled for Growth"
"1237","dnaJ","protein","Exp","Lac","controlled for Growth"
"1238","ybiT","protein","Exp","Lac","controlled for Growth"
"1239","lpdA","protein","Exp","Lac","controlled for Growth"
"1240","hemY","protein","Exp","Lac","controlled for Growth"
"1241","flgD","protein","Exp","Lac","controlled for Growth"
"1242","ygfB","protein","Exp","Lac","controlled for Growth"
"1243","ycjK","protein","Exp","Lac","controlled for Growth"
"1244","ftsZ","protein","Exp","Lac","controlled for Growth"
"1245","alaS","protein","Exp","Lac","controlled for Growth"
"1246","slyB","protein","Exp","Lac","controlled for Growth"
"1247","thyA","protein","Exp","Lac","controlled for Growth"
"1248","yfcL","protein","Exp","Lac","controlled for Growth"
"1249","yadF","protein","Exp","Lac","controlled for Growth"
"1250","yraP","protein","Exp","Lac","controlled for Growth"
"1251","rsuA","protein","Exp","Lac","controlled for Growth"
"1252","cysM","protein","Exp","Lac","controlled for Growth"
"1253","ackA","protein","Exp","Lac","controlled for Growth"
"1254","yigB","protein","Exp","Lac","controlled for Growth"
"1255","ybgF","protein","Exp","Lac","controlled for Growth"
"1256","fur","protein","Exp","Lac","controlled for Growth"
"1257","potD","protein","Exp","Lac","controlled for Growth"
"1258","katG","protein","Exp","Lac","controlled for Growth"
"1259","tolR","protein","Exp","Lac","controlled for Growth"
"1260","fbaA","protein","Exp","Lac","controlled for Growth"
"1261","nuoE","protein","Exp","Lac","controlled for Growth"
"1262","hisD","protein","Exp","Lac","controlled for Growth"
"1263","rpmG","protein","Exp","Lac","controlled for Growth"
"1264","yjfH","protein","Exp","Lac","controlled for Growth"
"1265","fucU","protein","Exp","Lac","controlled for Growth"
"1266","codA","protein","Exp","Lac","controlled for Growth"
"1267","ahpC","protein","Exp","Lac","controlled for Growth"
"1268","pyrC","protein","Exp","Lac","controlled for Growth"
"1269","argH","protein","Exp","Lac","controlled for Growth"
"1270","psd","protein","Exp","Lac","controlled for Growth"
"1271","glmU","protein","Exp","Lac","controlled for Growth"
"1272","rpsE","protein","Exp","Lac","controlled for Growth"
"1273","yhbG","protein","Exp","Lac","controlled for Growth"
"1274","yggS","protein","Exp","Lac","controlled for Growth"
"1275","gltI","protein","Exp","Lac","controlled for Growth"
"1276","panC","protein","Exp","Lac","controlled for Growth"
"1277","mdh","protein","Exp","Lac","controlled for Growth"
"1278","ydgA","protein","Exp","Lac","controlled for Growth"
"1279","fmt","protein","Exp","Lac","controlled for Growth"
"1280","ybcU","protein","Exp","Lac","controlled for Growth"
"1281","asnB","protein","Exp","Lac","controlled for Growth"
"1282","argS","protein","Exp","Lac","controlled for Growth"
"1283","greA","protein","Exp","Lac","controlled for Growth"
"1284","yiaD","protein","Exp","Lac","controlled for Growth"
"1285","rpsH","protein","Exp","Lac","controlled for Growth"
"1286","ompA","protein","Exp","Lac","controlled for Growth"
"1287","sodB","protein","Exp","Lac","controlled for Growth"
"1288","fabB","protein","Exp","Lac","controlled for Growth"
"1289","potG","protein","Exp","Lac","controlled for Growth"
"1290","rpsS","protein","Exp","Lac","controlled for Growth"
"1291","eda","protein","Exp","Lac","controlled for Growth"
"1292","tgt","protein","Exp","Lac","controlled for Growth"
"1293","leuB","protein","Exp","Lac","controlled for Growth"
"1294","leuC","protein","Exp","Lac","controlled for Growth"
"1295","yeiP","protein","Exp","Lac","controlled for Growth"
"1296","cysS","protein","Exp","Lac","controlled for Growth"
"1297","trpD","protein","Exp","Lac","controlled for Growth"
"1298","metJ","protein","Exp","Lac","controlled for Growth"
"1299","nfsA","protein","Exp","Lac","controlled for Growth"
"1300","gmhA","protein","Exp","Lac","controlled for Growth"
"1301","yliJ","protein","Exp","Lac","controlled for Growth"
"1302","artI","protein","Exp","Lac","controlled for Growth"
"1303","hlpA","protein","Exp","Lac","controlled for Growth"
"1304","rpmE","protein","Exp","Lac","controlled for Growth"
"1305","pgk","protein","Exp","Lac","controlled for Growth"
"1306","panB","protein","Exp","Lac","controlled for Growth"
"1307","yrfG","protein","Exp","Lac","controlled for Growth"
"1308","lysA","protein","Exp","Lac","controlled for Growth"
"1309","lolB","protein","Exp","Lac","controlled for Growth"
"1310","deoB","protein","Exp","Lac","controlled for Growth"
"1311","yfgM","protein","Exp","Lac","controlled for Growth"
"1312","ydgH","protein","Exp","Lac","controlled for Growth"
"1313","gidA","protein","Exp","Lac","controlled for Growth"
"1314","prmA","protein","Exp","Lac","controlled for Growth"
"1315","hemX","protein","Exp","Lac","controlled for Growth"
"1316","speC","protein","Exp","Lac","controlled for Growth"
"1317","murC","protein","Exp","Lac","controlled for Growth"
"1318","nuoK","protein","Exp","Lac","controlled for Growth"
"1319","aroL","protein","Exp","Lac","controlled for Growth"
"1320","lepA","protein","Exp","Lac","controlled for Growth"
"1321","topA","protein","Exp","Lac","controlled for Growth"
"1322","trxB","protein","Exp","Lac","controlled for Growth"
"1323","deoD","protein","Exp","Lac","controlled for Growth"
"1324","rng","protein","Exp","Lac","controlled for Growth"
"1325","metB","protein","Exp","Lac","controlled for Growth"
"1326","nusG","protein","Exp","Lac","controlled for Growth"
"1327","cysD","protein","Exp","Lac","controlled for Growth"
"1328","gnsB","protein","Exp","Lac","controlled for Growth"
"1329","vioA","protein","Exp","Lac","controlled for Growth"
"1330","pdxH","protein","Exp","Lac","controlled for Growth"
"1331","iscA","protein","Exp","Lac","controlled for Growth"
"1332","iscU","protein","Exp","Lac","controlled for Growth"
"1333","yeeJ","protein","Exp","Lac","controlled for Growth"
"1334","rlpA","protein","Exp","Lac","controlled for Growth"
"1335","yfaS","protein","Exp","Lac","controlled for Growth"
"1336","rpsO","protein","Exp","Lac","controlled for Growth"
"1337","yggV","protein","Exp","Lac","controlled for Growth"
"1338","murB","protein","Exp","Lac","controlled for Growth"
"1339","flgI","protein","Exp","Lac","controlled for Growth"
"1340","sspB","protein","Exp","Lac","controlled for Growth"
"1341","argI","protein","Exp","Lac","controlled for Growth"
"1342","cysE","protein","Exp","Lac","controlled for Growth"
"1343","pstS","protein","Exp","Lac","controlled for Growth"
"1344","minE","protein","Exp","Lac","controlled for Growth"
"1345","infA","protein","Exp","Lac","controlled for Growth"
"1346","rplV","protein","Exp","Lac","controlled for Growth"
"1347","rnfG","protein","Exp","Lac","controlled for Growth"
"1348","yfaY","protein","Exp","Lac","controlled for Growth"
"1349","cspA","protein","Exp","Lac","controlled for Growth"
"1350","ompF","protein","Exp","Lac","controlled for Growth"
"1351","purE","protein","Exp","Lac","controlled for Growth"
"1352","yfgC","protein","Exp","Lac","controlled for Growth"
"1353","imp","protein","Exp","Lac","controlled for Growth"
"1354","nagE","protein","Exp","Lac","controlled for Growth"
"1355","mpl","protein","Exp","Lac","controlled for Growth"
"1356","ilvI","protein","Exp","Lac","controlled for Growth"
"1357","nuoB","protein","Exp","Lac","controlled for Growth"
"1358","xseB","protein","Exp","Lac","controlled for Growth"
"1359","yjgA","protein","Exp","Lac","controlled for Growth"
"1360","mrcA","protein","Exp","Lac","controlled for Growth"
"1361","yccW","protein","Exp","Lac","controlled for Growth"
"1362","hns","protein","Exp","Lac","controlled for Growth"
"1363","obgE","protein","Exp","Lac","controlled for Growth"
"1364","hslO","protein","Exp","Lac","controlled for Growth"
"1365","rplK","protein","Exp","Lac","controlled for Growth"
"1366","degS","protein","Exp","Lac","controlled for Growth"
"1367","aroA","protein","Exp","Lac","controlled for Growth"
"1368","pdxA","protein","Exp","Lac","controlled for Growth"
"1369","ilvB","protein","Exp","Lac","controlled for Growth"
"1370","yidC","protein","Exp","Lac","controlled for Growth"
"1371","ycfC","protein","Exp","Lac","controlled for Growth"
"1372","rph","protein","Exp","Lac","controlled for Growth"
"1373","udk","protein","Exp","Lac","controlled for Growth"
"1374","accB","protein","Exp","Lac","controlled for Growth"
"1375","mgsA","protein","Exp","Lac","controlled for Growth"
"1376","seqA","protein","Exp","Lac","controlled for Growth"
"1377","secA","protein","Exp","Lac","controlled for Growth"
"1378","pbpC","protein","Exp","Lac","controlled for Growth"
"1379","yeaA","protein","Exp","Lac","controlled for Growth"
"1380","deaD","protein","Exp","Lac","controlled for Growth"
"1381","ppc","protein","Exp","Lac","controlled for Growth"
"1382","sixA","protein","Exp","Lac","controlled for Growth"
"1383","ybiB","protein","Exp","Lac","controlled for Growth"
"1384","proB","protein","Exp","Lac","controlled for Growth"
"1385","yjeE","protein","Exp","Lac","controlled for Growth"
"1386","rplP","protein","Exp","Lac","controlled for Growth"
"1387","rpmI","protein","Exp","Lac","controlled for Growth"
"1388","eaeH","protein","Exp","Lac","controlled for Growth"
"1389","ihfB","protein","Exp","Lac","controlled for Growth"
"1390","mukB","protein","Exp","Lac","controlled for Growth"
"1391","avtA","protein","Exp","Lac","controlled for Growth"
"1392","leuA","protein","Exp","Lac","controlled for Growth"
