,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
59,YP_003043290.1,25.1217375536961,-0.0566092000439904,0.0132804810730774,-4.26258655334033,2.02074189009106e-05,0.000139288397092144,hepA,ECB_00061,b0059,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
60,YP_003043291.1,2.46593057389971,0.0336854472874663,0.0324808709181739,1.03708571646145,0.299695911315648,0.482360569262536,polB,ECB_00062,b0060,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
61,YP_003043292.1,0.873950209264282,-0.0128796971304845,0.033842503136109,-0.380577555941548,0.703516737961885,0.860091294910485,araD,ECB_00063,b0061,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
62,YP_003043293.1,4.97038916092498,-0.117096774896795,0.0313432125881446,-3.73595318499948,0.000187005459966449,0.000946494615773586,araA,ECB_00064,b0062,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
63,YP_003043294.1,2.27943390360048,0.015023762741647,0.0306790054965287,0.489708271128507,0.624340348154303,0.804222321211965,araB,ECB_00065,b0063,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
64,YP_003043295.1,1.43222122576348,-0.0154696900878667,0.034212608501017,-0.452163420611641,0.651151257955022,0.824245339896663,araC,ECB_00066,b0064,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
65,YP_003043296.1,0.335539199802324,0.0213763478388188,0.0356827778432655,0.599066247944965,0.549128708079415,NA,yabI,ECB_00067,b0065,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
66,YP_003043297.1,1.01309601279595,-0.00286063680123391,0.0353825715161327,-0.0808487534584535,0.93556223528964,0.974089592756214,thiQ,ECB_00068,b0066,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
67,YP_003043298.1,0.289730468370282,0.00495623081068158,0.0361616485252605,0.137057656738725,0.890985221569563,NA,thiP,ECB_00069,b0067,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
68,YP_003043299.1,1.33588210604249,-0.0460345370327162,0.0292663173942431,-1.57295283901252,0.115729738783754,0.223878623284196,tbpA,ECB_00070,b0068,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
69,YP_003043300.1,0.924684589132786,-0.00582437291764005,0.036134253211169,-0.161187028927991,0.871946096949126,0.954786243374579,yabN,ECB_00071,b0069,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
70,YP_003043301.1,0.350830960409252,-0.0160490913636947,0.0351937017547671,-0.45602169034466,0.648374380835988,NA,setA,ECB_00072,b0070,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
71,YP_003043302.1,95.4163815098084,-0.0706473496888963,0.0179912747306182,-3.92675620525465,8.60991724867084e-05,0.000490546067920783,leuD,ECB_00073,b0071,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
72,YP_003043303.1,158.461066469955,-0.0450183251132511,0.0162538835859169,-2.76969653900173,0.00561085414667727,0.0178295552795204,leuC,ECB_00074,b0072,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
73,YP_003043304.1,120.373783296981,-0.0877417877970256,0.015736106649435,-5.57582569511727,2.46358510706048e-08,4.17383182085668e-07,leuB,ECB_00075,b0073,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
74,YP_003043305.1,160.628408362274,-0.0713518086098484,0.0163278914808133,-4.36993402936889,1.24284078257274e-05,9.23950226120476e-05,leuA,ECB_00076,b0074,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
75,YP_003043306.1,0.00444361506595241,5.84010700914324e-05,0.0198489291531988,0.00294227812698,0.997652405096084,NA,leuL,ECB_00077,b0075,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
76,YP_003043307.1,0.666007564206895,-0.0792697360314599,0.0344515442372649,-2.30090516365641,0.0213969921837748,0.0551898380124768,leuO,ECB_00078,b0076,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
