,lactate,glucote,Mg,,GlucoseTimeCourse,GlycerolTimeCourse
280,YP_003044232.1,YP_003044955.1,YP_003044902.1,,YP_003045293.1,YP_003046540.1
281,YP_003044234.1,YP_003044957.1,YP_003044903.1,,YP_003045305.1,YP_003046541.1
282,YP_003044237.1,YP_003044961.1,YP_003044904.1,,YP_003045318.1,YP_003046564.1
283,YP_003044241.1,YP_003044963.1,YP_003044918.1,,YP_003045320.1,YP_003046568.1
284,YP_003044242.1,YP_003044987.1,YP_003044919.1,,YP_003045328.1,YP_003046569.1
285,YP_003044245.1,YP_003044988.1,YP_003044921.1,,YP_003045335.1,YP_003046571.1
286,YP_003044246.1,YP_003044991.1,YP_003044926.1,,YP_003045336.1,YP_003046579.1
287,YP_003044251.1,YP_003044993.1,YP_003044928.1,,YP_003045337.1,YP_003046581.1
288,YP_003044252.1,YP_003044994.1,YP_003044935.1,,YP_003045345.1,YP_003046588.1
289,YP_003044253.1,YP_003045001.1,YP_003044939.1,,YP_003045355.1,YP_003046594.1
290,YP_003044254.1,YP_003045005.1,YP_003044941.1,,YP_003045365.1,YP_003046595.1
291,YP_003044256.1,YP_003045008.1,YP_003044942.1,,YP_003045377.1,YP_003046596.1
292,YP_003044257.1,YP_003045045.1,YP_003044954.1,,YP_003045378.1,YP_003046622.1
293,YP_003044258.1,YP_003045049.1,YP_003044955.1,,YP_003045390.1,YP_003046633.1
294,YP_003044265.1,YP_003045055.1,YP_003044961.1,,YP_003045394.1,YP_003046659.1
295,YP_003044267.1,YP_003045067.1,YP_003044962.1,,YP_003045430.1,YP_003046697.1
296,YP_003044272.1,YP_003045072.1,YP_003044963.1,,YP_003045450.1,YP_003046699.1
297,YP_003044274.1,YP_003045076.1,YP_003044968.1,,YP_003045451.1,YP_003046704.1
298,YP_003044299.1,YP_003045079.1,YP_003044969.1,,YP_003045461.1,YP_003046705.1
299,YP_003044318.1,YP_003045084.1,YP_003044970.1,,YP_003045462.1,YP_003046710.1
300,YP_003044320.1,YP_003045086.1,YP_003044980.1,,YP_003045473.1,YP_003046714.1
301,YP_003044324.1,YP_003045100.1,YP_003044988.1,,YP_003045478.1,YP_003046733.1
302,YP_003044326.1,YP_003045112.1,YP_003044991.1,,YP_003045490.1,YP_003046738.1
303,YP_003044329.1,YP_003045114.1,YP_003044993.1,,YP_003045504.1,YP_003046741.1
304,YP_003044334.1,YP_003045137.1,YP_003044994.1,,YP_003045514.1,YP_003046767.1
305,YP_003044336.1,YP_003045154.1,YP_003045005.1,,YP_003045524.1,YP_003046820.1
306,YP_003044337.1,YP_003045155.1,YP_003045008.1,,YP_003045528.1,YP_003046829.1
307,YP_003044339.1,YP_003045172.1,YP_003045011.1,,YP_003045535.1,YP_003046846.1
308,YP_003044340.1,YP_003045176.1,YP_003045031.1,,YP_003045564.1,YP_003046857.1
309,YP_003044352.1,YP_003045181.1,YP_003045054.1,,YP_003045570.1,YP_003046869.1
310,YP_003044353.1,YP_003045184.1,YP_003045071.1,,YP_003045572.1,YP_003046871.1
311,YP_003044357.1,YP_003045185.1,YP_003045086.1,,YP_003045587.1,YP_003046965.1
312,YP_003044358.1,YP_003045186.1,YP_003045101.1,,YP_003045628.1,YP_003046966.1
313,YP_003044359.1,YP_003045189.1,YP_003045103.1,,YP_003045640.1,YP_003046968.1
314,YP_003044361.1,YP_003045190.1,YP_003045111.1,,YP_003045641.1,YP_003046979.1
315,YP_003044362.1,YP_003045201.1,YP_003045114.1,,YP_003045676.1,YP_003047002.1
316,YP_003044363.1,YP_003045202.1,YP_003045144.1,,YP_003045681.1,YP_003047022.1
317,YP_003044364.1,YP_003045213.1,YP_003045146.1,,YP_003045689.1,YP_003047041.1
318,YP_003044373.1,YP_003045214.1,YP_003045173.1,,YP_003045702.1,YP_003047086.1
319,YP_003044375.1,YP_003045217.1,YP_003045182.1,,YP_003045703.1,YP_003047092.1
320,YP_003044385.1,YP_003045228.1,YP_003045185.1,,YP_003045711.1,YP_003047094.1
321,YP_003044386.1,YP_003045229.1,YP_003045186.1,,YP_003045715.1,YP_003047104.1
322,YP_003044403.1,YP_003045232.1,YP_003045194.1,,YP_003045716.1,YP_003047114.1
323,YP_003044404.1,YP_003045235.1,YP_003045201.1,,YP_003045718.1,YP_003047116.1
324,YP_003044406.1,YP_003045243.1,YP_003045207.1,,YP_003045723.1,YP_003047118.1
325,YP_003044407.1,YP_003045250.1,YP_003045211.1,,YP_003045727.1,YP_003047129.1
326,YP_003044408.1,YP_003045251.1,YP_003045212.1,,YP_003045730.1,YP_003047134.1
327,YP_003044409.1,YP_003045258.1,YP_003045214.1,,YP_003045741.1,YP_003047143.1
328,YP_003044411.1,YP_003045259.1,YP_003045229.1,,YP_003045757.1,YP_003047146.1
329,YP_003044415.1,YP_003045263.1,YP_003045231.1,,YP_003045764.1,YP_003047162.1
330,YP_003044419.1,YP_003045264.1,YP_003045232.1,,YP_003045765.1,YP_003047163.1
331,YP_003044420.1,YP_003045266.1,YP_003045235.1,,YP_003045767.1,YP_003047165.1
332,YP_003044424.1,YP_003045280.1,YP_003045240.1,,YP_003045777.1,YP_003047168.1
333,YP_003044432.1,YP_003045282.1,YP_003045248.1,,YP_003045788.1,YP_003047181.1
334,YP_003044442.1,YP_003045284.1,YP_003045250.1,,YP_003045793.1,YP_003047188.1
335,YP_003044446.1,YP_003045285.1,YP_003045251.1,,YP_003045794.1,YP_003047190.1
336,YP_003044452.1,YP_003045287.1,YP_003045258.1,,YP_003045795.1,YP_003047193.1
337,YP_003044456.1,YP_003045305.1,YP_003045259.1,,YP_003045834.1,YP_003047232.1
338,YP_003044477.1,YP_003045318.1,YP_003045263.1,,YP_003045835.1,YP_003047283.1
339,YP_003044481.1,YP_003045319.1,YP_003045264.1,,YP_003045846.1,YP_003047313.1
340,YP_003044483.1,YP_003045321.1,YP_003045267.1,,YP_003045871.1,YP_003047350.1
341,YP_003044484.1,YP_003045323.1,YP_003045269.1,,YP_003045881.1,YP_003047351.1
342,YP_003044495.1,YP_003045357.1,YP_003045284.1,,YP_003045883.1,YP_003047357.1
343,YP_003044499.1,YP_003045365.1,YP_003045285.1,,YP_003045916.1,YP_003047374.1
344,YP_003044500.1,YP_003045367.1,YP_003045287.1,,YP_003045919.1,YP_003047380.1
345,YP_003044501.1,YP_003045371.1,YP_003045288.1,,YP_003045934.1,YP_003047412.1
346,YP_003044502.1,YP_003045377.1,YP_003045292.1,,YP_003045940.1,YP_003047437.1
347,YP_003044503.1,YP_003045378.1,YP_003045293.1,,YP_003045993.1,
348,YP_003044504.1,YP_003045397.1,YP_003045318.1,,YP_003045999.1,
349,YP_003044505.1,YP_003045415.1,YP_003045320.1,,YP_003046000.1,
350,YP_003044507.1,YP_003045439.1,YP_003045327.1,,YP_003046010.1,
351,YP_003044518.1,YP_003045449.1,YP_003045328.1,,YP_003046011.1,
352,YP_003044519.1,YP_003045468.1,YP_003045335.1,,YP_003046025.1,
353,YP_003044528.1,YP_003045478.1,YP_003045345.1,,YP_003046027.1,
354,YP_003044532.1,YP_003045485.1,YP_003045348.1,,YP_003046040.1,
355,YP_003044533.1,YP_003045486.1,YP_003045355.1,,YP_003046048.1,
356,YP_003044534.1,YP_003045488.1,YP_003045357.1,,YP_003046079.1,
357,YP_003044535.1,YP_003045491.1,YP_003045359.1,,YP_003046080.1,
358,YP_003044540.1,YP_003045492.1,YP_003045369.1,,YP_003046084.1,
359,YP_003044541.1,YP_003045498.1,YP_003045370.1,,YP_003046088.1,
360,YP_003044543.1,YP_003045499.1,YP_003045377.1,,YP_003046093.1,
361,YP_003044544.1,YP_003045514.1,YP_003045378.1,,YP_003046097.1,
362,YP_003044545.1,YP_003045515.1,YP_003045390.1,,YP_003046105.1,
363,YP_003044550.1,YP_003045521.1,YP_003045397.1,,YP_003046128.1,
364,YP_003044553.1,YP_003045524.1,YP_003045412.1,,YP_003046132.1,
365,YP_003044554.1,YP_003045529.1,YP_003045430.1,,YP_003046142.1,
366,YP_003044555.1,YP_003045530.1,YP_003045434.1,,YP_003046153.1,
367,YP_003044560.1,YP_003045533.1,YP_003045439.1,,YP_003046155.1,
368,YP_003044564.1,YP_003045538.1,YP_003045449.1,,YP_003046157.1,
369,YP_003044565.1,YP_003045544.1,YP_003045450.1,,YP_003046158.1,
370,YP_003044570.1,YP_003045566.1,YP_003045451.1,,YP_003046163.1,
371,YP_003044573.1,YP_003045567.1,YP_003045452.1,,YP_003046171.1,
372,YP_003044574.1,YP_003045570.1,YP_003045455.1,,YP_003046185.1,
373,YP_003044575.1,YP_003045572.1,YP_003045468.1,,YP_003046194.1,
374,YP_003044576.1,YP_003045587.1,YP_003045473.1,,YP_003046207.1,
375,YP_003044583.1,YP_003045618.1,YP_003045477.1,,YP_003046238.1,
376,YP_003044584.1,YP_003045622.1,YP_003045478.1,,YP_003046287.1,
377,YP_003044585.1,YP_003045623.1,YP_003045488.1,,YP_003046293.1,
378,YP_003044586.1,YP_003045626.1,YP_003045491.1,,YP_003046300.1,
379,YP_003044587.1,YP_003045653.1,YP_003045492.1,,YP_003046310.1,
380,YP_003044595.1,YP_003045661.1,YP_003045498.1,,YP_003046312.1,
381,YP_003044596.1,YP_003045670.1,YP_003045501.1,,YP_003046367.1,
382,YP_003044600.1,YP_003045676.1,YP_003045524.1,,YP_003046370.1,
383,YP_003044604.1,YP_003045681.1,YP_003045529.1,,YP_003046373.1,
384,YP_003044611.1,YP_003045689.1,YP_003045538.1,,YP_003046402.1,
385,YP_003044612.1,YP_003045711.1,YP_003045540.1,,YP_003046403.1,
386,YP_003044613.1,YP_003045716.1,YP_003045544.1,,YP_003046405.1,
387,YP_003044619.1,YP_003045723.1,YP_003045555.1,,YP_003046411.1,
388,YP_003044620.1,YP_003045725.1,YP_003045566.1,,YP_003046412.1,
389,YP_003044622.1,YP_003045727.1,YP_003045570.1,,YP_003046418.1,
390,YP_003044624.1,YP_003045730.1,YP_003045571.1,,YP_003046489.1,
391,YP_003044625.1,YP_003045733.1,YP_003045572.1,,YP_003046505.1,
392,YP_003044626.1,YP_003045741.1,YP_003045574.1,,YP_003046506.1,
393,YP_003044627.1,YP_003045744.1,YP_003045579.1,,YP_003046522.1,
394,YP_003044631.1,YP_003045745.1,YP_003045587.1,,YP_003046527.1,
395,YP_003044632.1,YP_003045759.1,YP_003045618.1,,YP_003046532.1,
396,YP_003044636.1,YP_003045761.1,YP_003045622.1,,YP_003046533.1,
397,YP_003044638.1,YP_003045765.1,YP_003045628.1,,YP_003046541.1,
398,YP_003044639.1,YP_003045767.1,YP_003045645.1,,YP_003046543.1,
399,YP_003044641.1,YP_003045768.1,YP_003045648.1,,YP_003046555.1,
400,YP_003044643.1,YP_003045788.1,YP_003045653.1,,YP_003046564.1,
401,YP_003044647.1,YP_003045802.1,YP_003045661.1,,YP_003046566.1,
402,YP_003044652.1,YP_003045807.1,YP_003045676.1,,YP_003046569.1,
403,YP_003044654.1,YP_003045809.1,YP_003045681.1,,YP_003046581.1,
404,YP_003044665.1,YP_003045812.1,YP_003045708.1,,YP_003046586.1,
405,YP_003044666.1,YP_003045817.1,YP_003045711.1,,YP_003046588.1,
406,YP_003044669.1,YP_003045846.1,YP_003045715.1,,YP_003046589.1,
407,YP_003044670.1,YP_003045867.1,YP_003045726.1,,YP_003046590.1,
408,YP_003044675.1,YP_003045871.1,YP_003045727.1,,YP_003046595.1,
409,YP_003044677.1,YP_003045882.1,YP_003045730.1,,YP_003046596.1,
410,YP_003044680.1,YP_003045895.1,YP_003045733.1,,YP_003046605.1,
411,YP_003044682.1,YP_003045897.1,YP_003045741.1,,YP_003046608.1,
412,YP_003044683.1,YP_003045898.1,YP_003045742.1,,YP_003046609.1,
413,YP_003044686.1,YP_003045901.1,YP_003045745.1,,YP_003046610.1,
414,YP_003044688.1,YP_003045906.1,YP_003045758.1,,YP_003046621.1,
415,YP_003044689.1,YP_003045916.1,YP_003045759.1,,YP_003046633.1,
416,YP_003044692.1,YP_003045919.1,YP_003045767.1,,YP_003046639.1,
417,YP_003044694.1,YP_003045938.1,YP_003045768.1,,YP_003046662.1,
418,YP_003044695.1,YP_003045939.1,YP_003045773.1,,YP_003046663.1,
419,YP_003044697.1,YP_003045948.1,YP_003045776.1,,YP_003046664.1,
420,YP_003044699.1,YP_003045949.1,YP_003045788.1,,YP_003046682.1,
421,YP_003044703.1,YP_003045951.1,YP_003045792.1,,YP_003046697.1,
422,YP_003044705.1,YP_003045952.1,YP_003045812.1,,YP_003046705.1,
423,YP_003044707.1,YP_003045957.1,YP_003045823.1,,YP_003046706.1,
424,YP_003044708.1,YP_003045958.1,YP_003045860.1,,YP_003046707.1,
425,YP_003044709.1,YP_003045993.1,YP_003045861.1,,YP_003046710.1,
426,YP_003044710.1,YP_003045995.1,YP_003045868.1,,YP_003046711.1,
427,YP_003044715.1,YP_003045998.1,YP_003045871.1,,YP_003046712.1,
428,YP_003044716.1,YP_003046000.1,YP_003045875.1,,YP_003046714.1,
429,YP_003044718.1,YP_003046015.1,YP_003045882.1,,YP_003046716.1,
430,YP_003044719.1,YP_003046016.1,YP_003045884.1,,YP_003046733.1,
431,YP_003044723.1,YP_003046019.1,YP_003045889.1,,YP_003046735.1,
432,YP_003044728.1,YP_003046026.1,YP_003045891.1,,YP_003046737.1,
433,YP_003044729.1,YP_003046029.1,YP_003045898.1,,YP_003046741.1,
434,YP_003044732.1,YP_003046052.1,YP_003045916.1,,YP_003046744.1,
435,YP_003044733.1,YP_003046053.1,YP_003045919.1,,YP_003046750.1,
436,YP_003044734.1,YP_003046071.1,YP_003045931.1,,YP_003046799.1,
437,YP_003044735.1,YP_003046079.1,YP_003045938.1,,YP_003046807.1,
438,YP_003044737.1,YP_003046084.1,YP_003045942.1,,YP_003046808.1,
439,YP_003044739.1,YP_003046093.1,YP_003045948.1,,YP_003046820.1,
440,YP_003044742.1,YP_003046097.1,YP_003045952.1,,YP_003046829.1,
441,YP_003044745.1,YP_003046105.1,YP_003045957.1,,YP_003046834.1,
442,YP_003044746.1,YP_003046128.1,YP_003045963.1,,YP_003046857.1,
443,YP_003044749.1,YP_003046131.1,YP_003045984.1,,YP_003046870.1,
444,YP_003044751.1,YP_003046136.1,YP_003045992.1,,YP_003046872.1,
445,YP_003044754.1,YP_003046137.1,YP_003045993.1,,YP_003046905.1,
446,YP_003044756.1,YP_003046150.1,YP_003045995.1,,YP_003046914.1,
447,YP_003044758.1,YP_003046158.1,YP_003045996.1,,YP_003046948.1,
448,YP_003044759.1,YP_003046161.1,YP_003045998.1,,YP_003046966.1,
449,YP_003044761.1,YP_003046163.1,YP_003045999.1,,YP_003046979.1,
450,YP_003044762.1,YP_003046165.1,YP_003046000.1,,YP_003047002.1,
451,YP_003044765.1,YP_003046168.1,YP_003046009.1,,YP_003047022.1,
452,YP_003044766.1,YP_003046171.1,YP_003046015.1,,YP_003047041.1,
453,YP_003044768.1,YP_003046172.1,YP_003046016.1,,YP_003047042.1,
454,YP_003044769.1,YP_003046177.1,YP_003046018.1,,YP_003047052.1,
455,YP_003044776.1,YP_003046180.1,YP_003046019.1,,YP_003047074.1,
456,YP_003044784.1,YP_003046186.1,YP_003046020.1,,YP_003047084.1,
457,YP_003044785.1,YP_003046190.1,YP_003046027.1,,YP_003047086.1,
458,YP_003044794.1,YP_003046191.1,YP_003046043.1,,YP_003047092.1,
459,YP_003044796.1,YP_003046200.1,YP_003046045.1,,YP_003047094.1,
460,YP_003044797.1,YP_003046209.1,YP_003046052.1,,YP_003047106.1,
461,YP_003044800.1,YP_003046213.1,YP_003046053.1,,YP_003047116.1,
462,YP_003044804.1,YP_003046234.1,YP_003046058.1,,YP_003047134.1,
463,YP_003044813.1,YP_003046238.1,YP_003046067.1,,YP_003047140.1,
464,YP_003044825.1,YP_003046264.1,YP_003046072.1,,YP_003047143.1,
465,YP_003044827.1,YP_003046283.1,YP_003046079.1,,YP_003047145.1,
466,YP_003044830.1,YP_003046284.1,YP_003046084.1,,YP_003047155.1,
467,YP_003044831.1,YP_003046287.1,YP_003046093.1,,YP_003047163.1,
468,YP_003044834.1,YP_003046293.1,YP_003046097.1,,YP_003047167.1,
469,YP_003044839.1,YP_003046300.1,YP_003046103.1,,YP_003047188.1,
470,YP_003044840.1,YP_003046306.1,YP_003046105.1,,YP_003047190.1,
471,YP_003044841.1,YP_003046307.1,YP_003046132.1,,YP_003047194.1,
472,YP_003044857.1,YP_003046310.1,YP_003046136.1,,YP_003047236.1,
473,YP_003044858.1,YP_003046320.1,YP_003046155.1,,YP_003047258.1,
474,YP_003044859.1,YP_003046327.1,YP_003046158.1,,YP_003047268.1,
475,YP_003044860.1,YP_003046329.1,YP_003046161.1,,YP_003047274.1,
476,YP_003044866.1,YP_003046358.1,YP_003046168.1,,YP_003047283.1,
477,YP_003044868.1,YP_003046364.1,YP_003046170.1,,YP_003047284.1,
478,YP_003044869.1,YP_003046365.1,YP_003046171.1,,YP_003047300.1,
479,YP_003044873.1,YP_003046370.1,YP_003046179.1,,YP_003047309.1,
480,YP_003044875.1,YP_003046371.1,YP_003046185.1,,YP_003047311.1,
481,YP_003044876.1,YP_003046373.1,YP_003046186.1,,YP_003047313.1,
482,YP_003044879.1,YP_003046381.1,YP_003046191.1,,YP_003047327.1,
483,YP_003044883.1,YP_003046390.1,YP_003046194.1,,YP_003047328.1,
484,YP_003044888.1,YP_003046403.1,YP_003046195.1,,YP_003047331.1,
485,YP_003044889.1,YP_003046405.1,YP_003046197.1,,YP_003047337.1,
486,YP_003044891.1,YP_003046409.1,YP_003046238.1,,YP_003047338.1,
487,YP_003044900.1,YP_003046414.1,YP_003046249.1,,YP_003047342.1,
488,YP_003044902.1,YP_003046428.1,YP_003046261.1,,YP_003047343.1,
489,YP_003044903.1,YP_003046429.1,YP_003046283.1,,YP_003047345.1,
490,YP_003044904.1,YP_003046444.1,YP_003046287.1,,YP_003047351.1,
491,YP_003044909.1,YP_003046469.1,YP_003046293.1,,YP_003047356.1,
492,YP_003044917.1,YP_003046477.1,YP_003046306.1,,YP_003047357.1,
493,YP_003044918.1,YP_003046484.1,YP_003046310.1,,YP_003047360.1,
494,YP_003044921.1,YP_003046489.1,YP_003046320.1,,YP_003047370.1,
495,YP_003044926.1,YP_003046498.1,YP_003046329.1,,YP_003047371.1,
496,YP_003044928.1,YP_003046500.1,YP_003046360.1,,YP_003047380.1,
497,YP_003044935.1,YP_003046503.1,YP_003046365.1,,YP_003047384.1,
498,YP_003044950.1,YP_003046505.1,YP_003046371.1,,YP_003047388.1,
499,YP_003044954.1,YP_003046506.1,YP_003046373.1,,YP_003047412.1,
500,YP_003044955.1,YP_003046507.1,YP_003046381.1,,,
501,YP_003044957.1,YP_003046510.1,YP_003046390.1,,,
502,YP_003044961.1,YP_003046511.1,YP_003046402.1,,,
503,YP_003044962.1,YP_003046515.1,YP_003046403.1,,,
504,YP_003044963.1,YP_003046522.1,YP_003046405.1,,,
505,YP_003044965.1,YP_003046537.1,YP_003046409.1,,,
506,YP_003044968.1,YP_003046540.1,YP_003046414.1,,,
507,YP_003044969.1,YP_003046541.1,YP_003046415.1,,,
508,YP_003044970.1,YP_003046543.1,YP_003046418.1,,,
509,YP_003044978.1,YP_003046545.1,YP_003046428.1,,,
510,YP_003044980.1,YP_003046564.1,YP_003046429.1,,,
511,YP_003044982.1,YP_003046566.1,YP_003046430.1,,,
512,YP_003044987.1,YP_003046569.1,YP_003046477.1,,,
513,YP_003044988.1,YP_003046579.1,YP_003046478.1,,,
514,YP_003044991.1,YP_003046581.1,YP_003046484.1,,,
515,YP_003044993.1,YP_003046586.1,YP_003046489.1,,,
516,YP_003045001.1,YP_003046588.1,YP_003046498.1,,,
517,YP_003045005.1,YP_003046594.1,YP_003046500.1,,,
518,YP_003045006.1,YP_003046595.1,YP_003046503.1,,,
519,YP_003045008.1,YP_003046596.1,YP_003046507.1,,,
520,YP_003045019.1,YP_003046608.1,YP_003046510.1,,,
521,YP_003045027.1,YP_003046609.1,YP_003046515.1,,,
522,YP_003045033.1,YP_003046610.1,YP_003046516.1,,,
523,YP_003045036.1,YP_003046617.1,YP_003046517.1,,,
524,YP_003045050.1,YP_003046619.1,YP_003046522.1,,,
525,YP_003045051.1,YP_003046633.1,YP_003046527.1,,,
526,YP_003045052.1,YP_003046639.1,YP_003046532.1,,,
527,YP_003045053.1,YP_003046641.1,YP_003046537.1,,,
528,YP_003045055.1,YP_003046689.1,YP_003046538.1,,,
529,YP_003045058.1,YP_003046697.1,YP_003046564.1,,,
530,YP_003045064.1,YP_003046706.1,YP_003046566.1,,,
531,YP_003045067.1,YP_003046707.1,YP_003046568.1,,,
532,YP_003045074.1,YP_003046709.1,YP_003046569.1,,,
533,YP_003045076.1,YP_003046710.1,YP_003046579.1,,,
534,YP_003045078.1,YP_003046714.1,YP_003046581.1,,,
535,YP_003045079.1,YP_003046716.1,YP_003046586.1,,,
536,YP_003045084.1,YP_003046723.1,YP_003046588.1,,,
537,YP_003045086.1,YP_003046733.1,YP_003046593.1,,,
538,YP_003045089.1,YP_003046734.1,YP_003046595.1,,,
539,YP_003045092.1,YP_003046736.1,YP_003046596.1,,,
540,YP_003045097.1,YP_003046737.1,YP_003046605.1,,,
541,YP_003045100.1,YP_003046738.1,YP_003046609.1,,,
542,YP_003045102.1,YP_003046740.1,YP_003046610.1,,,
543,YP_003045103.1,YP_003046741.1,YP_003046629.1,,,
544,YP_003045112.1,YP_003046742.1,YP_003046631.1,,,
545,YP_003045114.1,YP_003046755.1,YP_003046639.1,,,
546,YP_003045124.1,YP_003046767.1,YP_003046674.1,,,
547,YP_003045128.1,YP_003046769.1,YP_003046689.1,,,
548,YP_003045137.1,YP_003046770.1,YP_003046697.1,,,
549,YP_003045143.1,YP_003046771.1,YP_003046704.1,,,
550,YP_003045145.1,YP_003046786.1,YP_003046707.1,,,
551,YP_003045149.1,YP_003046787.1,YP_003046711.1,,,
552,YP_003045154.1,YP_003046815.1,YP_003046714.1,,,
553,YP_003045155.1,YP_003046816.1,YP_003046715.1,,,
554,YP_003045158.1,YP_003046820.1,YP_003046716.1,,,
555,YP_003045161.1,YP_003046829.1,YP_003046720.1,,,
556,YP_003045162.1,YP_003046834.1,YP_003046727.1,,,
557,YP_003045172.1,YP_003046857.1,YP_003046734.1,,,
558,YP_003045176.1,YP_003046867.1,YP_003046736.1,,,
559,YP_003045181.1,YP_003046868.1,YP_003046738.1,,,
560,YP_003045182.1,YP_003046870.1,YP_003046740.1,,,
561,YP_003045184.1,YP_003046871.1,YP_003046741.1,,,
562,YP_003045185.1,YP_003046872.1,YP_003046753.1,,,
563,YP_003045186.1,YP_003046884.1,YP_003046755.1,,,
564,YP_003045187.1,YP_003046885.1,YP_003046764.1,,,
565,YP_003045188.1,YP_003046888.1,YP_003046767.1,,,
566,YP_003045189.1,YP_003046914.1,YP_003046777.1,,,
567,YP_003045190.1,YP_003046947.1,YP_003046786.1,,,
568,YP_003045192.1,YP_003046948.1,YP_003046787.1,,,
569,YP_003045200.1,YP_003046950.1,YP_003046815.1,,,
570,YP_003045201.1,YP_003046966.1,YP_003046820.1,,,
571,YP_003045202.1,YP_003046979.1,YP_003046834.1,,,
572,YP_003045203.1,YP_003047002.1,YP_003046846.1,,,
573,YP_003045206.1,YP_003047008.1,YP_003046857.1,,,
574,YP_003045207.1,YP_003047011.1,YP_003046867.1,,,
575,YP_003045211.1,YP_003047022.1,YP_003046868.1,,,
576,YP_003045212.1,YP_003047030.1,YP_003046869.1,,,
577,YP_003045213.1,YP_003047038.1,YP_003046870.1,,,
578,YP_003045214.1,YP_003047041.1,YP_003046871.1,,,
579,YP_003045216.1,YP_003047074.1,YP_003046872.1,,,
580,YP_003045217.1,YP_003047076.1,YP_003046877.1,,,
581,YP_003045219.1,YP_003047104.1,YP_003046880.1,,,
582,YP_003045223.1,YP_003047114.1,YP_003046885.1,,,
583,YP_003045228.1,YP_003047118.1,YP_003046888.1,,,
584,YP_003045230.1,YP_003047128.1,YP_003046889.1,,,
585,YP_003045231.1,YP_003047137.1,YP_003046893.1,,,
586,YP_003045232.1,YP_003047146.1,YP_003046935.1,,,
587,YP_003045233.1,YP_003047156.1,YP_003046938.1,,,
588,YP_003045235.1,YP_003047162.1,YP_003046947.1,,,
589,YP_003045243.1,YP_003047169.1,YP_003046948.1,,,
590,YP_003045250.1,YP_003047181.1,YP_003046958.1,,,
591,YP_003045251.1,YP_003047188.1,YP_003046960.1,,,
592,YP_003045258.1,YP_003047190.1,YP_003046979.1,,,
593,YP_003045259.1,YP_003047194.1,YP_003046995.1,,,
594,YP_003045263.1,YP_003047213.1,YP_003047007.1,,,
595,YP_003045264.1,YP_003047225.1,YP_003047022.1,,,
596,YP_003045267.1,YP_003047232.1,YP_003047041.1,,,
597,YP_003045274.1,YP_003047233.1,YP_003047052.1,,,
598,YP_003045280.1,YP_003047238.1,YP_003047057.1,,,
599,YP_003045282.1,YP_003047252.1,YP_003047074.1,,,
600,YP_003045285.1,YP_003047258.1,YP_003047076.1,,,
601,YP_003045287.1,YP_003047268.1,YP_003047094.1,,,
602,YP_003045292.1,YP_003047269.1,YP_003047104.1,,,
603,YP_003045293.1,YP_003047283.1,YP_003047116.1,,,
604,YP_003045297.1,YP_003047300.1,YP_003047119.1,,,
605,YP_003045301.1,YP_003047306.1,YP_003047128.1,,,
606,YP_003045302.1,YP_003047311.1,YP_003047129.1,,,
607,YP_003045305.1,YP_003047313.1,YP_003047134.1,,,
608,YP_003045316.1,YP_003047317.1,YP_003047136.1,,,
609,YP_003045318.1,YP_003047319.1,YP_003047143.1,,,
610,YP_003045319.1,YP_003047320.1,YP_003047146.1,,,
611,YP_003045320.1,YP_003047330.1,YP_003047151.1,,,
612,YP_003045322.1,YP_003047331.1,YP_003047156.1,,,
613,YP_003045324.1,YP_003047338.1,YP_003047166.1,,,
614,YP_003045328.1,YP_003047339.1,YP_003047167.1,,,
615,YP_003045332.1,YP_003047345.1,YP_003047169.1,,,
616,YP_003045335.1,YP_003047349.1,YP_003047173.1,,,
617,YP_003045336.1,YP_003047350.1,YP_003047188.1,,,
618,YP_003045342.1,YP_003047351.1,YP_003047190.1,,,
619,YP_003045348.1,YP_003047356.1,YP_003047193.1,,,
620,YP_003045355.1,YP_003047361.1,YP_003047198.1,,,
621,YP_003045356.1,YP_003047362.1,YP_003047220.1,,,
622,YP_003045357.1,YP_003047363.1,YP_003047222.1,,,
623,YP_003045364.1,YP_003047364.1,YP_003047225.1,,,
624,YP_003045365.1,YP_003047380.1,YP_003047230.1,,,
625,YP_003045369.1,YP_003047382.1,YP_003047232.1,,,
626,YP_003045370.1,YP_003047384.1,YP_003047236.1,,,
627,YP_003045371.1,YP_003047400.1,YP_003047238.1,,,
628,YP_003045377.1,YP_003047403.1,YP_003047252.1,,,
629,YP_003045378.1,YP_003047405.1,YP_003047254.1,,,
630,YP_003045383.1,YP_003047412.1,YP_003047269.1,,,
631,YP_003045390.1,YP_003047437.1,YP_003047284.1,,,
632,YP_003045391.1,,YP_003047311.1,,,
633,YP_003045393.1,,YP_003047313.1,,,
634,YP_003045397.1,,YP_003047319.1,,,
635,YP_003045415.1,,YP_003047324.1,,,
636,YP_003045422.1,,YP_003047330.1,,,
637,YP_003045424.1,,YP_003047331.1,,,
638,YP_003045430.1,,YP_003047334.1,,,
639,YP_003045434.1,,YP_003047336.1,,,
640,YP_003045439.1,,YP_003047345.1,,,
641,YP_003045444.1,,YP_003047349.1,,,
642,YP_003045450.1,,YP_003047350.1,,,
643,YP_003045451.1,,YP_003047351.1,,,
644,YP_003045452.1,,YP_003047357.1,,,
645,YP_003045453.1,,YP_003047360.1,,,
646,YP_003045461.1,,YP_003047363.1,,,
647,YP_003045464.1,,YP_003047365.1,,,
