"","x"
"1023","thrB"
"1024","thrC"
"1025","thrS"
"1026","thyA"
"1027","tig"
"1028","tktA"
"1029","tldD"
"1030","tmk"
"1031","tolB"
"1032","tolC"
"1033","tolR"
"1034","topA"
"1035","topB"
"1036","torA"
"1037","torC"
"1038","torT"
"1039","tpiA"
"1040","tppB"
"1041","tpx"
"1042","treC"
"1043","treF"
"1044","trg"
"1045","trmB"
"1046","trmE"
"1047","trpA"
"1048","trpB"
"1049","trpC"
"1050","trpD"
"1051","trpE"
"1052","trpS"
"1053","truD"
"1054","trxA"
"1055","trxB"
"1056","trxC"
"1057","tsf"
"1058","tsr"
"1059","ttdA"
"1060","tufA"
"1061","tynA"
"1062","tyrA"
"1063","tyrB"
"1064","tyrS"
"1065","ubiB"
"1066","ubiC"
"1067","ubiE"
"1068","ubiG"
"1069","ubiX"
"1070","udk"
"1071","udp"
"1072","ugd"
"1073","ugpC"
"1074","uhpA"
"1075","uhpB"
"1076","uidC"
"1077","ulaD"
"1078","umuC"
"1079","upp"
"1080","usg"
"1081","ushA"
"1082","uspA"
"1083","uvrA"
"1084","uvrC"
"1085","uvrD"
"1086","uxaB"
"1087","vacJ"
"1088","valS"
"1089","vioA"
"1090","vioB"
"1091","waaA"
"1092","waaF"
"1093","waaP"
"1094","wbbB"
"1095","wbbC"
"1096","wcaC"
"1097","wcaE"
"1098","wcaI"
"1099","wcaJ"
"1100","wcaK"
"1101","wcaL"
"1102","wcaM"
"1103","wecB"
"1104","wecC"
"1105","wecE"
"1106","wza"
"1107","wzc"
"1108","wzzB"
"1109","wzzE"
"1110","xdhA"
"1111","xni"
"1112","xseB"
"1113","xthA"
"1114","yaaA"
"1115","yacG"
"1116","yacH"
"1117","yacL"
"1118","yadD"
"1119","yadE"
"1120","yadF"
"1121","yadG"
"1122","yadR"
"1123","yaeH"
"1124","yaeL"
"1125","yaeT"
"1126","yafM"
"1127","yafT"
"1128","yagR"
"1129","yagS"
"1130","yagU"
"1131","yagW"
"1132","yagX"
"1133","yahB"
"1134","yahF"
"1135","yahG"
"1136","yahI"
"1137","yahJ"
"1138","yahL"
