,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1029,YP_003044261.1,5.46243044493306,0.80324850656,0.396437387231298,2.02616739094628,0.0427476340439902,0.111075452299904,ymdC,ECB_01043,b1046,1,protein,Exp,carbonSource,glucoseglycerol
1030,YP_003044262.1,0.655706889170128,1.67727410390045,0.717631445144914,2.33723607744327,0.0194269122294104,0.0590258287381897,mdoC,ECB_01044,b1047,1,protein,Exp,carbonSource,glucoseglycerol
1031,YP_003044263.1,74.3516222536645,-1.04422152327502,0.271020127250535,-3.85292979480349,0.000116712862728876,0.000902579471769972,mdoG,ECB_01045,b1048,-1,protein,Exp,carbonSource,glucoseglycerol
1032,YP_003044264.1,27.3389603102685,-0.824224566010572,0.310499856594884,-2.65450868496199,0.00794239950147419,0.0282194107136085,mdoH,ECB_01046,b1049,-1,protein,Exp,carbonSource,glucoseglycerol
1033,YP_003044265.1,0.0878150104681096,-0.0249743787435165,0.642169597278971,-0.0388906277241075,0.968977588910224,NA,yceK,ECB_01047,b1050,-1,protein,Exp,carbonSource,glucoseglycerol
1034,YP_003044266.1,1.11368159360305,0.444441538094494,0.713722833428619,0.622708868594637,0.533475853727759,0.723071063021396,msyB,ECB_01048,b1051,1,protein,Exp,carbonSource,glucoseglycerol
1035,YP_003044267.1,0.302270988849467,0.181564017238151,0.768821294428418,0.236158933882203,0.813309344308494,0.912522177301335,yceE,ECB_01049,b1053,1,protein,Exp,carbonSource,glucoseglycerol
1036,YP_003044268.1,11.580072336855,-1.40065857230931,0.349557229746557,-4.00695065962402,6.15077058673349e-05,0.000538482557027234,htrB,ECB_01050,b1054,-1,protein,Exp,carbonSource,glucoseglycerol
1037,YP_003044269.1,19.1632168498235,-2.03237087573508,0.378284907219446,-5.37259308248342,7.76123416495241e-08,2.89752742158223e-06,yceA,ECB_01051,b1055,-1,protein,Exp,carbonSource,glucoseglycerol
1038,YP_003044270.1,9.39721059620888,-1.51548841280461,0.339089602211707,-4.46928600263723,7.84811338516677e-06,0.000108011323199244,yceI,ECB_01052,b1056,-1,protein,Exp,carbonSource,glucoseglycerol
1039,YP_003044271.1,0.124666189447105,0.628852522477383,0.67675422084033,0.929218471214753,0.352775876735826,NA,yceJ,ECB_01053,b1057,1,protein,Exp,carbonSource,glucoseglycerol
1040,YP_003044272.1,0.0380501256574141,-0.225351462096224,0.590219821580855,-0.381809376534728,0.702602763276059,NA,yceO,ECB_01054,b1058,-1,protein,Exp,carbonSource,glucoseglycerol
1041,YP_003044273.1,67.787133332279,-0.904776656306173,0.268586486547839,-3.36866038174642,0.000755344375060704,0.00401042203196742,solA,ECB_01055,b1059,-1,protein,Exp,carbonSource,glucoseglycerol
1042,YP_003044274.1,0.255006545893382,-0.209897920642516,0.770998372796198,-0.272241716777266,0.785436167381194,0.89942259469605,bssS,ECB_01056,b1060,-1,protein,Exp,carbonSource,glucoseglycerol
1043,YP_003044275.1,4.98942713421153,0.116931092030344,0.390040042408357,0.299792532347028,0.764335411815756,0.886312537514307,dinI,ECB_01057,b1061,1,protein,Exp,carbonSource,glucoseglycerol
1044,YP_003044276.1,53.4882207693184,-1.224207277329,0.324523630366,-3.77232091218852,0.000161736048827829,0.00111296331905252,pyrC,ECB_01058,b1062,-1,protein,Exp,carbonSource,glucoseglycerol
1045,YP_003044277.1,7.14914105157728,-0.630695532295882,0.322477187206201,-1.9557834083085,0.0504906742057441,0.128148197664456,yceB,ECB_01059,b1063,-1,protein,Exp,carbonSource,glucoseglycerol
1046,YP_003044278.1,18.3937276638476,-0.739686099160668,0.272316029039933,-2.71627822191913,0.00660204111660037,0.0242847446735198,grxB,ECB_01060,b1064,-1,protein,Exp,carbonSource,glucoseglycerol
