"","x"
"806","rpsP"
"807","rpsQ"
"808","rpsR"
"809","rpsS"
"810","rpsT"
"811","rrmA"
"812","rrmB"
"813","rrmJ"
"814","rseB"
"815","rsmC"
"816","rstA"
"817","rstB"
"818","rtcR"
"819","rtn"
"820","rumB"
"821","rus"
"822","sbm"
"823","sbmC"
"824","sdaC"
"825","sdhA"
"826","sdhB"
"827","sdhC"
"828","secA"
"829","secB"
"830","secD"
"831","secF"
"832","selD"
"833","seqA"
"834","serA"
"835","serB"
"836","serC"
"837","serS"
"838","sgaE"
"839","sgaU"
"840","sgbU"
"841","sixA"
"842","slp"
"843","slyA"
"844","slyB"
"845","slyD"
"846","smpA"
"847","sodA"
"848","sodB"
"849","sodC"
"850","sohB"
"851","solA"
"852","speA"
"853","speB"
"854","speC"
"855","speD"
"856","sppA"
"857","spy"
"858","srlB"
"859","srmB"
"860","ssb"
"861","sseA"
"862","ssnA"
"863","sspA"
"864","sspB"
"865","ssuD"
"866","stfR"
"867","stpA"
"868","sucA"
"869","sucB"
"870","sucC"
"871","sucD"
"872","sufA"
"873","sufS"
"874","suhB"
"875","surA"
"876","tadA"
"877","talA"
"878","talB"
"879","talC"
"880","tam"
"881","tap"
"882","tar"
"883","tas"
"884","tatB"
"885","tdcB"
"886","tdcE"
"887","tdcG"
"888","tdh"
"889","tehB"
"890","tesB"
"891","tgt"
"892","thiC"
"893","thiQ"
"894","thrA"
"895","thrB"
"896","thrC"
"897","thrS"
"898","thyA"
"899","tig"
"900","tktA"
"901","tldD"
"902","tmk"
"903","tnaA"
"904","tolB"
"905","tolC"
"906","tolQ"
"907","tolR"
"908","topA"
"909","topB"
"910","torA"
"911","torC"
"912","torR"
"913","torS"
"914","torT"
"915","torZ"
"916","tpiA"
"917","tpx"
"918","treA"
"919","treC"
"920","treF"
"921","trg"
"922","trmA"
"923","trmB"
"924","trmE"
"925","trpA"
"926","trpB"
"927","trpC"
"928","trpD"
"929","trpE"
"930","trpS"
"931","truA"
"932","truB"
"933","truD"
"934","trxA"
"935","trxB"
"936","trxC"
"937","tsf"
"938","ttdA"
"939","ttdB"
"940","tufA"
"941","tynA"
"942","tyrA"
"943","tyrB"
"944","tyrR"
"945","tyrS"
"946","ubiB"
"947","ubiE"
"948","ubiG"
"949","udk"
"950","udp"
"951","ugd"
"952","ugpB"
"953","ugpQ"
"954","uhpB"
"955","uidC"
"956","umuC"
"957","upp"
"958","usg"
"959","ushA"
"960","uspA"
"961","uup"
"962","uvrC"
"963","uvrY"
"964","vacJ"
"965","valS"
"966","vioA"
"967","waaP"
"968","wcaA"
"969","wcaG"
"970","wcaJ"
"971","wcaK"
"972","wcaM"
"973","wecB"
"974","wecE"
"975","wrbA"
"976","wza"
"977","wzc"
"978","wzzB"
"979","wzzE"
"980","xasA"
"981","xdhA"
"982","xerC"
"983","xerD"
"984","xni"
"985","xseB"
"986","xthA"
"987","xylF"
"988","yabB"
"989","yabN"
"990","yacH"
"991","yadD"
"992","yadF"
"993","yadR"
"994","yaeH"
"995","yaeT"
"996","yafK"
"997","yafL"
"998","yagR"
"999","yagU"
"1000","yagW"
"1001","yagX"
"1002","yahF"
"1003","yahG"
"1004","yahI"
"1005","yahO"
"1006","yajC"
"1007","yajF"
"1008","yajG"
"1009","yajQ"
"1010","ybaB"
"1011","ybaE"
"1012","ybaK"
"1013","ybaY"
"1014","ybbB"
"1015","ybbN"
"1016","ybbO"
"1017","ybcK"
"1018","ybcU"
"1019","ybdH"
"1020","ybdL"
"1021","ybdQ"
"1022","ybeD"
"1023","ybeL"
"1024","ybeM"
"1025","ybeY"
"1026","ybeZ"
"1027","ybfD"
"1028","ybfE"
"1029","ybgF"
"1030","ybgG"
"1031","ybgI"
"1032","ybgK"
"1033","ybgS"
"1034","ybhA"
"1035","ybhD"
"1036","ybhE"
"1037","ybhH"
"1038","ybhJ"
"1039","ybiB"
"1040","ybiC"
"1041","ybiO"
"1042","ybiS"
"1043","ybiT"
"1044","ybiW"
"1045","ybjI"
"1046","ybjL"
"1047","ybjP"
"1048","ybjR"
"1049","ycaC"
"1050","ycaI"
"1051","ycaJ"
"1052","ycaL"
"1053","ycaN"
"1054","ycaQ"
"1055","ycaR"
"1056","ycbB"
"1057","ycbG"
"1058","ycbJ"
"1059","ycbL"
"1060","ycbS"
"1061","ycbX"
"1062","ycbZ"
"1063","yccE"
"1064","yccJ"
"1065","yccS"
"1066","yccX"
"1067","ycdC"
"1068","ycdO"
"1069","ycdQ"
"1070","ycdW"
"1071","ycdX"
"1072","ycdY"
"1073","yceA"
"1074","yceD"
"1075","yceF"
"1076","yceH"
"1077","ycfC"
"1078","ycfD"
"1079","ycfF"
"1080","ycfH"
"1081","ycfM"
"1082","ycfP"
"1083","ycfU"
"1084","ycgB"
"1085","ycgK"
"1086","ycgL"
"1087","ycgM"
"1088","ychA"
"1089","ychF"
"1090","ychK"
"1091","ychN"
"1092","yciF"
"1093","yciI"
"1094","yciM"
"1095","yciO"
"1096","yciR"
"1097","ycjI"
"1098","ycjN"
"1099","ycjR"
"1100","ycjT"
"1101","ycjX"
"1102","ydaA"
"1103","ydaM"
"1104","ydbD"
"1105","ydbH"
"1106","ydbK"
"1107","ydcF"
"1108","ydcL"
"1109","ydcM"
"1110","ydcR"
"1111","ydcS"
"1112","ydcT"
"1113","ydcU"
"1114","yddA"
"1115","ydeM"
"1116","ydeP"
"1117","ydfG"
"1118","ydgA"
"1119","ydgH"
"1120","ydgJ"
"1121","ydhD"
"1122","ydhF"
"1123","ydhK"
"1124","ydhO"
"1125","ydhR"
"1126","ydhS"
"1127","ydhT"
"1128","ydhV"
"1129","ydiF"
"1130","ydiJ"
"1131","ydjA"
