,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1072,YP_003044304.1,5.01026478366579,-0.641284248160436,0.572780252365195,-1.11959908797897,0.262884644407435,0.629746051155124,plsX,ECB_01086,b1090,-1,protein,Exp,carbonSource,glucosegluconate
1073,YP_003044305.1,78.9635266011989,0.0728798818259805,0.37892560154393,0.192332958050425,0.847481403510126,0.955649404660715,fabH,ECB_01087,b1091,1,protein,Exp,carbonSource,glucosegluconate
1074,YP_003044306.1,122.312601315794,-0.167765024770086,0.383621807782964,-0.437318789929168,0.661880170303098,0.886495972186208,fabD,ECB_01088,b1092,-1,protein,Exp,carbonSource,glucosegluconate
1075,YP_003044307.1,62.7144218287567,0.543570650399539,0.359268135032415,1.51299432762245,0.130281099711042,0.499323065542919,fabG,ECB_01089,b1093,1,protein,Exp,carbonSource,glucosegluconate
1076,YP_003044308.1,25.0166691400624,-0.0857167117695972,0.414636578473388,-0.206727327543531,0.836222814087077,0.952454335076854,acpP,ECB_01090,b1094,-1,protein,Exp,carbonSource,glucosegluconate
1077,YP_003044309.1,394.804583112077,0.384169742003235,0.451285087421196,0.851279496511881,0.39461411174318,0.739325660717281,fabF,ECB_01091,b1095,1,protein,Exp,carbonSource,glucosegluconate
1078,YP_003044310.1,0.940720785734142,0.803268463195424,0.632203039261472,1.27058620935101,0.203875895599367,NA,pabC,ECB_01092,b1096,1,protein,Exp,carbonSource,glucosegluconate
1079,YP_003044311.1,3.92693807334078,0.849409062997572,0.50095429393396,1.69558195883944,0.089965076794731,0.429957166021468,yceG,ECB_01093,b1097,1,protein,Exp,carbonSource,glucosegluconate
1080,YP_003044312.1,17.1786751044869,0.343359399194145,0.382836603345539,0.896882367552085,0.369781689822383,0.725254108551843,tmk,ECB_01094,b1098,1,protein,Exp,carbonSource,glucosegluconate
1081,YP_003044313.1,9.65677158216794,0.212187939217019,0.495083220239,0.428590448116149,0.668221298030164,0.891773368442765,holB,ECB_01095,b1099,1,protein,Exp,carbonSource,glucosegluconate
1082,YP_003044314.1,42.6745110330221,-0.423915189478483,0.406035311141872,-1.04403527931186,0.296469067549223,0.660114941155841,ycfH,ECB_01096,b1100,-1,protein,Exp,carbonSource,glucosegluconate
1083,YP_003044315.1,78.5181050382089,-0.918057540964037,0.359604178442103,-2.55296683409324,0.0106809666356954,0.177340877071977,ptsG,ECB_01097,b1101,-1,protein,Exp,carbonSource,glucosegluconate
1084,YP_003044316.1,46.9075018180217,-1.29523491557677,0.659637388122548,-1.96355594588605,0.0495816105211205,0.338782603501129,fhuE,ECB_01098,b1102,-1,protein,Exp,carbonSource,glucosegluconate
1085,YP_003044317.1,30.4539107357118,0.0391574099946801,0.413727472998679,0.094645418905515,0.9245964726634,0.982224382983844,ycfF,ECB_01099,b1103,1,protein,Exp,carbonSource,glucosegluconate
1086,YP_003044318.1,0.177757054757448,-0.160957331944312,0.375729589328323,-0.428386096053946,0.668370045769677,NA,ycfL,ECB_01100,b1104,-1,protein,Exp,carbonSource,glucosegluconate
1087,YP_003044319.1,26.0181727245886,0.333214773832676,0.35030296199709,0.951218830503194,0.341493301322574,0.705703968183774,ycfM,ECB_01101,b1105,1,protein,Exp,carbonSource,glucosegluconate
1088,YP_003044320.1,0.159141072864586,-0.129319237650547,0.342741622803355,-0.377308237595477,0.705944551109156,NA,thiK,ECB_01102,b1106,-1,protein,Exp,carbonSource,glucosegluconate
1089,YP_003044321.1,10.6540541049905,0.83799218180068,0.473782237741911,1.76872857411166,0.0769391813959941,0.399420116896724,nagZ,ECB_01103,b1107,1,protein,Exp,carbonSource,glucosegluconate
1090,YP_003044322.1,29.9226033780281,0.506048756752878,0.365836820772861,1.38326359737057,0.166584055571634,0.541047033779034,ycfP,ECB_01104,b1108,1,protein,Exp,carbonSource,glucosegluconate
1091,YP_003044323.1,44.7829739599771,0.123870148609295,0.334098027487564,0.370759892061636,0.710816377020462,0.909052020014216,ndh,ECB_01105,b1109,1,protein,Exp,carbonSource,glucosegluconate
1092,YP_003044324.1,0.320242613329859,0.204023875951186,0.527665931098958,0.386653494051188,0.699012749637097,NA,ycfJ,ECB_01106,b1110,1,protein,Exp,carbonSource,glucosegluconate
1093,YP_003044325.1,0.984610233562466,-0.292665697295323,0.629721760035356,-0.464753984805751,0.64210764371839,NA,ycfQ,ECB_01107,b1111,-1,protein,Exp,carbonSource,glucosegluconate
1094,YP_003044326.1,0.196950092983016,-0.216942166087998,0.423416677793693,-0.512360937737322,0.608398424093784,NA,ycfR,ECB_01108,b1112,-1,protein,Exp,carbonSource,glucosegluconate
1095,YP_003044327.1,1.25006389452979,-1.20756803078647,0.655859650251947,-1.84119884539716,0.0655924245035806,NA,ycfS,ECB_01109,b1113,-1,protein,Exp,carbonSource,glucosegluconate
1096,YP_003044328.1,57.5052398075024,0.580170598111471,0.264685149226921,2.19192727588233,0.0283847582151215,0.267985511383941,mfd,ECB_01110,b1114,1,protein,Exp,carbonSource,glucosegluconate
1097,YP_003044329.1,0.0999245254970054,0.142690380684637,0.333806024687113,0.427464965074808,0.669040698007952,NA,ycfT,ECB_01111,b1115,1,protein,Exp,carbonSource,glucosegluconate
1098,YP_003044330.1,14.7159838910659,0.724639879632271,0.326726825683922,2.2178769010332,0.0265632268756263,0.262271180686063,ycfU,ECB_01112,b1116,1,protein,Exp,carbonSource,glucosegluconate
1099,YP_003044331.1,23.999599402554,-0.00457094017412831,0.356851680885288,-0.0128090756439443,0.989780115773159,0.994945982765712,lolD,ECB_01113,b1117,-1,protein,Exp,carbonSource,glucosegluconate
1100,YP_003044332.1,10.0597105278023,-0.175060197939389,0.49244535398001,-0.355491622622752,0.72222131980529,0.916454226209879,ycfW,ECB_01114,b1118,-1,protein,Exp,carbonSource,glucosegluconate
1101,YP_003044333.1,0,NA,NA,NA,NA,NA,insA-10,ECB_01116,,NA,protein,Exp,carbonSource,glucosegluconate
1102,YP_003044334.1,0.385492094417831,-0.197144659598138,0.408045150895477,-0.483144228440145,0.628993332019455,NA,insB-10,ECB_01117,,-1,protein,Exp,carbonSource,glucosegluconate
1103,YP_003044335.1,0.716362284036506,-0.465258089014346,0.635150540504349,-0.732516245117106,0.46385353100781,NA,cobB,ECB_01118,b1120,-1,protein,Exp,carbonSource,glucosegluconate
1104,YP_003044336.1,0.173456258818352,0.0900018178417122,0.368879054392333,0.243987336147278,0.807240627874127,NA,ycfZ,ECB_01119,b1121,1,protein,Exp,carbonSource,glucosegluconate
1105,YP_003044337.1,0.0321243412014859,-0.0770123045116725,0.321093666357671,-0.239843735895704,0.81045140000189,NA,ymfA,ECB_01120,b1122,-1,protein,Exp,carbonSource,glucosegluconate
1106,YP_003044338.1,89.5175844605053,-0.0138026976143178,0.505395458081565,-0.0273106878853079,0.978211932349411,0.993166147445949,potD,ECB_01121,b1123,-1,protein,Exp,carbonSource,glucosegluconate
1107,YP_003044339.1,0.0489268283736504,-0.0957649545357394,0.321161222366347,-0.298183428964849,0.765563168611713,NA,potC,ECB_01122,b1124,-1,protein,Exp,carbonSource,glucosegluconate
1108,YP_003044340.1,0.463575220216836,-0.601009141680806,0.587020492426587,-1.02382991639081,0.305915617337214,NA,potB,ECB_01123,b1125,-1,protein,Exp,carbonSource,glucosegluconate
1109,YP_003044341.1,22.2207759911909,-0.408946228657935,0.328912366094094,-1.24332883410332,0.213746683018494,0.587429665038985,potA,ECB_01124,b1126,-1,protein,Exp,carbonSource,glucosegluconate
