mogA
livG
rpoH
ftsE
yhhM
zntA
dcrB
nikD
nikE
yhiH
yhiJ
yhiS
yhiW
treF
yhjB
yhjD
yhjG
yhjK
yhjN
yhjS
dppD
dppC
dppB
yhjX
xylH
yiaK
lyxK
sgbU
yiaY
yibF
rhsA
yibJ
yibH
lldP
grxC
yibP
yibQ
yibD
rfaD
waaL
waaV
waaW
waaO
waaP
waaG
gmk
spoT
yicJ
nlpA
nepI
ade
uhpC
uhpB
uhpA
glvG
glvBC
ibpA
yidR
yidS
dgoD
recF
rnpA
trmE
yidY
yieK
yieL
bglF
bglG
phoU
pstB
atpA
atpE
asnA
rbsA
rbsC
yieP
hdfR
ilvY
rep
rfe
wecD
wecE
yifK
cyaA
cyaY
uvrD
yigE
corA
yigI
recQ
yigL
ubiE
tatD
fadB
pepQ
yigZ
mobB
mobA
yihG
glnL
yihL
yihM
yihP
yihQ
yihU
fdoG
yiiG
frvX
rhaD
rhaB
rhaS
cpxA
cpxP
yiiQ
hslU
hslV
ftsN
yiiX
yijF
talC
ptsA
frwB
frwD
oxyR
udhA
yijC
coaA
htrC
thiG
thiE
nfi
metA
aceK
iclR
yjbF
yjbG
xylE
lexA
dnaB
alr
aphA
yjbQ
yjbR
yjcD
yjcE
actP
nrfC
nrfE
gltP
yjcP
yjcQ
yjcS
alsA
rpiR
phnP
phnM
phnL
phnI
phnG
phnC
yjcZ
basS
melA
dcuB
cadC
yjdC
aspA
yjeH
groES
yjeJ
ampC
yjeP
yjeQ
orn
yjeF
yjeE
hfq
hflX
yjeT
yjfH
yjfJ
yjfC
yjfQ
yjfR
sgaB
ulaD
sgaU
sgaE
rpsR
ytfA
cycA
ytfN
ppa
yjgA
nrdD
treB
yjgI
yjgM
idnO
idnD
idnK
yjgB
yjgZ
yis2
yis1
fecE
fecR
insA-25
sgcR
sgcQ
sgcC
yjhS
yjhA
fimE
fimI
gntP
uxuA
uxuR
yjiE
yjiH
yjiN
mcrB
hpaH
hpaE
tsr
yjjP
yjjQ
fhuF
yjjG
prfC
yjjW
deoA
deoB
deoD
lplA
slt
trpR
creC
lasT
