CONTAMINANT_ENSEMBL:ENSBTAP00000024146,4,9,12,17,29,10,31,35,29,21,24,6,8,2,63,,,2,2,3,
CONTAMINANT_ENSEMBL:ENSBTAP00000024462,2,2.5,2.5,3,2.5,2,5.5,2.5,2,1.5,1.5,2,1,,12,,,,0.5,,
CONTAMINANT_ENSEMBL:ENSBTAP00000024466,,2.5,1.5,,2.5,,1.5,5.5,1,0.5,2.5,3,1,,7,,,,0.5,,
CONTAMINANT_ENSEMBL:ENSBTAP00000025008,1,3,10,13,12,6,9,7,15,11,16,2,12,1,54,,,,2,0.5,
CONTAMINANT_ENSEMBL:ENSBTAP00000031360,1,2,7,5,5,4,9,10,4,3,17,2,5,1,8,,,1,,2,
CONTAMINANT_ENSEMBL:ENSBTAP00000031900,1,6,7,6,19,6,13,42,7,7,15,2,5,1,36,,,,2,1,
CONTAMINANT_ENSEMBL:ENSBTAP00000032840,5,3,16,15,25,11,12,36,33,11,17,5,15,1,54,,,,3,1,
CONTAMINANT_ENSEMBL:ENSBTAP00000033053,,1,,,1,,1,1,1,2,1,3,,1,2.67,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000034412,,,1,1,3,1,3,6,1,3,8,2,,2,17,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000037665,1,1,3,,3,3,1,10,4,1,10,,1,2,29,,,,,0.12,
CONTAMINANT_ENSEMBL:ENSBTAP00000038253,22.44,18.29,46.38,28.24,50.35,21.08,30.9,45.69,32.9,29.97,69.41,27.81,34.75,22.63,109.05,14.08,11.9,19.35,24,20.18,9.74
CONTAMINANT_ENSEMBL:ENSBTAP00000038329,,1,0.33,0.33,4,,,,1,1,2,,0.5,,3.5,,,,,,
CONTAMINANT_ENSEMBL:ENSP00000377550,5.31,4.3,14.09,5.77,18.91,6.28,5.14,14.67,6.07,4.92,6.75,,4.13,2.4,9.83,1.27,1.67,2.38,1.17,2.3,0.53
CONTAMINANT_H-INV:HIT000015463,1,1,6,2,11,3,5,11,1,3,3,1,2,2,15,,,0.06,0.09,,1
CONTAMINANT_H-INV:HIT000016045,2.07,1.28,3.23,2.62,1.14,0.43,2.88,2.18,1.49,2,3.3,,1,,5.27,0.38,0.38,0.53,0.38,0.38,0.2
CONTAMINANT_H-INV:HIT000292931,6.56,2.33,7.73,10.95,10.18,3.57,17.45,14.98,8.17,8.67,16.17,10,6.53,1.53,19.71,1.25,,,0.25,1.5,
CONTAMINANT_O43790,0.87,2.03,3.42,3.65,5.03,5.37,3.38,3.57,3.08,0.37,4.5,2.25,6.17,0.25,9.17,,,,0.7,1,
CONTAMINANT_O76009,1.86,0.41,4.85,1.92,3.21,2.3,1.68,4.78,3.14,1.25,1.97,1.79,1.72,0.33,2.11,,,,0.2,,
CONTAMINANT_O76011,1.58,2.58,1.58,1.08,5.18,4.6,3.18,1.85,1.12,0.37,2.22,0.79,2.18,0.5,15.94,,,,0.5,,
CONTAMINANT_O76013,5.25,5.16,20.53,14,20,9.5,8.5,8,12.16,5,13.57,3,14,8,22.67,,,1.28,,,
CONTAMINANT_O76014,3.5,3,7.2,5.5,13,2.5,6,9,4.2,7.5,13.5,3,3,1.17,17.67,,1,0.06,,0.5,
CONTAMINANT_O76015,5.5,3,5,5.5,2,3.5,3,2,5,8.5,13.57,3,4,0.17,5.67,,,0.06,,0.5,
CONTAMINANT_O95678,7.86,6.43,23.11,10.21,13.75,20.33,5.33,29.6,12.67,9.17,20.4,6.33,12.43,4.18,27.97,0.63,0.68,3.01,1.05,1.05,0.56
CONTAMINANT_P00711,,,2,3,4,1,,3,1,,,,,,24,,,,,,
CONTAMINANT_P00735,11,11,7,7,24,12,15,30,12,9,15,3,1,2,27,,,,2,,
CONTAMINANT_P00761,18,16.5,15,6,21,4,9,64,14,184,138,177,200,115,172,2,2,6,4,2,3
CONTAMINANT_P00766,,1,12,2,9,5,7,11,,,11,6,5,3,1,,,1,,,
CONTAMINANT_P00978,3,8,8,7,6,5,15,16,5,6,18,4,9,3,14,,,,1,1,
CONTAMINANT_P01030,6.5,11,19.5,10,18.5,13,17.5,16,9,11.5,23.5,7.83,8.5,4,65,,,,3.5,0.5,
CONTAMINANT_P01044-1,1.67,1.33,12.17,3.67,8,3.67,6.67,17,6.83,2.17,5.83,1.33,3.17,0.67,9.17,,,,,0.33,
CONTAMINANT_P01045-1,1.67,1.33,10.67,2.67,5.5,4.67,5.17,13.5,4.33,2.67,5.83,1.33,2.17,0.67,6.17,,,,,0.33,
